Lot_color	dist	percent	value	order
R	narrow	0	2	1
R	narrow	10	0	1
R	narrow	20	0	1
R	narrow	30	3	1
R	narrow	40	6	1
R	narrow	50	8	1
R	narrow	60	0	1
R	narrow	70	0	1
R	narrow	80	0	1
R	narrow	90	0	1
R	narrow	100	0	1
G	skew	0	1	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	0	3
G	skew	40	0	3
G	skew	50	0	3
G	skew	60	2	3
G	skew	70	4	3
G	skew	80	0	3
G	skew	90	5	3
G	skew	100	0	3
B	wide	0	2	2
B	wide	10	0	2
B	wide	20	0	2
B	wide	30	0	2
B	wide	40	0	2
B	wide	50	0	2
B	wide	60	0	2
B	wide	70	0	2
B	wide	80	0	2
B	wide	90	4	2
B	wide	100	0	2
