Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0		red	0.5	[0.25,0.75]	Ambiguous	narrow	right	
Ambiguity	1.0	2141.0	red	0.57	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2.0	2348.0	red	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	3.0	1738.0	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	4.0	2354.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5.0	2529.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	1450.0	red	0.56	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	1480.0	red	0.52	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8.0	1393.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	9.0	1848.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1684.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11.0	1528.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	12.0	2761.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13.0	1701.0	red	0.52	[0.25,0.75]	risk	narrow	right	j
Ambiguity	14.0	1893.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15.0	1973.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16.0	2694.0	red	0.4	[0,1]	risk	narrow	left	f
Ambiguity	17.0	1919.0	red	0.26	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	1547.0	red	0.35	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19.0	2101.0	red	0.47	[0,1]	risk	narrow	left	f
Ambiguity	20.0	2098.0	red	0.39	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21.0	1771.0	red	0.41	[0,1]	Ambiguous	narrow	left	j
Ambiguity	22.0	1570.0	red	0.43	[0,1]	risk	narrow	left	f
Ambiguity	23.0	1764.0	red	0.41	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24.0	2505.0	red	0.4	[0,1]	Ambiguous	narrow	left	j
Ambiguity	25.0	1736.0	red	0.41	[0,1]	Ambiguous	narrow	right	f
Ambiguity	26.0	2039.0	red	0.41	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27.0	2925.0	red	0.42	[0,1]	Ambiguous	narrow	left	j
Ambiguity	28.0	2599.0	red	0.48	[0,1]	risk	narrow	left	f
Ambiguity	29.0	2046.0	red	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30.0	2949.0	blue	0.5	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	31.0	2757.0	blue	0.61	[0.25,0.75]	risk	wide	right	j
Ambiguity	32.0	2885.0	blue	0.55	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	33.0	1477.0	blue	0.59	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	34.0	1643.0	blue	0.64	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	35.0	2052.0	blue	0.67	[0.25,0.75]	risk	wide	right	j
Ambiguity	36.0	1944.0	blue	0.63	[0.25,0.75]	Ambiguous	wide	right	f
