Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0		red	0.5	[0,1]	lose	Amb	norm	right	
Learning	2.0	3325.0	red	0.61	[0,1]	lose	risk	norm	left	f
Learning	3.0		red	0.56	[0,1]	lose	Amb	norm	right	
Learning	4.0	1250.0	red	0.61	[0,1]	lose	Amb	norm	right	f
Learning	5.0	1647.0	red	0.62	[0,1]	lose	risk	norm	right	j
Learning	6.0	2725.0	red	0.58	[0,1]	lose	risk	norm	right	j
Learning	7.0	1687.0	red	0.53	[0,1]	lose	risk	norm	right	j
Learning	8.0	1172.0	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	9.0	1588.0	red	0.46	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1485.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	11.0	1528.0	red	0.55	[0,1]	lose	risk	norm	left	f
Learning	12.0	1437.0	red	0.51	[0,1]	lose	risk	norm	left	f
Learning	13.0	954.0	red	0.46	[0,1]	lose	Amb	norm	left	j
Learning	14.0	2047.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	15.0	989.0	red	0.47	[0,1]	lose	Amb	norm	left	j
Learning	1.0	2293.0	green	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	1279.0	green	0.6	[0,1]	lose	risk	norm	right	j
Learning	3.0	1196.0	green	0.53	[0,1]	lose	Amb	norm	left	j
Learning	4.0	1420.0	green	0.56	[0,1]	lose	Amb	norm	left	j
Learning	5.0	1453.0	green	0.58	[0,1]	lose	risk	norm	right	j
Learning	6.0	1753.0	green	0.55	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1702.0	green	0.53	[0,1]	lose	Amb	norm	right	f
Learning	8.0	1400.0	green	0.55	[0,1]	lose	Amb	norm	right	f
Learning	9.0	1683.0	green	0.54	[0,1]	lose	risk	norm	left	f
Learning	10.0	1472.0	green	0.51	[0,1]	lose	Amb	norm	right	f
Learning	11.0	1234.0	green	0.53	[0,1]	lose	Amb	norm	right	f
Learning	12.0	1222.0	green	0.54	[0,1]	lose	Amb	norm	right	f
Learning	13.0	1150.0	green	0.54	[0,1]	lose	Amb	norm	right	f
Learning	14.0	1327.0	green	0.58	[0,1]	lose	risk	norm	left	f
Learning	15.0	1403.0	green	0.57	[0,1]	lose	Amb	norm	left	j
Learning	1.0	2417.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	2171.0	blue	0.38	[0,1]	win	Amb	norm	left	j
Learning	3.0	1450.0	blue	0.41	[0,1]	win	Amb	norm	right	f
Learning	4.0	1101.0	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	5.0	960.0	blue	0.59	[0,1]	win	risk	norm	right	j
Learning	6.0	1788.0	blue	0.54	[0,1]	win	risk	norm	right	j
Learning	7.0	1292.0	blue	0.46	[0,1]	win	Amb	norm	left	j
Learning	8.0	1333.0	blue	0.52	[0,1]	win	risk	norm	right	j
Learning	9.0	1347.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	10.0	1332.0	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	11.0	1564.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	12.0	1393.0	blue	0.47	[0,1]	win	Amb	norm	right	f
Learning	13.0	1267.0	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	14.0	1020.0	blue	0.46	[0,1]	win	Amb	norm	left	j
Learning	15.0	1504.0	blue	0.44	[0,1]	win	Amb	norm	right	f
Learning	1.0	1768.0	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	1861.0	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	3.0	1180.0	green	0.71	[0,1]	win	risk	norm	left	f
Learning	4.0	1283.0	green	0.64	[0,1]	win	risk	norm	left	f
Learning	5.0	1233.0	green	0.54	[0,1]	win	Amb	norm	right	f
Learning	6.0	1047.0	green	0.57	[0,1]	win	Amb	norm	left	j
Learning	7.0	1112.0	green	0.64	[0,1]	win	risk	norm	right	j
