Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	3932.0	red	0.5	right	narrow	"[""right""]"	j
Risk	1.0	3938.0	red	0.4	right	narrow	"[""left""]"	j
Risk	2.0	3091.0	red	0.5	left	narrow	"[""left""]"	f
Risk	3.0	2225.0	red	0.7	right	narrow	"[""right""]"	j
Risk	4.0	2816.0	red	0.5	right	narrow	"[""right""]"	j
Risk	5.0	1953.0	red	0.5	right	narrow	"[""right""]"	j
Risk	6.0	2576.0	red	0.5	left	narrow	"[""left""]"	f
Risk	7.0	1453.0	red	0.5	left	narrow	"[""left""]"	f
Risk	8.0	1728.0	red	0.5	right	narrow	"[""right""]"	j
Risk	9.0	1791.0	red	0.5	left	narrow	"[""left""]"	f
Risk	10.0	1359.0	red	0.6	right	narrow	"[""right""]"	j
Risk	11.0	1839.0	red	0.4	left	narrow	"[""right""]"	f
Risk	12.0	1911.0	red	0.4	right	narrow	"[""left""]"	j
Risk	13.0	1227.0	red	0.6	left	narrow	"[""left""]"	f
Risk	14.0	2227.0	red	0.5	left	narrow	"[""left""]"	f
Risk	15.0	1228.0	red	0.5	right	narrow	"[""right""]"	j
Risk	16.0	1541.0	red	0.2	right	narrow	"[""left""]"	j
Risk	17.0	1436.0	red	0.6	left	narrow	"[""left""]"	f
Risk	18.0	1140.0	red	0.3	right	narrow	"[""left""]"	j
Risk	19.0	1124.0	red	0.3	left	narrow	"[""right""]"	f
Risk	20.0	3402.0	blue	0.9	right	wide	"[""right""]"	j
Risk	21.0	2362.0	blue	0.3	left	wide	"[""right""]"	f
Risk	22.0	3441.0	blue	0.9	left	wide	"[""left""]"	f
Risk	23.0	1538.0	blue	0.2	right	wide	"[""left""]"	j
Risk	24.0	1577.0	blue	1.0	right	wide	"[""right""]"	j
Risk	25.0	1455.0	blue	0.2	left	wide	"[""right""]"	f
Risk	26.0	1401.0	blue	0.1	right	wide	"[""left""]"	j
Risk	27.0	1464.0	blue	0.0	left	wide	"[""right""]"	f
Risk	28.0	1791.0	blue	0.0	right	wide	"[""left""]"	j
Risk	29.0	1375.0	blue	1.0	left	wide	"[""left""]"	f
Risk	30.0	1611.0	blue	0.7	right	wide	"[""right""]"	j
Risk	31.0	1252.0	blue	0.8	left	wide	"[""left""]"	f
Risk	32.0	1250.0	blue	1.0	left	wide	"[""left""]"	f
Risk	33.0	1779.0	blue	0.0	left	wide	"[""right""]"	f
Risk	34.0	1391.0	blue	0.1	right	wide	"[""left""]"	j
Risk	35.0	1006.0	blue	0.1	right	wide	"[""left""]"	j
Risk	36.0	989.0	blue	0.0	right	wide	"[""left""]"	j
Risk	37.0	1530.0	blue	0.8	right	wide	"[""right""]"	j
Risk	38.0	1144.0	blue	0.0	left	wide	"[""right""]"	f
Risk	39.0	1028.0	blue	0.9	right	wide	"[""right""]"	j
Risk	40.0	998.0	green	0.7	left	skew	"[""left""]"	f
Risk	41.0	3364.0	green	0.6000000000000001	right	skew	"[""right""]"	j
Risk	42.0	1147.0	green	0.8999999999999999	right	skew	"[""right""]"	j
Risk	43.0	1658.0	green	0.4	right	skew	"[""left""]"	j
Risk	44.0	1149.0	green	0.7	right	skew	"[""right""]"	j
Risk	45.0	2155.0	green	0.5	left	skew	"[""left""]"	f
Risk	46.0	1018.0	green	0.7	right	skew	"[""right""]"	j
Risk	47.0	833.0	green	0.7	right	skew	"[""right""]"	j
Risk	48.0	1006.0	green	0.7	right	skew	"[""right""]"	j
Risk	49.0	1166.0	green	0.5	left	skew	"[""left""]"	f
Risk	50.0	872.0	green	0.7	right	skew	"[""right""]"	j
Risk	51.0	1064.0	green	0.7	right	skew	"[""right""]"	j
Risk	52.0	1292.0	green	0.7	right	skew	"[""right""]"	j
Risk	53.0	982.0	green	0.6000000000000001	left	skew	"[""left""]"	f
Risk	54.0	1011.0	green	0.7	left	skew	"[""left""]"	f
Risk	55.0	1031.0	green	0.8	right	skew	"[""right""]"	j
Risk	56.0	775.0	green	0.8	left	skew	"[""left""]"	f
Risk	57.0	926.0	green	0.8	left	skew	"[""left""]"	f
Risk	58.0	886.0	green	0.6000000000000001	right	skew	"[""right""]"	j
Risk	59.0	773.0	green	0.7	left	skew	"[""left""]"	f
