Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0		red	0.5	[0.25,0.75]	Ambiguous	skew	right	
Ambiguity	1.0	4407.0	red	0.58	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	2.0	1568.0	red	0.71	[0.25,0.75]	risk	skew	left	f
Ambiguity	3.0	3567.0	red	0.63	[0.25,0.75]	risk	skew	right	j
Ambiguity	4.0	3945.0	red	0.52	[0.25,0.75]	risk	skew	left	f
Ambiguity	5.0	3200.0	red	0.36	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	6.0		red	0.46	[0.25,0.75]	Ambiguous	skew	right	
Ambiguity	7.0	555.0	red	0.56	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	8.0	2245.0	red	0.73	[0.25,0.75]	risk	skew	left	f
Ambiguity	9.0	1886.0	red	0.62	[0.25,0.75]	risk	skew	left	f
Ambiguity	10.0	3192.0	red	0.48	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	11.0	3221.0	red	0.57	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	12.0	3565.0	red	0.67	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	13.0	1948.0	red	0.83	[0.25,0.75]	risk	skew	left	f
Ambiguity	14.0	2025.0	red	0.76	[0.25,0.75]	risk	skew	right	j
Ambiguity	15.0	2226.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	16.0	1528.0	red	0.39	[0,1]	risk	skew	left	f
Ambiguity	17.0		red	0.22	[0,1]	Ambiguous	skew	left	
Ambiguity	18.0	2540.0	red	0.27	[0,1]	Ambiguous	skew	right	f
Ambiguity	19.0	1728.0	red	0.36	[0,1]	Ambiguous	skew	right	f
Ambiguity	20.0	3029.0	red	0.55	[0,1]	risk	skew	left	f
Ambiguity	21.0	1769.0	red	0.48	[0,1]	Ambiguous	skew	left	j
Ambiguity	22.0	2463.0	red	0.54	[0,1]	risk	skew	left	f
Ambiguity	23.0	2394.0	red	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	24.0	2879.0	red	0.53	[0,1]	risk	skew	right	j
Ambiguity	25.0	2793.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	26.0	2022.0	red	0.47	[0,1]	Ambiguous	skew	left	j
Ambiguity	27.0	1173.0	red	0.47	[0,1]	Ambiguous	skew	left	j
Ambiguity	28.0	2127.0	red	0.49	[0,1]	Ambiguous	skew	right	f
Ambiguity	29.0	1386.0	red	0.48	[0,1]	Ambiguous	skew	right	f
Ambiguity	30.0	2813.0	blue	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	31.0	4106.0	blue	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	32.0	2187.0	blue	0.43	[0.25,0.75]	risk	narrow	left	f
Ambiguity	33.0	1631.0	blue	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	34.0	2521.0	blue	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	35.0	3377.0	blue	0.42	[0.25,0.75]	risk	narrow	right	j
Ambiguity	36.0	2662.0	blue	0.4	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	37.0	3253.0	blue	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	38.0	2487.0	blue	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	39.0	2353.0	blue	0.42	[0.25,0.75]	risk	narrow	left	f
Ambiguity	40.0	1709.0	blue	0.41	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	41.0	1204.0	blue	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	42.0	2035.0	blue	0.35	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	43.0	2620.0	blue	0.37	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	44.0	2204.0	blue	0.37	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	45.0	4003.0	blue	0.5	[0,1]	risk	narrow	right	j
Ambiguity	46.0	2090.0	blue	0.41	[0,1]	Ambiguous	narrow	left	j
Ambiguity	47.0	850.0	blue	0.48	[0,1]	Ambiguous	narrow	left	j
Ambiguity	48.0	2717.0	blue	0.56	[0,1]	Ambiguous	narrow	right	f
Ambiguity	49.0	1547.0	blue	0.68	[0,1]	risk	narrow	left	f
Ambiguity	50.0	1447.0	blue	0.62	[0,1]	risk	narrow	left	f
Ambiguity	51.0	1840.0	blue	0.52	[0,1]	risk	narrow	right	j
Ambiguity	52.0	1603.0	blue	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	53.0	1805.0	blue	0.42	[0,1]	Ambiguous	narrow	right	f
Ambiguity	54.0	1620.0	blue	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	55.0	860.0	blue	0.64	[0,1]	risk	narrow	right	j
Ambiguity	56.0	1450.0	blue	0.56	[0,1]	risk	narrow	left	f
Ambiguity	57.0	1433.0	blue	0.44	[0,1]	Ambiguous	narrow	left	j
Ambiguity	58.0	2288.0	blue	0.51	[0,1]	risk	narrow	right	j
Ambiguity	59.0	2032.0	blue	0.49	[0,1]	risk	narrow	left	f
Ambiguity	60.0	4417.0	green	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	61.0	1792.0	green	0.59	[0.25,0.75]	risk	wide	left	f
Ambiguity	62.0	2324.0	green	0.54	[0.25,0.75]	Ambiguous	wide	left	j
