Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2134.0	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	4500.0	green	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3.0	2215.0	green	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4.0	3802.0	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	5.0	2150.0	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	6.0	1869.0	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1560.0	green	0.49	[0,1]	lose	risk	norm	left	f
Learning	8.0	1694.0	green	0.47	[0,1]	lose	Amb	norm	right	f
Learning	9.0	1637.0	green	0.46	[0,1]	lose	risk	norm	left	f
Learning	10.0	1265.0	green	0.47	[0,1]	lose	risk	norm	right	j
Learning	11.0	1101.0	green	0.45	[0,1]	lose	risk	norm	left	f
Learning	12.0	1035.0	green	0.43	[0,1]	lose	risk	norm	left	f
Learning	13.0	1869.0	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	14.0	2274.0	green	0.37	[0,1]	lose	Amb	norm	left	j
Learning	15.0	1188.0	green	0.39	[0,1]	lose	Amb	norm	left	j
Learning	1.0	2501.0	green	0.5	[0,1]	win	risk	norm	left	f
Learning	2.0	1845.0	green	0.38	[0,1]	win	Amb	norm	left	j
Learning	3.0	1841.0	green	0.44	[0,1]	win	Amb	norm	left	j
Learning	4.0	1393.0	green	0.53	[0,1]	win	risk	norm	right	j
Learning	5.0	1370.0	green	0.49	[0,1]	win	Amb	norm	left	j
Learning	6.0	1857.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	7.0	995.0	green	0.48	[0,1]	win	risk	norm	right	j
Learning	8.0	1000.0	green	0.45	[0,1]	win	risk	norm	right	j
Learning	9.0	2459.0	green	0.42	[0,1]	win	Amb	norm	left	j
Learning	10.0	981.0	green	0.44	[0,1]	win	risk	norm	right	j
Learning	11.0	1272.0	green	0.42	[0,1]	win	Amb	norm	left	j
Learning	12.0	741.0	green	0.41	[0,1]	win	risk	norm	right	j
Learning	13.0	1315.0	green	0.42	[0,1]	win	Amb	norm	right	f
Learning	14.0	1340.0	green	0.39	[0,1]	win	Amb	norm	right	f
Learning	15.0	1301.0	green	0.37	[0,1]	win	Amb	norm	right	f
Learning	1.0	2322.0	red	0.5	[0,1]	win	risk	norm	left	f
Learning	2.0	1660.0	red	0.39	[0,1]	win	Amb	norm	left	j
Learning	3.0	1109.0	red	0.42	[0,1]	win	Amb	norm	left	j
Learning	4.0	1223.0	red	0.46	[0,1]	win	risk	norm	left	f
Learning	5.0	1701.0	red	0.41	[0,1]	win	Amb	norm	left	j
Learning	6.0	2059.0	red	0.41	[0,1]	win	Amb	norm	right	f
Learning	7.0	1726.0	red	0.41	[0,1]	win	risk	norm	left	f
Learning	8.0	1012.0	red	0.39	[0,1]	win	Amb	norm	left	j
Learning	9.0	1642.0	red	0.42	[0,1]	win	risk	norm	right	j
Learning	10.0	1129.0	red	0.4	[0,1]	win	risk	norm	left	f
Learning	11.0	1271.0	red	0.39	[0,1]	win	Amb	norm	right	f
Learning	12.0	1167.0	red	0.4	[0,1]	win	risk	norm	left	f
Learning	13.0	1245.0	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	14.0	955.0	red	0.36	[0,1]	win	Amb	norm	left	j
Learning	15.0	1150.0	red	0.37	[0,1]	win	Amb	norm	right	f
Learning	1.0	1582.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	1710.0	blue	0.4	[0,1]	win	Amb	norm	left	j
Learning	3.0	1448.0	blue	0.47	[0,1]	win	risk	norm	left	f
