Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0		red	0.8	none	skew	"[""left""]"	
Risk	1.0	1663.0	red	0.7	right	skew	"[""right""]"	j
Risk	2.0	2597.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	3.0	1767.0	red	0.8	right	skew	"[""right""]"	j
Risk	4.0	1944.0	red	0.5	left	skew	"[""right""]"	f
Risk	5.0	2177.0	red	0.4	right	skew	"[""left""]"	j
Risk	6.0	1298.0	red	0.7	right	skew	"[""right""]"	j
Risk	7.0	1545.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	8.0	2169.0	red	0.7	right	skew	"[""right""]"	j
Risk	9.0	1515.0	red	0.7	left	skew	"[""left""]"	f
Risk	10.0	1556.0	red	0.5	left	skew	"[""right""]"	f
Risk	11.0	1775.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	12.0	1441.0	red	0.7	right	skew	"[""right""]"	j
Risk	13.0	1959.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	14.0	2897.0	red	0.8	right	skew	"[""right""]"	j
Risk	15.0	1462.0	red	0.7	left	skew	"[""left""]"	f
Risk	16.0	1428.0	red	0.7	right	skew	"[""right""]"	j
Risk	17.0	1033.0	red	0.7	left	skew	"[""left""]"	f
Risk	18.0	1046.0	red	0.7	right	skew	"[""right""]"	j
Risk	19.0	1813.0	red	0.7	left	skew	"[""left""]"	f
Risk	20.0	1335.0	blue	0.7	left	narrow	"[""left""]"	f
Risk	21.0	1576.0	blue	0.6	left	narrow	"[""left""]"	f
Risk	22.0	1016.0	blue	0.4	right	narrow	"[""left""]"	j
Risk	23.0	1163.0	blue	0.6	right	narrow	"[""right""]"	j
Risk	24.0	1495.0	blue	0.3	left	narrow	"[""right""]"	f
Risk	25.0	1845.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	26.0	1170.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	27.0	1951.0	blue	0.2	left	narrow	"[""right""]"	f
Risk	28.0	1161.0	blue	0.4	left	narrow	"[""right""]"	f
Risk	29.0	1734.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	30.0	4225.0	blue	0.3	right	narrow	"[""right""]"	j
Risk	31.0	1688.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	32.0	1727.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	33.0	2969.0	blue	0.6	right	narrow	"[""right""]"	j
Risk	34.0	1558.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	35.0	1553.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	36.0	1451.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	37.0	2408.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	38.0	2033.0	blue	0.4	right	narrow	"[""left""]"	j
Risk	39.0	996.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	40.0	1527.0	green	0.8	left	wide	"[""left""]"	f
Risk	41.0	2004.0	green	0.2	left	wide	"[""right""]"	f
Risk	42.0	2240.0	green	0.0	left	wide	"[""right""]"	f
Risk	43.0	1640.0	green	1.0	left	wide	"[""left""]"	f
Risk	44.0	1142.0	green	0.9	right	wide	"[""right""]"	j
Risk	45.0	897.0	green	0.8	left	wide	"[""left""]"	f
Risk	46.0	939.0	green	0.9	left	wide	"[""left""]"	f
Risk	47.0	1007.0	green	0.9	left	wide	"[""left""]"	f
Risk	48.0	1214.0	green	1.0	right	wide	"[""right""]"	j
Risk	49.0	1819.0	green	0.0	right	wide	"[""left""]"	j
Risk	50.0	2473.0	green	0.7	right	wide	"[""right""]"	j
Risk	51.0	2303.0	green	0.1	left	wide	"[""right""]"	f
Risk	52.0	1759.0	green	1.0	left	wide	"[""left""]"	f
Risk	53.0	1823.0	green	0.0	left	wide	"[""right""]"	f
Risk	54.0	1665.0	green	0.1	left	wide	"[""right""]"	f
Risk	55.0	1548.0	green	0.0	right	wide	"[""left""]"	j
Risk	56.0	1230.0	green	0.2	right	wide	"[""left""]"	j
Risk	57.0	1490.0	green	0.3	left	wide	"[""right""]"	f
Risk	58.0	1465.0	green	0.0	right	wide	"[""left""]"	j
Risk	59.0	1496.0	green	0.1	left	wide	"[""right""]"	f
