Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	3294.0	red	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	1.0	1656.0	red	0.58	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2.0	3210.0	red	0.52	[0.25,0.75]	risk	narrow	right	j
Ambiguity	3.0	2206.0	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4.0	1583.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5.0	1469.0	red	0.51	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	1879.0	red	0.56	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	7.0	1738.0	red	0.7	[0.25,0.75]	risk	narrow	left	f
Ambiguity	8.0	2812.0	red	0.65	[0.25,0.75]	risk	narrow	right	j
Ambiguity	9.0	1246.0	red	0.55	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	10.0	3047.0	red	0.58	[0.25,0.75]	risk	narrow	left	f
Ambiguity	11.0	1981.0	red	0.57	[0.25,0.75]	risk	narrow	right	j
Ambiguity	12.0	1611.0	red	0.53	[0.25,0.75]	risk	narrow	right	j
Ambiguity	13.0	1052.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14.0	2111.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15.0	3351.0	red	0.5	[0,1]	Ambiguous	narrow	right	f
Ambiguity	16.0	1721.0	red	0.6	[0,1]	risk	narrow	left	f
Ambiguity	17.0	2001.0	red	0.53	[0,1]	risk	narrow	left	f
Ambiguity	18.0	2111.0	red	0.43	[0,1]	Ambiguous	narrow	left	j
Ambiguity	19.0	1309.0	red	0.46	[0,1]	Ambiguous	narrow	left	j
Ambiguity	20.0	2067.0	red	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21.0	1946.0	red	0.58	[0,1]	risk	narrow	right	j
Ambiguity	22.0	4393.0	red	0.52	[0,1]	Ambiguous	narrow	left	j
Ambiguity	23.0	833.0	red	0.52	[0,1]	Ambiguous	narrow	left	j
Ambiguity	24.0	2213.0	red	0.56	[0,1]	risk	narrow	right	j
Ambiguity	25.0	1533.0	red	0.54	[0,1]	risk	narrow	left	f
Ambiguity	26.0	2003.0	red	0.51	[0,1]	risk	narrow	right	j
Ambiguity	27.0	1023.0	red	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	28.0	1897.0	red	0.5	[0,1]	Ambiguous	narrow	right	f
Ambiguity	29.0	998.0	red	0.51	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30.0	1673.0	green	0.5	[0.25,0.75]	risk	skew	left	f
Ambiguity	31.0	4006.0	green	0.38	[0.25,0.75]	risk	skew	right	j
Ambiguity	32.0	2533.0	green	0.24	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	33.0	2417.0	green	0.29	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	34.0	1686.0	green	0.4	[0.25,0.75]	risk	skew	left	f
Ambiguity	35.0	1159.0	green	0.35	[0.25,0.75]	risk	skew	left	f
Ambiguity	36.0	1313.0	green	0.25	[0.25,0.75]	risk	skew	left	f
Ambiguity	37.0	2668.0	green	0.1	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	38.0	1312.0	green	0.16	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	39.0	1834.0	green	0.23	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	40.0	1990.0	green	0.34	[0.25,0.75]	risk	skew	left	f
Ambiguity	41.0	2035.0	green	0.26	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	42.0	1594.0	green	0.31	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	43.0	2885.0	green	0.37	[0.25,0.75]	risk	skew	left	f
Ambiguity	44.0	2111.0	green	0.35	[0.25,0.75]	risk	skew	left	f
Ambiguity	45.0	2075.0	green	0.5	[0,1]	risk	skew	right	j
