Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2974.0	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	1554.0	red	0.59	[0,1]	lose	risk	norm	right	j
Learning	3.0	3021.0	red	0.55	[0,1]	lose	risk	norm	right	j
Learning	4.0	1382.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	5.0	1077.0	red	0.54	[0,1]	lose	risk	norm	right	j
Learning	6.0	2780.0	red	0.51	[0,1]	lose	Amb	norm	right	f
Learning	7.0	1234.0	red	0.51	[0,1]	lose	risk	norm	left	f
Learning	8.0	1557.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	9.0	1464.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	10.0	1215.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	11.0	1543.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	12.0	903.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	13.0	1531.0	red	0.46	[0,1]	lose	Amb	norm	right	f
Learning	14.0	1444.0	red	0.44	[0,1]	lose	Amb	norm	left	j
Learning	15.0	782.0	red	0.44	[0,1]	lose	Amb	norm	left	j
Learning	1.0	1270.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	1317.0	green	0.4	[0,1]	win	Amb	norm	right	f
Learning	3.0	1042.0	green	0.42	[0,1]	win	Amb	norm	left	j
Learning	4.0	1131.0	green	0.48	[0,1]	win	Amb	norm	right	f
Learning	5.0	634.0	green	0.57	[0,1]	win	risk	norm	right	j
Learning	6.0	2360.0	green	0.49	[0,1]	win	risk	norm	right	j
Learning	7.0	2288.0	green	0.4	[0,1]	win	risk	norm	left	f
Learning	8.0	1131.0	green	0.27	[0,1]	win	Amb	norm	right	f
Learning	9.0	965.0	green	0.31	[0,1]	win	Amb	norm	left	j
Learning	10.0	1224.0	green	0.38	[0,1]	win	risk	norm	right	j
Learning	11.0	813.0	green	0.33	[0,1]	win	Amb	norm	right	f
