Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1996.0	red	0.5	right	narrow	"[""right""]"	j
Risk	1.0	1840.0	red	0.2	left	narrow	"[""right""]"	f
Risk	2.0	2047.0	red	0.4	right	narrow	"[""left""]"	j
Risk	3.0	1799.0	red	0.5	right	narrow	"[""right""]"	j
Risk	4.0	1986.0	red	0.5	left	narrow	"[""left""]"	f
Risk	5.0	1278.0	red	0.5	right	narrow	"[""right""]"	j
Risk	6.0	1179.0	red	0.3	left	narrow	"[""right""]"	f
Risk	7.0	1197.0	red	0.5	left	narrow	"[""left""]"	f
Risk	8.0	1056.0	red	0.5	left	narrow	"[""left""]"	f
Risk	9.0	843.0	red	0.5	right	narrow	"[""right""]"	j
Risk	10.0	1410.0	red	0.4	right	narrow	"[""left""]"	j
Risk	11.0	1271.0	red	0.5	right	narrow	"[""right""]"	j
Risk	12.0	928.0	red	0.3	left	narrow	"[""right""]"	f
Risk	13.0	1082.0	red	0.4	left	narrow	"[""right""]"	f
Risk	14.0	1640.0	red	0.6	left	narrow	"[""left""]"	f
Risk	15.0	837.0	red	0.5	left	narrow	"[""left""]"	f
Risk	16.0	985.0	red	0.7	right	narrow	"[""right""]"	j
Risk	17.0	641.0	red	0.5	right	narrow	"[""right""]"	j
Risk	18.0	550.0	red	0.6	left	narrow	"[""left""]"	f
Risk	19.0	672.0	red	0.6	right	narrow	"[""right""]"	j
Risk	20.0	833.0	green	0.7	right	skew	"[""right""]"	j
Risk	21.0	805.0	green	0.8999999999999999	right	skew	"[""right""]"	j
Risk	22.0	700.0	green	0.5	left	skew	"[""left""]"	f
Risk	23.0	580.0	green	0.8	right	skew	"[""right""]"	j
Risk	24.0	679.0	green	0.7	left	skew	"[""left""]"	f
Risk	25.0	500.0	green	0.7	right	skew	"[""right""]"	j
Risk	26.0	746.0	green	0.6000000000000001	left	skew	"[""left""]"	f
Risk	27.0	498.0	green	0.7	right	skew	"[""right""]"	j
Risk	28.0	469.0	green	0.7	right	skew	"[""right""]"	j
Risk	29.0	441.0	green	0.7	right	skew	"[""right""]"	j
Risk	30.0	487.0	green	0.7	left	skew	"[""left""]"	f
Risk	31.0	443.0	green	0.4	right	skew	"[""right""]"	j
Risk	32.0	684.0	green	0.6000000000000001	left	skew	"[""left""]"	f
Risk	33.0	547.0	green	0.5	right	skew	"[""right""]"	j
Risk	34.0	585.0	green	0.7	right	skew	"[""right""]"	j
Risk	35.0	558.0	green	0.7	right	skew	"[""right""]"	j
Risk	36.0	452.0	green	0.7	right	skew	"[""right""]"	j
Risk	37.0	673.0	green	0.8	left	skew	"[""left""]"	f
Risk	38.0	535.0	green	0.8	left	skew	"[""left""]"	f
Risk	39.0	815.0	green	0.6000000000000001	right	skew	"[""right""]"	j
Risk	40.0	1248.0	blue	0.0	right	wide	"[""left""]"	j
Risk	41.0	918.0	blue	0.2	right	wide	"[""left""]"	j
Risk	42.0	996.0	blue	0.2	right	wide	"[""right""]"	j
Risk	43.0	1622.0	blue	0.8	right	wide	"[""right""]"	j
Risk	44.0	890.0	blue	0.9	right	wide	"[""right""]"	j
Risk	45.0	766.0	blue	0.7	right	wide	"[""right""]"	j
Risk	46.0	922.0	blue	0.0	left	wide	"[""right""]"	f
Risk	47.0	693.0	blue	1.0	right	wide	"[""right""]"	j
Risk	48.0	813.0	blue	0.1	left	wide	"[""right""]"	f
Risk	49.0	973.0	blue	1.0	right	wide	"[""right""]"	j
Risk	50.0	931.0	blue	0.0	right	wide	"[""left""]"	j
Risk	51.0	882.0	blue	0.1	left	wide	"[""right""]"	f
Risk	52.0	856.0	blue	0.0	left	wide	"[""right""]"	f
Risk	53.0	1346.0	blue	0.8	left	wide	"[""left""]"	f
Risk	54.0	639.0	blue	1.0	left	wide	"[""left""]"	f
Risk	55.0	757.0	blue	0.3	left	wide	"[""right""]"	f
Risk	56.0	902.0	blue	0.9	left	wide	"[""left""]"	f
Risk	57.0	885.0	blue	0.1	right	wide	"[""left""]"	j
Risk	58.0	730.0	blue	0.9	left	wide	"[""left""]"	f
Risk	59.0	907.0	blue	0.0	left	wide	"[""right""]"	f
