Lot_color	dist	percent	value	order
R	skew	0	2	3
R	skew	10	0	3
R	skew	20	2	3
R	skew	30	0	3
R	skew	40	3	3
R	skew	50	4	3
R	skew	60	4	3
R	skew	70	1	3
R	skew	80	3	3
R	skew	90	0	3
R	skew	100	2	3
G	wide	0	5	2
G	wide	10	0	2
G	wide	20	0	2
G	wide	30	3	2
G	wide	40	4	2
G	wide	50	3	2
G	wide	60	4	2
G	wide	70	3	2
G	wide	80	2	2
G	wide	90	2	2
G	wide	100	3	2
B	narrow	0	0	1
B	narrow	10	0	1
B	narrow	20	0	1
B	narrow	30	2	1
B	narrow	40	4	1
B	narrow	50	6	1
B	narrow	60	3	1
B	narrow	70	4	1
B	narrow	80	0	1
B	narrow	90	0	1
B	narrow	100	0	1
