Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	2581.0	blue	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1.0	1736.0	blue	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	1527.0	blue	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3.0	1850.0	blue	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4.0	1479.0	blue	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	5.0	1156.0	blue	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	6.0	1104.0	blue	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7.0	1440.0	blue	0.51	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	1614.0	blue	0.54	[0.25,0.75]	risk	narrow	right	j
Ambiguity	9.0	1025.0	blue	0.51	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	10.0	2032.0	blue	0.53	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11.0	1042.0	blue	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	12.0	1060.0	blue	0.53	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13.0	1572.0	blue	0.54	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14.0	1183.0	blue	0.55	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15.0	1457.0	blue	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16.0	1581.0	blue	0.41	[0,1]	Ambiguous	narrow	left	j
Ambiguity	17.0	1510.0	blue	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	2088.0	blue	0.51	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19.0	1360.0	blue	0.61	[0,1]	risk	narrow	left	f
Ambiguity	20.0	1197.0	blue	0.55	[0,1]	risk	narrow	right	j
Ambiguity	21.0	1017.0	blue	0.48	[0,1]	Ambiguous	narrow	left	j
Ambiguity	22.0	1299.0	blue	0.53	[0,1]	Ambiguous	narrow	right	f
