Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	1068.0	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	2707.0	green	0.57	[0,1]	win	Amb	norm	left	j
Learning	3.0	1740.0	green	0.69	[0,1]	win	risk	norm	right	j
Learning	4.0	2169.0	green	0.6	[0,1]	win	Amb	norm	right	f
Learning	5.0	953.0	green	0.65	[0,1]	win	risk	norm	right	j
Learning	6.0	1564.0	green	0.63	[0,1]	win	risk	norm	right	j
Learning	7.0	1123.0	green	0.61	[0,1]	win	Amb	norm	right	f
Learning	8.0	1466.0	green	0.63	[0,1]	win	risk	norm	left	f
Learning	9.0	1070.0	green	0.6	[0,1]	win	Amb	norm	right	f
Learning	10.0	1310.0	green	0.62	[0,1]	win	Amb	norm	left	j
Learning	11.0	1000.0	green	0.62	[0,1]	win	Amb	norm	right	f
Learning	12.0	2124.0	green	0.65	[0,1]	win	risk	norm	left	f
Learning	13.0	1001.0	green	0.63	[0,1]	win	Amb	norm	right	f
Learning	14.0	1031.0	green	0.63	[0,1]	win	Amb	norm	right	f
Learning	15.0	859.0	green	0.62	[0,1]	win	Amb	norm	left	j
Learning	1.0	837.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	2226.0	green	0.4	[0,1]	lose	risk	norm	left	f
Learning	3.0	1952.0	green	0.25	[0,1]	lose	Amb	norm	left	j
Learning	4.0	1136.0	green	0.3	[0,1]	lose	Amb	norm	right	f
Learning	5.0	1284.0	green	0.4	[0,1]	lose	Amb	norm	left	j
Learning	6.0	959.0	green	0.59	[0,1]	lose	risk	norm	right	j
Learning	7.0	842.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	8.0	1002.0	green	0.37	[0,1]	lose	Amb	norm	left	j
Learning	9.0	911.0	green	0.44	[0,1]	lose	Amb	norm	left	j
Learning	10.0	686.0	green	0.52	[0,1]	lose	risk	norm	left	f
Learning	11.0	1058.0	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	12.0	1035.0	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	13.0	656.0	green	0.54	[0,1]	lose	risk	norm	left	f
