Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1824.0	blue	0.3	right	narrow	"[""left""]"	j
Risk	1.0	1993.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	2.0	2034.0	blue	0.4	right	narrow	"[""left""]"	j
Risk	3.0	1750.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	4.0	1785.0	blue	0.6	left	narrow	"[""right""]"	f
Risk	5.0	1562.0	blue	0.3	left	narrow	"[""right""]"	f
Risk	6.0	1746.0	blue	0.7	right	narrow	"[""right""]"	j
Risk	7.0	1527.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	8.0	1527.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	9.0	1572.0	blue	0.6	left	narrow	"[""right""]"	f
Risk	10.0	1412.0	blue	0.4	left	narrow	"[""right""]"	f
Risk	11.0	1396.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	12.0	1409.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	13.0	1351.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	14.0	1411.0	blue	0.6	right	narrow	"[""left""]"	j
Risk	15.0	1567.0	blue	0.2	left	narrow	"[""right""]"	f
Risk	16.0	1642.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	17.0	1437.0	blue	0.4	left	narrow	"[""right""]"	f
Risk	18.0	1567.0	blue	0.5	left	narrow	"[""right""]"	f
Risk	19.0	1265.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	20.0	1469.0	green	0.2	right	wide	"[""left""]"	j
Risk	21.0	1354.0	green	0.3	left	wide	"[""right""]"	f
Risk	22.0	1309.0	green	0.2	left	wide	"[""right""]"	f
Risk	23.0	1318.0	green	0.1	right	wide	"[""left""]"	j
Risk	24.0	1732.0	green	1.0	right	wide	"[""right""]"	j
Risk	25.0	1456.0	green	0.8	right	wide	"[""right""]"	j
Risk	26.0	1088.0	green	0.0	left	wide	"[""right""]"	f
Risk	27.0	1183.0	green	0.9	left	wide	"[""left""]"	f
Risk	28.0	1017.0	green	0.0	left	wide	"[""right""]"	f
Risk	29.0	998.0	green	0.0	left	wide	"[""right""]"	f
Risk	30.0	1134.0	green	0.0	right	wide	"[""left""]"	j
Risk	31.0	929.0	green	1.0	left	wide	"[""left""]"	f
Risk	32.0	1054.0	green	0.8	right	wide	"[""right""]"	j
Risk	33.0	1146.0	green	1.0	right	wide	"[""right""]"	j
Risk	34.0	993.0	green	0.7	left	wide	"[""left""]"	f
Risk	35.0	995.0	green	0.1	right	wide	"[""left""]"	j
Risk	36.0	1039.0	green	0.9	left	wide	"[""left""]"	f
Risk	37.0	911.0	green	0.0	left	wide	"[""right""]"	f
Risk	38.0	796.0	green	0.1	right	wide	"[""left""]"	j
Risk	39.0	854.0	green	0.9	left	wide	"[""left""]"	f
Risk	40.0	1227.0	red	0.7	left	skew	"[""left""]"	f
Risk	41.0	1457.0	red	0.8	right	skew	"[""right""]"	j
Risk	42.0	1581.0	red	0.7	right	skew	"[""right""]"	j
Risk	43.0	1110.0	red	0.7	right	skew	"[""right""]"	j
Risk	44.0	1134.0	red	0.7	left	skew	"[""left""]"	f
Risk	45.0	1290.0	red	0.7	left	skew	"[""left""]"	f
Risk	46.0	1077.0	red	0.5	right	skew	"[""left""]"	j
Risk	47.0	817.0	red	0.7	left	skew	"[""left""]"	f
Risk	48.0	906.0	red	0.6000000000000001	right	skew	"[""left""]"	j
Risk	49.0	884.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	50.0	960.0	red	0.7	left	skew	"[""left""]"	f
Risk	51.0	998.0	red	0.6000000000000001	left	skew	"[""right""]"	f
Risk	52.0	828.0	red	0.5	right	skew	"[""left""]"	j
Risk	53.0	740.0	red	0.8	right	skew	"[""right""]"	j
Risk	54.0	888.0	red	0.8	right	skew	"[""right""]"	j
Risk	55.0	796.0	red	0.7	left	skew	"[""left""]"	f
Risk	56.0	1021.0	red	0.7	right	skew	"[""right""]"	j
Risk	57.0	871.0	red	0.4	left	skew	"[""right""]"	f
Risk	58.0	813.0	red	0.6000000000000001	left	skew	"[""right""]"	f
Risk	59.0	781.0	red	0.7	right	skew	"[""right""]"	j
