Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	1647.0	blue	0.5	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	1.0	2870.0	blue	0.61	[0.25,0.75]	risk	wide	right	j
Ambiguity	2.0	1561.0	blue	0.55	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	3.0	2344.0	blue	0.6	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	4.0	2619.0	blue	0.61	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	5.0	1740.0	blue	0.69	[0.25,0.75]	risk	wide	right	j
Ambiguity	6.0	2581.0	blue	0.65	[0.25,0.75]	risk	wide	left	f
Ambiguity	7.0	1534.0	blue	0.59	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	8.0	935.0	blue	0.59	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	9.0	2452.0	blue	0.61	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	10.0	1906.0	blue	0.65	[0.25,0.75]	risk	wide	right	j
Ambiguity	11.0	1146.0	blue	0.64	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	12.0	1938.0	blue	0.62	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	13.0	807.0	blue	0.61	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	14.0	1012.0	blue	0.64	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	15.0	3412.0	blue	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	16.0	1336.0	blue	0.59	[0,1]	Ambiguous	wide	left	j
Ambiguity	17.0	1073.0	blue	0.74	[0,1]	risk	wide	left	f
Ambiguity	18.0	1240.0	blue	0.67	[0,1]	risk	wide	left	f
Ambiguity	19.0	894.0	blue	0.54	[0,1]	Ambiguous	wide	left	j
Ambiguity	20.0	1243.0	blue	0.61	[0,1]	Ambiguous	wide	right	f
Ambiguity	21.0	793.0	blue	0.71	[0,1]	risk	wide	right	j
Ambiguity	22.0	1276.0	blue	0.66	[0,1]	risk	wide	left	f
Ambiguity	23.0	694.0	blue	0.59	[0,1]	Ambiguous	wide	left	j
Ambiguity	24.0	1187.0	blue	0.62	[0,1]	Ambiguous	wide	left	j
Ambiguity	25.0	1284.0	blue	0.68	[0,1]	risk	wide	right	j
Ambiguity	26.0	1374.0	blue	0.64	[0,1]	Ambiguous	wide	left	j
Ambiguity	27.0	1065.0	blue	0.62	[0,1]	Ambiguous	wide	right	f
Ambiguity	28.0	1392.0	blue	0.65	[0,1]	risk	wide	left	f
Ambiguity	29.0	964.0	blue	0.62	[0,1]	Ambiguous	wide	left	j
Ambiguity	30.0	4141.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	31.0	1738.0	red	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	32.0	3669.0	red	0.44	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	33.0	2269.0	red	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	34.0	2795.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	35.0	961.0	red	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	36.0	1389.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	37.0	785.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	38.0	783.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	39.0	1090.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	40.0	1052.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	41.0	953.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	42.0	1004.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	43.0	942.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	44.0	1330.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	45.0	995.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	46.0	749.0	red	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	47.0	1283.0	red	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	48.0	1451.0	red	0.55	[0,1]	risk	narrow	right	j
Ambiguity	49.0	1254.0	red	0.49	[0,1]	Ambiguous	narrow	right	f
Ambiguity	50.0	1073.0	red	0.51	[0,1]	risk	narrow	left	f
Ambiguity	51.0	793.0	red	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	52.0	1053.0	red	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	53.0	1341.0	red	0.51	[0,1]	risk	narrow	right	j
Ambiguity	54.0	840.0	red	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	55.0	1195.0	red	0.49	[0,1]	Ambiguous	narrow	right	f
Ambiguity	56.0	1190.0	red	0.51	[0,1]	risk	narrow	left	f
Ambiguity	57.0	689.0	red	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	58.0	902.0	red	0.51	[0,1]	risk	narrow	right	j
Ambiguity	59.0	850.0	red	0.52	[0,1]	risk	narrow	right	j
Ambiguity	60.0	1332.0	green	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	61.0	1336.0	green	0.58	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	62.0	2503.0	green	0.7	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	63.0	1428.0	green	0.91	[0.25,0.75]	risk	skew	left	f
Ambiguity	64.0	1315.0	green	0.78	[0.25,0.75]	risk	skew	right	j
