Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2752.0	red	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0		red	0.59	[0,1]	win	Amb	norm	left	
Learning	3.0	1224.0	red	0.71	[0,1]	win	risk	norm	right	j
Learning	4.0	1628.0	red	0.63	[0,1]	win	risk	norm	right	j
Learning	5.0	1128.0	red	0.52	[0,1]	win	Amb	norm	left	j
Learning	6.0	1144.0	red	0.59	[0,1]	win	Amb	norm	right	f
Learning	7.0	1431.0	red	0.67	[0,1]	win	risk	norm	right	j
Learning	8.0	1450.0	red	0.63	[0,1]	win	risk	norm	left	f
Learning	9.0	1727.0	red	0.57	[0,1]	win	Amb	norm	left	j
Learning	10.0	1545.0	red	0.61	[0,1]	win	risk	norm	left	f
Learning	11.0	1305.0	red	0.6	[0,1]	win	risk	norm	left	f
Learning	12.0	676.0	red	0.56	[0,1]	win	Amb	norm	left	j
Learning	13.0	988.0	red	0.59	[0,1]	win	Amb	norm	left	j
Learning	14.0	662.0	red	0.61	[0,1]	win	risk	norm	left	f
Learning	15.0	926.0	red	0.61	[0,1]	win	risk	norm	right	j
Learning	1.0	1504.0	blue	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	2477.0	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	3.0	1131.0	blue	0.73	[0,1]	win	risk	norm	left	f
Learning	4.0	1896.0	blue	0.66	[0,1]	win	Amb	norm	right	f
Learning	5.0	1693.0	blue	0.71	[0,1]	win	risk	norm	right	j
Learning	6.0	1209.0	blue	0.68	[0,1]	win	Amb	norm	left	j
Learning	7.0	1415.0	blue	0.69	[0,1]	win	Amb	norm	right	f
Learning	8.0	939.0	blue	0.71	[0,1]	win	risk	norm	left	f
Learning	9.0	907.0	blue	0.71	[0,1]	win	risk	norm	left	f
Learning	10.0	955.0	blue	0.7	[0,1]	win	risk	norm	right	j
Learning	11.0	1164.0	blue	0.66	[0,1]	win	Amb	norm	left	j
Learning	12.0	2909.0	blue	0.67	[0,1]	win	Amb	norm	right	f
Learning	13.0	795.0	blue	0.67	[0,1]	win	Amb	norm	left	j
Learning	14.0	1240.0	blue	0.69	[0,1]	win	Amb	norm	left	j
Learning	15.0	670.0	blue	0.71	[0,1]	win	risk	norm	right	j
Learning	1.0	2014.0	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	1406.0	red	0.58	[0,1]	lose	Amb	norm	right	f
Learning	3.0	836.0	red	0.7	[0,1]	lose	risk	norm	right	j
Learning	4.0	825.0	red	0.64	[0,1]	lose	risk	norm	right	j
Learning	5.0	1517.0	red	0.52	[0,1]	lose	Amb	norm	left	j
Learning	6.0	1885.0	red	0.57	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1083.0	red	0.67	[0,1]	lose	risk	norm	right	j
Learning	8.0	846.0	red	0.61	[0,1]	lose	risk	norm	left	f
Learning	9.0	664.0	red	0.54	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1298.0	red	0.57	[0,1]	lose	Amb	norm	right	f
Learning	11.0	693.0	red	0.64	[0,1]	lose	risk	norm	right	j
Learning	12.0	700.0	red	0.63	[0,1]	lose	risk	norm	left	f
Learning	13.0	651.0	red	0.6	[0,1]	lose	risk	norm	left	f
Learning	14.0	602.0	red	0.54	[0,1]	lose	Amb	norm	left	j
Learning	15.0	701.0	red	0.56	[0,1]	lose	Amb	norm	left	j
Learning	1.0	1263.0	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	771.0	green	0.6	[0,1]	win	Amb	norm	left	j
Learning	3.0	2415.0	green	0.76	[0,1]	win	risk	norm	right	j
Learning	4.0	1197.0	green	0.7	[0,1]	win	Amb	norm	left	j
Learning	5.0	877.0	green	0.76	[0,1]	win	risk	norm	left	f
Learning	6.0	701.0	green	0.75	[0,1]	win	risk	norm	left	f
Learning	7.0	1154.0	green	0.73	[0,1]	win	Amb	norm	right	f
Learning	8.0	724.0	green	0.71	[0,1]	win	Amb	norm	right	f
Learning	9.0	572.0	green	0.71	[0,1]	win	Amb	norm	right	f
Learning	10.0	965.0	green	0.73	[0,1]	win	Amb	norm	left	j
Learning	11.0	972.0	green	0.78	[0,1]	win	risk	norm	left	f
Learning	12.0	1050.0	green	0.74	[0,1]	win	Amb	norm	right	f
Learning	13.0	600.0	green	0.74	[0,1]	win	Amb	norm	right	f
Learning	14.0	1056.0	green	0.73	[0,1]	win	Amb	norm	left	j
Learning	15.0	959.0	green	0.73	[0,1]	win	Amb	norm	right	f
Learning	1.0	1498.0	green	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	1391.0	green	0.6	[0,1]	lose	Amb	norm	left	j
Learning	3.0	788.0	green	0.77	[0,1]	lose	risk	norm	left	f
Learning	4.0	2190.0	green	0.7	[0,1]	lose	risk	norm	right	j
Learning	5.0	1779.0	green	0.59	[0,1]	lose	Amb	norm	left	j
Learning	6.0	779.0	green	0.66	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1636.0	green	0.72	[0,1]	lose	Amb	norm	left	j
Learning	8.0	941.0	green	0.87	[0,1]	lose	risk	norm	right	j
Learning	9.0	1038.0	green	0.8	[0,1]	lose	risk	norm	right	j
Learning	10.0	1628.0	green	0.72	[0,1]	lose	risk	norm	left	f
Learning	11.0	1043.0	green	0.57	[0,1]	lose	Amb	norm	left	j
Learning	12.0	1263.0	green	0.61	[0,1]	lose	Amb	norm	right	f
Learning	13.0	1008.0	green	0.73	[0,1]	lose	risk	norm	left	f
Learning	14.0	860.0	green	0.69	[0,1]	lose	Amb	norm	right	f
Learning	15.0	616.0	green	0.71	[0,1]	lose	risk	norm	right	j
Learning	1.0	1549.0	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2.0	1244.0	blue	0.57	[0,1]	lose	Amb	norm	left	j
Learning	3.0	710.0	blue	0.69	[0,1]	lose	risk	norm	left	f
Learning	4.0	684.0	blue	0.61	[0,1]	lose	risk	norm	left	f
Learning	5.0	1076.0	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	6.0	759.0	blue	0.57	[0,1]	lose	Amb	norm	left	j
Learning	7.0	856.0	blue	0.62	[0,1]	lose	Amb	norm	left	j
Learning	8.0	920.0	blue	0.75	[0,1]	lose	risk	norm	right	j
Learning	9.0	861.0	blue	0.7	[0,1]	lose	risk	norm	left	f
Learning	10.0	619.0	blue	0.6	[0,1]	lose	Amb	norm	left	j
Learning	11.0	700.0	blue	0.67	[0,1]	lose	risk	norm	left	f
Learning	12.0	931.0	blue	0.66	[0,1]	lose	risk	norm	left	f
Learning	13.0	657.0	blue	0.61	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1447.0	blue	0.61	[0,1]	lose	Amb	norm	right	f
Learning	15.0	967.0	blue	0.64	[0,1]	lose	Amb	norm	right	f
