Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1284.0	blue	0.9	left	wide	"[""left""]"	f
Risk	1.0	1667.0	blue	0.0	left	wide	"[""right""]"	f
Risk	2.0	1456.0	blue	0.1	left	wide	"[""right""]"	f
Risk	3.0	1233.0	blue	0.1	left	wide	"[""right""]"	f
Risk	4.0	1150.0	blue	0.0	right	wide	"[""left""]"	j
Risk	5.0	1133.0	blue	1.0	right	wide	"[""right""]"	j
Risk	6.0	1207.0	blue	0.2	left	wide	"[""right""]"	f
Risk	7.0	951.0	blue	0.0	right	wide	"[""left""]"	j
Risk	8.0	1349.0	blue	0.2	left	wide	"[""right""]"	f
Risk	9.0	735.0	blue	0.0	left	wide	"[""right""]"	f
Risk	10.0	699.0	blue	0.1	left	wide	"[""right""]"	f
Risk	11.0	1223.0	blue	0.8	right	wide	"[""right""]"	j
Risk	12.0	760.0	blue	1.0	right	wide	"[""right""]"	j
Risk	13.0	1254.0	blue	0.7	left	wide	"[""left""]"	f
Risk	14.0	836.0	blue	0.9	right	wide	"[""right""]"	j
Risk	15.0	982.0	blue	0.9	left	wide	"[""left""]"	f
Risk	16.0	881.0	blue	0.0	left	wide	"[""right""]"	f
Risk	17.0	1207.0	blue	0.3	left	wide	"[""right""]"	f
Risk	18.0	874.0	blue	0.8	left	wide	"[""left""]"	f
Risk	19.0	720.0	blue	1.0	right	wide	"[""right""]"	j
Risk	20.0	1321.0	red	0.5	left	narrow	"[""right""]"	f
Risk	21.0	1124.0	red	0.5	left	narrow	"[""right""]"	f
Risk	22.0	1075.0	red	0.4	left	narrow	"[""right""]"	f
Risk	23.0	1769.0	red	0.6	left	narrow	"[""right""]"	f
Risk	24.0	1096.0	red	0.6	left	narrow	"[""right""]"	f
Risk	25.0	1142.0	red	0.5	right	narrow	"[""left""]"	j
Risk	26.0	1163.0	red	0.4	left	narrow	"[""right""]"	f
Risk	27.0	851.0	red	0.5	right	narrow	"[""left""]"	j
Risk	28.0	1335.0	red	0.5	left	narrow	"[""right""]"	f
Risk	29.0	946.0	red	0.3	right	narrow	"[""left""]"	j
Risk	30.0	1245.0	red	0.7	right	narrow	"[""right""]"	j
Risk	31.0	1077.0	red	0.3	right	narrow	"[""left""]"	j
Risk	32.0	1004.0	red	0.4	left	narrow	"[""right""]"	f
Risk	33.0	1386.0	red	0.6	right	narrow	"[""right""]"	j
Risk	34.0	927.0	red	0.5	right	narrow	"[""left""]"	j
Risk	35.0	976.0	red	0.5	left	narrow	"[""right""]"	f
Risk	36.0	935.0	red	0.5	right	narrow	"[""left""]"	j
Risk	37.0	876.0	red	0.5	left	narrow	"[""right""]"	f
Risk	38.0	827.0	red	0.2	right	narrow	"[""left""]"	j
Risk	39.0	871.0	red	0.5	left	narrow	"[""right""]"	f
Risk	40.0	1382.0	green	0.8	right	skew	"[""right""]"	j
Risk	41.0	853.0	green	0.7	left	skew	"[""left""]"	f
Risk	42.0	831.0	green	0.4	left	skew	"[""right""]"	f
Risk	43.0	864.0	green	0.7	right	skew	"[""right""]"	j
Risk	44.0	614.0	green	0.7	right	skew	"[""right""]"	j
Risk	45.0	695.0	green	0.8	left	skew	"[""left""]"	f
Risk	46.0	1287.0	green	0.6000000000000001	left	skew	"[""left""]"	f
Risk	47.0	752.0	green	0.5	right	skew	"[""left""]"	j
Risk	48.0	676.0	green	0.8	left	skew	"[""left""]"	f
Risk	49.0	763.0	green	0.7	right	skew	"[""right""]"	j
Risk	50.0	592.0	green	0.7	right	skew	"[""right""]"	j
Risk	51.0	1279.0	green	0.6000000000000001	right	skew	"[""right""]"	j
Risk	52.0	751.0	green	0.7	left	skew	"[""left""]"	f
Risk	53.0	806.0	green	0.5	right	skew	"[""left""]"	j
Risk	54.0	582.0	green	0.7	left	skew	"[""left""]"	f
Risk	55.0	628.0	green	0.7	right	skew	"[""right""]"	j
Risk	56.0	573.0	green	0.7	left	skew	"[""left""]"	f
Risk	57.0	907.0	green	0.6000000000000001	left	skew	"[""left""]"	f
Risk	58.0	585.0	green	0.7	left	skew	"[""left""]"	f
Risk	59.0	525.0	green	0.8999999999999999	left	skew	"[""left""]"	f
