Lot_color	dist	percent	value	order
R	narrow	0	0	2
R	narrow	10	2	2
R	narrow	20	2	2
R	narrow	30	5	2
R	narrow	40	5	2
R	narrow	50	10	2
R	narrow	60	5	2
R	narrow	70	2	2
R	narrow	80	1	2
R	narrow	90	0	2
R	narrow	100	0	2
G	wide	0	5	3
G	wide	10	10	3
G	wide	20	5	3
G	wide	30	5	3
G	wide	40	3	3
G	wide	50	5	3
G	wide	60	2	3
G	wide	70	1	3
G	wide	80	3	3
G	wide	90	5	3
G	wide	100	5	3
B	skew	0	0	1
B	skew	10	1	1
B	skew	20	2	1
B	skew	30	3	1
B	skew	40	5	1
B	skew	50	10	1
B	skew	60	10	1
B	skew	70	5	1
B	skew	80	5	1
B	skew	90	2	1
B	skew	100	0	1
