Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	3132.0	blue	0.5	[0.25,0.75]	risk	skew	left	f
Ambiguity	1.0	2499.0	blue	0.41	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	2.0	2702.0	blue	0.46	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	3.0	2313.0	blue	0.53	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	4.0	1030.0	blue	0.65	[0.25,0.75]	risk	skew	right	j
Ambiguity	5.0	1394.0	blue	0.59	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	6.0	1239.0	blue	0.62	[0.25,0.75]	risk	skew	left	f
Ambiguity	7.0	1491.0	blue	0.59	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	8.0	1359.0	blue	0.6	[0.25,0.75]	risk	skew	left	f
Ambiguity	9.0	1961.0	blue	0.59	[0.25,0.75]	risk	skew	left	f
Ambiguity	10.0	1552.0	blue	0.58	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	11.0	1469.0	blue	0.59	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	12.0	2295.0	blue	0.6	[0.25,0.75]	risk	skew	left	f
Ambiguity	13.0	1150.0	blue	0.58	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	14.0	1101.0	blue	0.55	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	15.0	2286.0	blue	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	16.0	819.0	blue	0.59	[0,1]	risk	skew	right	j
Ambiguity	17.0	1003.0	blue	0.55	[0,1]	Ambiguous	skew	right	f
Ambiguity	18.0	976.0	blue	0.59	[0,1]	Ambiguous	skew	right	f
Ambiguity	19.0	1519.0	blue	0.64	[0,1]	risk	skew	left	f
Ambiguity	20.0	1451.0	blue	0.6	[0,1]	Ambiguous	skew	right	f
Ambiguity	21.0	1925.0	blue	0.6	[0,1]	Ambiguous	skew	left	j
Ambiguity	22.0	1727.0	blue	0.59	[0,1]	Ambiguous	skew	left	j
Ambiguity	23.0	1440.0	blue	0.6	[0,1]	Ambiguous	skew	left	j
Ambiguity	24.0	848.0	blue	0.61	[0,1]	Ambiguous	skew	left	j
Ambiguity	25.0	1592.0	blue	0.67	[0,1]	risk	skew	right	j
Ambiguity	26.0	671.0	blue	0.66	[0,1]	risk	skew	right	j
Ambiguity	27.0	2522.0	blue	0.63	[0,1]	Ambiguous	skew	left	j
Ambiguity	28.0	998.0	blue	0.63	[0,1]	risk	skew	left	f
Ambiguity	29.0	1532.0	blue	0.62	[0,1]	Ambiguous	skew	right	f
Ambiguity	30.0	2544.0	red	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	31.0	1637.0	red	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	32.0	2140.0	red	0.43	[0.25,0.75]	risk	narrow	left	f
Ambiguity	33.0	2159.0	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	34.0	1177.0	red	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	35.0	1099.0	red	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	36.0	1534.0	red	0.44	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	37.0	1169.0	red	0.47	[0.25,0.75]	risk	narrow	left	f
Ambiguity	38.0	819.0	red	0.43	[0.25,0.75]	risk	narrow	right	j
Ambiguity	39.0	1602.0	red	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	40.0	829.0	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	41.0	697.0	red	0.41	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	42.0	1379.0	red	0.44	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	43.0	688.0	red	0.48	[0.25,0.75]	risk	narrow	right	j
Ambiguity	44.0	715.0	red	0.46	[0.25,0.75]	risk	narrow	right	j
Ambiguity	45.0	1333.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	46.0	1188.0	red	0.4	[0,1]	Ambiguous	narrow	right	f
