Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	1168.0	blue	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	2627.0	blue	0.61	[0,1]	win	Amb	norm	right	f
Learning	3.0	737.0	blue	0.73	[0,1]	win	Amb	norm	left	j
Learning	4.0	595.0	blue	0.96	[0,1]	win	Amb	norm	left	j
Learning	5.0	717.0	blue	1.0	[0,1]	win	risk	norm	left	f
Learning	6.0	1153.0	blue	0.84	[0,1]	win	risk	norm	left	f
Learning	7.0	739.0	blue	0.58	[0,1]	win	Amb	norm	left	j
Learning	8.0	1420.0	blue	0.73	[0,1]	win	risk	norm	right	j
Learning	9.0	817.0	blue	0.65	[0,1]	win	Amb	norm	right	f
Learning	10.0	1233.0	blue	0.7	[0,1]	win	risk	norm	left	f
Learning	11.0	1248.0	blue	0.68	[0,1]	win	Amb	norm	right	f
Learning	12.0	1693.0	blue	0.69	[0,1]	win	Amb	norm	right	f
Learning	13.0	961.0	blue	0.69	[0,1]	win	Amb	norm	left	j
Learning	14.0	858.0	blue	0.68	[0,1]	win	Amb	norm	left	j
Learning	15.0	1425.0	blue	0.69	[0,1]	win	Amb	norm	right	f
Learning	1.0	1120.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	860.0	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	3.0	842.0	green	0.23	[0,1]	lose	Amb	norm	right	f
Learning	4.0	626.0	green	0.28	[0,1]	lose	Amb	norm	right	f
Learning	5.0	1118.0	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	6.0	923.0	green	0.33	[0,1]	lose	Amb	norm	left	j
Learning	7.0	651.0	green	0.34	[0,1]	lose	Amb	norm	left	j
Learning	8.0	1409.0	green	0.38	[0,1]	lose	Amb	norm	right	f
Learning	9.0	546.0	green	0.41	[0,1]	lose	risk	norm	right	j
Learning	10.0	886.0	green	0.38	[0,1]	lose	Amb	norm	right	f
Learning	11.0	519.0	green	0.39	[0,1]	lose	risk	norm	right	j
Learning	12.0	941.0	green	0.38	[0,1]	lose	risk	norm	left	f
Learning	13.0	597.0	green	0.36	[0,1]	lose	Amb	norm	left	j
Learning	14.0	928.0	green	0.36	[0,1]	lose	Amb	norm	right	f
Learning	15.0	791.0	green	0.39	[0,1]	lose	risk	norm	right	j
Learning	1.0	1912.0	red	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	2028.0	red	0.58	[0,1]	win	Amb	norm	left	j
Learning	3.0	715.0	red	0.71	[0,1]	win	risk	norm	right	j
Learning	4.0	907.0	red	0.61	[0,1]	win	risk	norm	left	f
Learning	5.0	1596.0	red	0.5	[0,1]	win	Amb	norm	left	j
Learning	6.0	1268.0	red	0.58	[0,1]	win	Amb	norm	left	j
Learning	7.0	579.0	red	0.63	[0,1]	win	risk	norm	left	f
Learning	8.0	1167.0	red	0.57	[0,1]	win	Amb	norm	right	f
Learning	9.0	1226.0	red	0.58	[0,1]	win	risk	norm	right	j
Learning	10.0	1096.0	red	0.57	[0,1]	win	Amb	norm	left	j
Learning	11.0	981.0	red	0.57	[0,1]	win	Amb	norm	right	f
Learning	12.0	997.0	red	0.59	[0,1]	win	risk	norm	right	j
Learning	13.0	525.0	red	0.6	[0,1]	win	risk	norm	right	j
Learning	14.0	1204.0	red	0.59	[0,1]	win	Amb	norm	left	j
Learning	15.0	1132.0	red	0.61	[0,1]	win	risk	norm	right	j
Learning	1.0	2001.0	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1101.0	blue	0.38	[0,1]	lose	Amb	norm	right	f
Learning	3.0	588.0	blue	0.4	[0,1]	lose	risk	norm	right	j
Learning	4.0	836.0	blue	0.36	[0,1]	lose	Amb	norm	right	f
Learning	5.0	759.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	6.0	750.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	7.0	1110.0	blue	0.39	[0,1]	lose	Amb	norm	right	f
Learning	8.0	844.0	blue	0.36	[0,1]	lose	Amb	norm	right	f
Learning	9.0	551.0	blue	0.34	[0,1]	lose	Amb	norm	right	f
Learning	10.0	1399.0	blue	0.36	[0,1]	lose	Amb	norm	left	j
Learning	11.0	1451.0	blue	0.38	[0,1]	lose	risk	norm	right	j
Learning	12.0	992.0	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	13.0	1365.0	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	14.0	850.0	blue	0.38	[0,1]	lose	Amb	norm	right	f
Learning	15.0	1433.0	blue	0.39	[0,1]	lose	Amb	norm	right	f
Learning	1.0	1639.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	663.0	red	0.39	[0,1]	lose	Amb	norm	left	j
Learning	3.0	862.0	red	0.45	[0,1]	lose	risk	norm	right	j
Learning	4.0	797.0	red	0.4	[0,1]	lose	risk	norm	left	f
Learning	5.0	832.0	red	0.34	[0,1]	lose	Amb	norm	right	f
