Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	2547.0	blue	0.8999999999999999	right	skew	"[""right""]"	j
Risk	1.0	1925.0	blue	0.8	left	skew	"[""left""]"	f
Risk	2.0	2138.0	blue	0.7	left	skew	"[""left""]"	f
Risk	3.0	1497.0	blue	0.6000000000000001	right	skew	"[""left""]"	j
Risk	4.0	1880.0	blue	0.7	right	skew	"[""right""]"	j
Risk	5.0	1439.0	blue	0.7	left	skew	"[""left""]"	f
Risk	6.0	1301.0	blue	0.7	right	skew	"[""right""]"	j
Risk	7.0	1895.0	blue	0.4	left	skew	"[""right""]"	f
Risk	8.0	1791.0	blue	0.5	left	skew	"[""right""]"	f
Risk	9.0	1748.0	blue	0.6000000000000001	right	skew	"[""left""]"	j
Risk	10.0	1235.0	blue	0.8	left	skew	"[""left""]"	f
Risk	11.0	1620.0	blue	0.7	right	skew	"[""right""]"	j
Risk	12.0	1046.0	blue	0.8	right	skew	"[""right""]"	j
Risk	13.0	2491.0	blue	0.6000000000000001	right	skew	"[""left""]"	j
Risk	14.0	1675.0	blue	0.7	right	skew	"[""right""]"	j
Risk	15.0	954.0	blue	0.7	right	skew	"[""right""]"	j
Risk	16.0	1673.0	blue	0.5	left	skew	"[""right""]"	f
Risk	17.0	1179.0	blue	0.7	right	skew	"[""right""]"	j
Risk	18.0	1177.0	blue	0.7	left	skew	"[""left""]"	f
Risk	19.0	961.0	blue	0.7	right	skew	"[""right""]"	j
Risk	20.0	1852.0	red	0.5	left	narrow	"[""right""]"	f
Risk	21.0	1630.0	red	0.5	right	narrow	"[""left""]"	j
Risk	22.0	1221.0	red	0.5	right	narrow	"[""left""]"	j
Risk	23.0	810.0	red	0.5	right	narrow	"[""left""]"	j
Risk	24.0	2207.0	red	0.4	left	narrow	"[""right""]"	f
Risk	25.0	1759.0	red	0.6	left	narrow	"[""right""]"	f
Risk	26.0	1301.0	red	0.4	right	narrow	"[""left""]"	j
Risk	27.0	1203.0	red	0.6	right	narrow	"[""left""]"	j
Risk	28.0	1877.0	red	0.7	left	narrow	"[""left""]"	f
Risk	29.0	866.0	red	0.3	right	narrow	"[""left""]"	j
Risk	30.0	838.0	red	0.5	right	narrow	"[""left""]"	j
Risk	31.0	1270.0	red	0.2	left	narrow	"[""right""]"	f
Risk	32.0	1037.0	red	0.5	left	narrow	"[""right""]"	f
Risk	33.0	771.0	red	0.5	left	narrow	"[""right""]"	f
Risk	34.0	1412.0	red	0.5	right	narrow	"[""left""]"	j
Risk	35.0	709.0	red	0.3	right	narrow	"[""left""]"	j
Risk	36.0	938.0	red	0.5	right	narrow	"[""left""]"	j
Risk	37.0	971.0	red	0.4	left	narrow	"[""right""]"	f
Risk	38.0	826.0	red	0.5	right	narrow	"[""left""]"	j
Risk	39.0	1553.0	red	0.6	left	narrow	"[""right""]"	f
Risk	40.0	2802.0	green	0.0	right	wide	"[""left""]"	j
Risk	41.0	976.0	green	0.0	right	wide	"[""left""]"	j
Risk	42.0	769.0	green	0.0	right	wide	"[""left""]"	j
Risk	43.0	1752.0	green	0.8	left	wide	"[""left""]"	f
Risk	44.0	1943.0	green	0.0	left	wide	"[""right""]"	f
Risk	45.0	2735.0	green	0.9	right	wide	"[""right""]"	j
Risk	46.0	1616.0	green	1.0	left	wide	"[""left""]"	f
Risk	47.0	1025.0	green	0.0	left	wide	"[""right""]"	f
Risk	48.0	1022.0	green	0.2	left	wide	"[""right""]"	f
Risk	49.0	1334.0	green	1.0	left	wide	"[""left""]"	f
Risk	50.0	1029.0	green	0.9	left	wide	"[""left""]"	f
Risk	51.0	743.0	green	0.9	left	wide	"[""left""]"	f
Risk	52.0	1416.0	green	1.0	right	wide	"[""right""]"	j
Risk	53.0	1112.0	green	0.1	right	wide	"[""left""]"	j
Risk	54.0	1181.0	green	0.3	right	wide	"[""left""]"	j
Risk	55.0	837.0	green	0.1	right	wide	"[""left""]"	j
Risk	56.0	933.0	green	0.7	left	wide	"[""left""]"	f
Risk	57.0	1068.0	green	0.2	left	wide	"[""right""]"	f
Risk	58.0	844.0	green	0.8	right	wide	"[""right""]"	j
Risk	59.0	910.0	green	0.1	right	wide	"[""left""]"	j
