Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	3210.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	1.0	1754.0	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	1621.0	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3.0	1554.0	red	0.53	[0.25,0.75]	risk	narrow	left	f
Ambiguity	4.0	1981.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	5.0	1188.0	red	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	1558.0	red	0.44	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7.0	1419.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	1277.0	red	0.54	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9.0	1895.0	red	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1029.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11.0	1440.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	12.0	1269.0	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	13.0	1181.0	red	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	14.0	937.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15.0	1761.0	red	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16.0	1344.0	red	0.39	[0,1]	Ambiguous	narrow	right	f
Ambiguity	17.0	1611.0	red	0.41	[0,1]	Ambiguous	narrow	right	f
Ambiguity	18.0	1016.0	red	0.51	[0,1]	risk	narrow	right	j
Ambiguity	19.0	1733.0	red	0.48	[0,1]	Ambiguous	narrow	left	j
Ambiguity	20.0	1331.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	21.0		red	0.48	[0,1]	Ambiguous	narrow	left	
Ambiguity	22.0	1774.0	red	0.47	[0,1]	Ambiguous	narrow	left	j
Ambiguity	23.0	1045.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	24.0	1112.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	25.0	1060.0	red	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	26.0	978.0	red	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	27.0	961.0	red	0.43	[0,1]	Ambiguous	narrow	left	j
Ambiguity	28.0	1400.0	red	0.42	[0,1]	Ambiguous	narrow	right	f
Ambiguity	29.0	487.0	red	0.42	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30.0	2371.0	green	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31.0	1252.0	green	0.4	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	32.0	798.0	green	0.42	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	33.0	1633.0	green	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	34.0	1306.0	green	0.59	[0.25,0.75]	risk	wide	left	f
Ambiguity	35.0	592.0	green	0.52	[0.25,0.75]	risk	wide	left	f
Ambiguity	36.0	977.0	green	0.44	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	37.0	788.0	green	0.45	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	38.0	676.0	green	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	39.0	757.0	green	0.47	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	40.0	1730.0	green	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	41.0	868.0	green	0.53	[0.25,0.75]	risk	wide	right	j
Ambiguity	42.0	586.0	green	0.52	[0.25,0.75]	risk	wide	right	j
Ambiguity	43.0	1072.0	green	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	44.0	521.0	green	0.46	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	45.0	834.0	green	0.5	[0,1]	Ambiguous	wide	right	f
Ambiguity	46.0	782.0	green	0.62	[0,1]	risk	wide	left	f
Ambiguity	47.0	512.0	green	0.58	[0,1]	risk	wide	left	f
Ambiguity	48.0	1683.0	green	0.5	[0,1]	risk	wide	right	j
