Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2473.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1961.0	red	0.4	[0,1]	lose	Amb	norm	left	j
Learning	3.0	1568.0	red	0.45	[0,1]	lose	Amb	norm	left	j
Learning	4.0	1124.0	red	0.54	[0,1]	lose	risk	norm	right	j
Learning	5.0	924.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	6.0	1046.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	7.0	729.0	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	8.0	461.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	9.0	1942.0	red	0.49	[0,1]	lose	Amb	norm	right	f
Learning	10.0	1292.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	11.0	1361.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	12.0	1340.0	red	0.48	[0,1]	lose	risk	norm	left	f
Learning	13.0	580.0	red	0.48	[0,1]	lose	risk	norm	left	f
Learning	14.0	943.0	red	0.45	[0,1]	lose	Amb	norm	right	f
Learning	15.0	800.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	1.0	1343.0	blue	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	1383.0	blue	0.6	[0,1]	win	Amb	norm	left	j
Learning	3.0	1154.0	blue	0.76	[0,1]	win	risk	norm	right	j
Learning	4.0	1036.0	blue	0.69	[0,1]	win	Amb	norm	left	j
Learning	5.0	1318.0	blue	0.7	[0,1]	win	risk	norm	right	j
Learning	6.0	1158.0	blue	0.67	[0,1]	win	Amb	norm	right	f
Learning	7.0	1299.0	blue	0.66	[0,1]	win	Amb	norm	left	j
Learning	8.0	1264.0	blue	0.67	[0,1]	win	Amb	norm	right	f
Learning	9.0	1017.0	blue	0.66	[0,1]	win	Amb	norm	left	j
Learning	10.0	1213.0	blue	0.67	[0,1]	win	Amb	norm	right	f
Learning	11.0	789.0	blue	0.71	[0,1]	win	risk	norm	left	f
Learning	12.0	1277.0	blue	0.69	[0,1]	win	risk	norm	left	f
Learning	13.0	890.0	blue	0.66	[0,1]	win	Amb	norm	right	f
Learning	14.0	960.0	blue	0.67	[0,1]	win	Amb	norm	right	f
Learning	15.0	1315.0	blue	0.67	[0,1]	win	Amb	norm	left	j
Learning	1.0	1328.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1172.0	green	0.4	[0,1]	lose	Amb	norm	right	f
Learning	3.0	1241.0	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	4.0	698.0	green	0.53	[0,1]	lose	risk	norm	right	j
Learning	5.0	716.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	6.0	954.0	green	0.44	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1377.0	green	0.45	[0,1]	lose	Amb	norm	right	f
Learning	8.0	1239.0	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	9.0	1050.0	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	10.0	957.0	green	0.46	[0,1]	lose	Amb	norm	right	f
Learning	11.0	1396.0	green	0.46	[0,1]	lose	Amb	norm	left	j
Learning	12.0	1140.0	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	13.0	1028.0	green	0.53	[0,1]	lose	risk	norm	right	j
