Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	1818.0	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1.0	2331.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	1854.0	green	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	3.0	1451.0	green	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	4.0	1016.0	green	0.55	[0.25,0.75]	risk	narrow	left	f
Ambiguity	5.0	1165.0	green	0.49	[0.25,0.75]	risk	narrow	left	f
Ambiguity	6.0	2229.0	green	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7.0	1157.0	green	0.43	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	8.0	1593.0	green	0.46	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9.0	1467.0	green	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	10.0	779.0	green	0.43	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11.0	758.0	green	0.45	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	12.0	823.0	green	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	13.0	613.0	green	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14.0	1383.0	green	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15.0	1618.0	green	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16.0	2083.0	green	0.38	[0,1]	risk	narrow	right	j
Ambiguity	17.0	1013.0	green	0.21	[0,1]	Ambiguous	narrow	right	f
Ambiguity	18.0	1680.0	green	0.27	[0,1]	risk	narrow	left	f
Ambiguity	19.0	972.0	green	0.22	[0,1]	Ambiguous	narrow	right	f
Ambiguity	20.0	1708.0	green	0.25	[0,1]	Ambiguous	narrow	right	f
Ambiguity	21.0	1256.0	green	0.3	[0,1]	risk	narrow	right	j
Ambiguity	22.0	744.0	green	0.3	[0,1]	risk	narrow	left	f
Ambiguity	23.0	846.0	green	0.26	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24.0	1128.0	green	0.28	[0,1]	Ambiguous	narrow	left	j
Ambiguity	25.0	933.0	green	0.29	[0,1]	Ambiguous	narrow	left	j
Ambiguity	26.0	1749.0	green	0.32	[0,1]	risk	narrow	left	f
Ambiguity	27.0	816.0	green	0.3	[0,1]	risk	narrow	left	f
Ambiguity	28.0	941.0	green	0.29	[0,1]	Ambiguous	narrow	left	j
Ambiguity	29.0	2462.0	green	0.31	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30.0	2041.0	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31.0	1569.0	blue	0.4	[0.25,0.75]	risk	wide	left	f
Ambiguity	32.0	1103.0	blue	0.25	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	33.0	2267.0	blue	0.32	[0.25,0.75]	risk	wide	right	j
Ambiguity	34.0	1654.0	blue	0.29	[0.25,0.75]	risk	wide	right	j
Ambiguity	35.0	970.0	blue	0.24	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	36.0	1640.0	blue	0.28	[0.25,0.75]	risk	wide	left	f
Ambiguity	37.0	1199.0	blue	0.28	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	38.0	1464.0	blue	0.28	[0.25,0.75]	risk	wide	right	j
Ambiguity	39.0	769.0	blue	0.29	[0.25,0.75]	risk	wide	right	j
Ambiguity	40.0	725.0	blue	0.28	[0.25,0.75]	risk	wide	right	j
Ambiguity	41.0	1447.0	blue	0.26	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	42.0	826.0	blue	0.27	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	43.0	1214.0	blue	0.25	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	44.0	2086.0	blue	0.28	[0.25,0.75]	risk	wide	right	j
Ambiguity	45.0	671.0	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	46.0	1746.0	blue	0.39	[0,1]	risk	wide	left	f
Ambiguity	47.0	1486.0	blue	0.22	[0,1]	risk	wide	left	f
Ambiguity	48.0	1235.0	blue	0.0	[0,1]	Ambiguous	wide	right	f
Ambiguity	49.0	1965.0	blue	0.08	[0,1]	Ambiguous	wide	right	f
Ambiguity	50.0	1339.0	blue	0.26	[0,1]	risk	wide	right	j
Ambiguity	51.0	1513.0	blue	0.19	[0,1]	Ambiguous	wide	left	j
Ambiguity	52.0	996.0	blue	0.22	[0,1]	Ambiguous	wide	right	f
Ambiguity	53.0	732.0	blue	0.27	[0,1]	Ambiguous	wide	left	j
Ambiguity	54.0	514.0	blue	0.33	[0,1]	Ambiguous	wide	right	f
Ambiguity	55.0	870.0	blue	0.44	[0,1]	risk	wide	right	j
Ambiguity	56.0	1046.0	blue	0.38	[0,1]	Ambiguous	wide	left	j
Ambiguity	57.0	1287.0	blue	0.43	[0,1]	risk	wide	right	j
Ambiguity	58.0	995.0	blue	0.42	[0,1]	risk	wide	right	j
Ambiguity	59.0	1321.0	blue	0.4	[0,1]	Ambiguous	wide	left	j
Ambiguity	60.0	2432.0	red	0.5	[0.25,0.75]	risk	skew	right	j
Ambiguity	61.0	921.0	red	0.41	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	62.0	1282.0	red	0.44	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	63.0	873.0	red	0.51	[0.25,0.75]	risk	skew	right	j
Ambiguity	64.0	1044.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	65.0	1701.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	66.0	902.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	67.0	2338.0	red	0.53	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	983.0	red	0.61	[0.25,0.75]	risk	skew	left	f
