Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	4433.0	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	1446.0	red	0.58	[0,1]	win	Amb	norm	left	j
Learning	3.0	779.0	red	0.7	[0,1]	win	Amb	norm	right	f
Learning	4.0	1248.0	red	0.9	[0,1]	win	risk	norm	right	j
Learning	5.0	1139.0	red	0.79	[0,1]	win	risk	norm	left	f
Learning	6.0	893.0	red	0.63	[0,1]	win	Amb	norm	right	f
Learning	7.0	847.0	red	0.68	[0,1]	win	Amb	norm	left	j
Learning	8.0	1303.0	red	0.78	[0,1]	win	risk	norm	right	j
Learning	9.0	537.0	red	0.73	[0,1]	win	risk	norm	left	f
Learning	10.0	945.0	red	0.64	[0,1]	win	Amb	norm	left	j
Learning	11.0	1399.0	red	0.67	[0,1]	win	Amb	norm	right	f
Learning	12.0	582.0	red	0.72	[0,1]	win	risk	norm	right	j
Learning	13.0	739.0	red	0.68	[0,1]	win	Amb	norm	right	f
Learning	14.0	1616.0	red	0.71	[0,1]	win	risk	norm	left	f
Learning	15.0	860.0	red	0.68	[0,1]	win	Amb	norm	right	f
Learning	1.0	1706.0	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	616.0	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	3.0	1173.0	green	0.73	[0,1]	win	risk	norm	left	f
Learning	4.0	885.0	green	0.66	[0,1]	win	Amb	norm	right	f
Learning	5.0	2020.0	green	0.71	[0,1]	win	Amb	norm	left	j
Learning	6.0	1057.0	green	0.79	[0,1]	win	risk	norm	right	j
Learning	7.0	919.0	green	0.75	[0,1]	win	risk	norm	right	j
Learning	8.0	775.0	green	0.72	[0,1]	win	Amb	norm	right	f
Learning	9.0	843.0	green	0.73	[0,1]	win	Amb	norm	left	j
Learning	10.0	781.0	green	0.75	[0,1]	win	risk	norm	right	j
Learning	11.0	623.0	green	0.74	[0,1]	win	Amb	norm	right	f
Learning	12.0	588.0	green	0.75	[0,1]	win	risk	norm	right	j
Learning	13.0	439.0	green	0.75	[0,1]	win	risk	norm	right	j
Learning	14.0	917.0	green	0.72	[0,1]	win	Amb	norm	left	j
Learning	15.0	1260.0	green	0.7	[0,1]	win	risk	norm	left	f
Learning	1.0	1113.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	489.0	red	0.4	[0,1]	lose	risk	norm	right	j
Learning	3.0	503.0	red	0.24	[0,1]	lose	risk	norm	left	f
Learning	4.0	1406.0	red	0.01	[0,1]	lose	Amb	norm	left	j
Learning	5.0	754.0	red	0.11	[0,1]	lose	Amb	norm	right	f
Learning	6.0	1130.0	red	0.3	[0,1]	lose	risk	norm	right	j
Learning	7.0	828.0	red	0.21	[0,1]	lose	risk	norm	right	j
Learning	8.0	1023.0	red	0.07	[0,1]	lose	Amb	norm	left	j
Learning	9.0	1280.0	red	0.14	[0,1]	lose	risk	norm	right	j
Learning	10.0	664.0	red	0.12	[0,1]	lose	risk	norm	left	f
Learning	11.0	1169.0	red	0.07	[0,1]	lose	Amb	norm	left	j
Learning	12.0	1534.0	red	0.1	[0,1]	lose	Amb	norm	right	f
Learning	13.0	1902.0	red	0.11	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1123.0	red	0.15	[0,1]	lose	risk	norm	left	f
Learning	15.0	517.0	red	0.13	[0,1]	lose	risk	norm	left	f
Learning	1.0	1964.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	542.0	blue	0.39	[0,1]	win	Amb	norm	right	f
Learning	3.0	998.0	blue	0.42	[0,1]	win	Amb	norm	left	j
Learning	4.0	1256.0	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	5.0	1077.0	blue	0.61	[0,1]	win	risk	norm	right	j
Learning	6.0	941.0	blue	0.55	[0,1]	win	Amb	norm	left	j
Learning	7.0	1216.0	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	8.0	1198.0	blue	0.59	[0,1]	win	Amb	norm	right	f
Learning	9.0	1116.0	blue	0.62	[0,1]	win	risk	norm	left	f
Learning	10.0	689.0	blue	0.6	[0,1]	win	risk	norm	right	j
Learning	11.0	739.0	blue	0.55	[0,1]	win	Amb	norm	right	f
Learning	12.0	733.0	blue	0.57	[0,1]	win	Amb	norm	right	f
Learning	13.0	619.0	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	14.0	634.0	blue	0.64	[0,1]	win	risk	norm	right	j
Learning	15.0	996.0	blue	0.61	[0,1]	win	risk	norm	left	f
Learning	1.0	752.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	613.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	3.0	361.0	blue	0.22	[0,1]	lose	risk	norm	left	f
Learning	4.0	452.0	blue	0.0	[0,1]	lose	risk	norm	left	f
Learning	5.0	940.0	blue	0.0	[0,1]	lose	Amb	norm	right	f
