Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1547.0	green	0.5	left	narrow	"[""left""]"	f
Risk	1.0	1873.0	green	0.5	right	narrow	"[""right""]"	j
Risk	2.0	1436.0	green	0.3	left	narrow	"[""right""]"	f
Risk	3.0	1771.0	green	0.4	left	narrow	"[""right""]"	f
Risk	4.0	877.0	green	0.4	left	narrow	"[""right""]"	f
Risk	5.0	1283.0	green	0.5	left	narrow	"[""left""]"	f
Risk	6.0	1008.0	green	0.4	left	narrow	"[""right""]"	f
Risk	7.0	1103.0	green	0.6	right	narrow	"[""right""]"	j
Risk	8.0	798.0	green	0.5	left	narrow	"[""left""]"	f
Risk	9.0	630.0	green	0.5	left	narrow	"[""left""]"	f
Risk	10.0	604.0	green	0.5	left	narrow	"[""left""]"	f
Risk	11.0	542.0	green	0.5	left	narrow	"[""left""]"	f
Risk	12.0	692.0	green	0.5	right	narrow	"[""right""]"	j
Risk	13.0	704.0	green	0.3	right	narrow	"[""right""]"	j
Risk	14.0	2154.0	green	0.2	right	narrow	"[""left""]"	j
Risk	15.0	1978.0	green	0.6	left	narrow	"[""left""]"	f
Risk	16.0	1514.0	green	0.5	left	narrow	"[""left""]"	f
Risk	17.0	758.0	green	0.6	right	narrow	"[""right""]"	j
Risk	18.0	622.0	green	0.5	right	narrow	"[""right""]"	j
Risk	19.0	794.0	green	0.7	right	narrow	"[""right""]"	j
Risk	20.0	2459.0	blue	0.1	right	wide	"[""left""]"	j
Risk	21.0	680.0	blue	0.1	right	wide	"[""left""]"	j
Risk	22.0	1129.0	blue	0.0	left	wide	"[""right""]"	f
Risk	23.0		blue	0.8	none	wide	"[""left""]"	
Risk	24.0	1049.0	blue	0.1	right	wide	"[""left""]"	j
Risk	25.0	941.0	blue	1.0	right	wide	"[""right""]"	j
Risk	26.0	1189.0	blue	0.3	right	wide	"[""left""]"	j
Risk	27.0	710.0	blue	0.9	left	wide	"[""left""]"	f
Risk	28.0	743.0	blue	0.8	right	wide	"[""right""]"	j
Risk	29.0	1352.0	blue	0.2	right	wide	"[""left""]"	j
Risk	30.0	763.0	blue	0.7	right	wide	"[""right""]"	j
Risk	31.0	858.0	blue	0.9	right	wide	"[""right""]"	j
Risk	32.0	713.0	blue	0.0	left	wide	"[""right""]"	f
Risk	33.0	690.0	blue	1.0	right	wide	"[""right""]"	j
Risk	34.0	830.0	blue	0.0	right	wide	"[""left""]"	j
Risk	35.0	1097.0	blue	0.2	right	wide	"[""left""]"	j
Risk	36.0	1229.0	blue	0.0	left	wide	"[""right""]"	f
Risk	37.0	593.0	blue	1.0	right	wide	"[""right""]"	j
Risk	38.0	876.0	blue	0.0	right	wide	"[""left""]"	j
Risk	39.0	631.0	blue	0.9	left	wide	"[""left""]"	f
Risk	40.0	1254.0	red	0.7	left	skew	"[""left""]"	f
Risk	41.0	616.0	red	0.7	right	skew	"[""right""]"	j
Risk	42.0	1052.0	red	0.4	right	skew	"[""left""]"	j
Risk	43.0	845.0	red	0.7	left	skew	"[""left""]"	f
Risk	44.0	955.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	45.0	596.0	red	0.7	left	skew	"[""left""]"	f
Risk	46.0	541.0	red	0.7	right	skew	"[""right""]"	j
Risk	47.0	705.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	48.0	748.0	red	0.5	right	skew	"[""right""]"	j
Risk	49.0	743.0	red	0.7	left	skew	"[""left""]"	f
Risk	50.0	468.0	red	0.7	right	skew	"[""right""]"	j
Risk	51.0	609.0	red	0.8	right	skew	"[""right""]"	j
Risk	52.0	593.0	red	0.8	left	skew	"[""left""]"	f
Risk	53.0	508.0	red	0.7	right	skew	"[""right""]"	j
Risk	54.0	518.0	red	0.7	right	skew	"[""right""]"	j
Risk	55.0	588.0	red	0.8	left	skew	"[""left""]"	f
Risk	56.0	469.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	57.0	499.0	red	0.7	left	skew	"[""left""]"	f
Risk	58.0	618.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	59.0	424.0	red	0.5	right	skew	"[""right""]"	j
