Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	4245.0	green	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	1.0	3621.0	green	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	2386.0	green	0.44	[0.25,0.75]	risk	narrow	right	j
Ambiguity	3.0	2293.0	green	0.4	[0.25,0.75]	risk	narrow	left	f
Ambiguity	4.0	2656.0	green	0.35	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5.0	2504.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	1820.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	7.0	1751.0	green	0.44	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8.0	1106.0	green	0.42	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9.0	2434.0	green	0.38	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	2256.0	green	0.33	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11.0	1187.0	green	0.32	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12.0	2438.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13.0	1596.0	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	14.0	2072.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15.0	2995.0	green	0.5	[0,1]	Ambiguous	narrow	left	j
Ambiguity	16.0	1771.0	green	0.62	[0,1]	risk	narrow	left	f
Ambiguity	17.0	1176.0	green	0.56	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	1333.0	green	0.59	[0,1]	risk	narrow	right	j
Ambiguity	19.0	1373.0	green	0.56	[0,1]	risk	narrow	left	f
Ambiguity	20.0	1091.0	green	0.52	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21.0	906.0	green	0.55	[0,1]	risk	narrow	right	j
Ambiguity	22.0	1614.0	green	0.56	[0,1]	Ambiguous	narrow	left	j
Ambiguity	23.0	1916.0	green	0.53	[0,1]	Ambiguous	narrow	left	j
Ambiguity	24.0	1682.0	green	0.53	[0,1]	risk	narrow	right	j
Ambiguity	25.0	1558.0	green	0.53	[0,1]	risk	narrow	left	f
Ambiguity	26.0	1075.0	green	0.53	[0,1]	risk	narrow	right	j
Ambiguity	27.0	999.0	green	0.54	[0,1]	risk	narrow	right	j
Ambiguity	28.0	1001.0	green	0.54	[0,1]	risk	narrow	left	f
Ambiguity	29.0	849.0	green	0.52	[0,1]	risk	narrow	left	f
Ambiguity	30.0	2848.0	blue	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	31.0	1852.0	blue	0.58	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	32.0	3018.0	blue	0.74	[0.25,0.75]	risk	wide	left	f
Ambiguity	33.0	2688.0	blue	0.66	[0.25,0.75]	risk	wide	right	j
Ambiguity	34.0	1513.0	blue	0.54	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	35.0	1545.0	blue	0.57	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	36.0	1562.0	blue	0.63	[0.25,0.75]	risk	wide	left	f
Ambiguity	37.0	2089.0	blue	0.57	[0.25,0.75]	risk	wide	right	j
Ambiguity	38.0	1710.0	blue	0.52	[0.25,0.75]	risk	wide	left	f
Ambiguity	39.0	1893.0	blue	0.41	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	40.0	1352.0	blue	0.46	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	41.0	1683.0	blue	0.54	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	42.0	1198.0	blue	0.63	[0.25,0.75]	risk	wide	right	j
Ambiguity	43.0	1021.0	blue	0.59	[0.25,0.75]	risk	wide	right	j
Ambiguity	44.0	1217.0	blue	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	45.0	1534.0	blue	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	46.0	1451.0	blue	0.61	[0,1]	risk	wide	left	f
Ambiguity	47.0	1595.0	blue	0.55	[0,1]	Ambiguous	wide	right	f
Ambiguity	48.0	1169.0	blue	0.6	[0,1]	risk	wide	right	j
Ambiguity	49.0	1566.0	blue	0.58	[0,1]	risk	wide	right	j
Ambiguity	50.0	1627.0	blue	0.55	[0,1]	Ambiguous	wide	right	f
Ambiguity	51.0	1331.0	blue	0.57	[0,1]	Ambiguous	wide	left	j
Ambiguity	52.0	1781.0	blue	0.6	[0,1]	Ambiguous	wide	left	j
Ambiguity	53.0	985.0	blue	0.64	[0,1]	Ambiguous	wide	left	j
Ambiguity	54.0	1114.0	blue	0.66	[0,1]	risk	wide	right	j
Ambiguity	55.0	1832.0	blue	0.62	[0,1]	Ambiguous	wide	right	f
Ambiguity	56.0	1555.0	blue	0.64	[0,1]	risk	wide	left	f
Ambiguity	57.0	1546.0	blue	0.64	[0,1]	Ambiguous	wide	left	j
Ambiguity	58.0	1930.0	blue	0.61	[0,1]	Ambiguous	wide	right	f
Ambiguity	59.0	1145.0	blue	0.62	[0,1]	risk	wide	left	f
Ambiguity	60.0	2449.0	red	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	61.0	3044.0	red	0.58	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	62.0	1701.0	red	0.7	[0.25,0.75]	risk	skew	right	j
Ambiguity	63.0	1462.0	red	0.64	[0.25,0.75]	risk	skew	left	f
Ambiguity	64.0	1695.0	red	0.52	[0.25,0.75]	risk	skew	right	j
Ambiguity	65.0	1093.0	red	0.33	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	66.0	1179.0	red	0.38	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	67.0	1825.0	red	0.53	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	1190.0	red	0.71	[0.25,0.75]	risk	skew	left	f
Ambiguity	69.0	1793.0	red	0.63	[0.25,0.75]	risk	skew	right	j
Ambiguity	70.0	1649.0	red	0.47	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	71.0	1406.0	red	0.54	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	72.0	1166.0	red	0.66	[0.25,0.75]	risk	skew	left	f
Ambiguity	73.0	1936.0	red	0.62	[0.25,0.75]	risk	skew	left	f
Ambiguity	74.0	1635.0	red	0.54	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	75.0	1088.0	red	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	76.0	918.0	red	0.62	[0,1]	Ambiguous	skew	left	j
Ambiguity	77.0	729.0	red	0.74	[0,1]	Ambiguous	skew	right	f
Ambiguity	78.0	1384.0	red	0.94	[0,1]	risk	skew	right	j
Ambiguity	79.0	1406.0	red	0.81	[0,1]	risk	skew	left	f
Ambiguity	80.0	1788.0	red	0.63	[0,1]	Ambiguous	skew	left	j
Ambiguity	81.0	1075.0	red	0.71	[0,1]	risk	skew	right	j
Ambiguity	82.0	1808.0	red	0.66	[0,1]	risk	skew	left	f
Ambiguity	83.0	2235.0	red	0.6	[0,1]	Ambiguous	skew	left	j
Ambiguity	84.0	1291.0	red	0.6	[0,1]	Ambiguous	skew	left	j
Ambiguity	85.0	1487.0	red	0.67	[0,1]	risk	skew	right	j
Ambiguity	86.0	2149.0	red	0.63	[0,1]	Ambiguous	skew	left	j
Ambiguity	87.0	1764.0	red	0.66	[0,1]	risk	skew	right	j
Ambiguity	88.0	1036.0	red	0.66	[0,1]	risk	skew	right	j
Ambiguity	89.0	997.0	red	0.66	[0,1]	risk	skew	right	j
