Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2932.0	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	2468.0	green	0.61	[0,1]	win	Amb	norm	left	j
Learning	3.0	965.0	green	0.75	[0,1]	win	Amb	norm	right	f
Learning	4.0	850.0	green	0.95	[0,1]	win	risk	norm	right	j
Learning	5.0	951.0	green	0.84	[0,1]	win	risk	norm	right	j
Learning	6.0	1429.0	green	0.68	[0,1]	win	risk	norm	left	f
Learning	7.0	1231.0	green	0.43	[0,1]	win	Amb	norm	right	f
Learning	8.0	1149.0	green	0.56	[0,1]	win	Amb	norm	right	f
Learning	9.0	1177.0	green	0.76	[0,1]	win	risk	norm	right	j
Learning	10.0	1214.0	green	0.68	[0,1]	win	Amb	norm	left	j
Learning	11.0	824.0	green	0.74	[0,1]	win	risk	norm	left	f
Learning	12.0	772.0	green	0.7	[0,1]	win	risk	norm	left	f
Learning	13.0	1069.0	green	0.64	[0,1]	win	risk	norm	right	j
Learning	14.0	1777.0	green	0.59	[0,1]	win	Amb	norm	right	f
Learning	15.0	1502.0	green	0.6	[0,1]	win	Amb	norm	left	j
Learning	1.0	1837.0	blue	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	952.0	blue	0.58	[0,1]	win	risk	norm	right	j
Learning	3.0	1467.0	blue	0.51	[0,1]	win	Amb	norm	left	j
Learning	4.0	1067.0	blue	0.56	[0,1]	win	Amb	norm	left	j
Learning	5.0	853.0	blue	0.62	[0,1]	win	risk	norm	left	f
Learning	6.0	781.0	blue	0.61	[0,1]	win	risk	norm	right	j
Learning	7.0	1554.0	blue	0.58	[0,1]	win	risk	norm	left	f
Learning	8.0	815.0	blue	0.52	[0,1]	win	risk	norm	right	j
Learning	9.0	1311.0	blue	0.46	[0,1]	win	Amb	norm	right	f
Learning	10.0	908.0	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	11.0	1459.0	blue	0.52	[0,1]	win	Amb	norm	right	f
Learning	12.0	1581.0	blue	0.61	[0,1]	win	Amb	norm	left	j
Learning	13.0	981.0	blue	0.74	[0,1]	win	risk	norm	right	j
Learning	14.0	747.0	blue	0.7	[0,1]	win	risk	norm	right	j
Learning	15.0	1425.0	blue	0.61	[0,1]	win	risk	norm	left	f
Learning	1.0		blue	0.5	[0,1]	lose	Amb	norm	left	
Learning	2.0	2469.0	blue	0.62	[0,1]	lose	risk	norm	left	f
Learning	3.0	1697.0	blue	0.55	[0,1]	lose	Amb	norm	right	f
Learning	4.0	1807.0	blue	0.56	[0,1]	lose	Amb	norm	left	j
Learning	5.0	1068.0	blue	0.6	[0,1]	lose	risk	norm	right	j
Learning	6.0	811.0	blue	0.57	[0,1]	lose	risk	norm	right	j
Learning	7.0	2095.0	blue	0.53	[0,1]	lose	risk	norm	left	f
Learning	8.0	993.0	blue	0.49	[0,1]	lose	risk	norm	left	f
Learning	9.0	953.0	blue	0.43	[0,1]	lose	Amb	norm	left	j
Learning	10.0	925.0	blue	0.45	[0,1]	lose	Amb	norm	left	j
Learning	11.0	1080.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	12.0	1593.0	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	13.0	1374.0	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	14.0	830.0	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	15.0	1682.0	blue	0.48	[0,1]	lose	risk	norm	right	j
Learning	1.0	2438.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1138.0	green	0.39	[0,1]	lose	Amb	norm	right	f
Learning	3.0	1274.0	green	0.43	[0,1]	lose	Amb	norm	left	j
Learning	4.0	1352.0	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	5.0	743.0	green	0.6	[0,1]	lose	risk	norm	right	j
Learning	6.0	1927.0	green	0.52	[0,1]	lose	Amb	norm	left	j
Learning	7.0	1124.0	green	0.53	[0,1]	lose	risk	norm	right	j
Learning	8.0	886.0	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	9.0	1251.0	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	10.0	917.0	green	0.46	[0,1]	lose	Amb	norm	right	f
Learning	11.0	869.0	green	0.46	[0,1]	lose	risk	norm	right	j
Learning	12.0	1021.0	green	0.44	[0,1]	lose	Amb	norm	left	j
Learning	13.0	821.0	green	0.45	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1153.0	green	0.43	[0,1]	lose	risk	norm	right	j
Learning	15.0	988.0	green	0.43	[0,1]	lose	Amb	norm	right	f
Learning	1.0	2707.0	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	2658.0	red	0.59	[0,1]	lose	risk	norm	right	j
Learning	3.0	1633.0	red	0.54	[0,1]	lose	risk	norm	right	j
Learning	4.0	890.0	red	0.45	[0,1]	lose	risk	norm	left	f
Learning	5.0	1152.0	red	0.35	[0,1]	lose	Amb	norm	left	j
Learning	6.0	1359.0	red	0.38	[0,1]	lose	Amb	norm	right	f
Learning	7.0	1020.0	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	8.0	1942.0	red	0.57	[0,1]	lose	risk	norm	left	f
Learning	9.0	1322.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1825.0	red	0.54	[0,1]	lose	risk	norm	right	j
Learning	11.0	1389.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	12.0	1912.0	red	0.47	[0,1]	lose	Amb	norm	left	j
Learning	13.0	782.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1057.0	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	15.0	2166.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	1.0	2469.0	red	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	872.0	red	0.58	[0,1]	win	risk	norm	right	j
Learning	3.0	1832.0	red	0.54	[0,1]	win	Amb	norm	right	f
Learning	4.0	1014.0	red	0.59	[0,1]	win	risk	norm	right	j
Learning	5.0	698.0	red	0.59	[0,1]	win	risk	norm	right	j
Learning	6.0	864.0	red	0.56	[0,1]	win	risk	norm	right	j
Learning	7.0	1459.0	red	0.52	[0,1]	win	Amb	norm	left	j
Learning	8.0	954.0	red	0.55	[0,1]	win	risk	norm	right	j
Learning	9.0	983.0	red	0.55	[0,1]	win	risk	norm	left	f
Learning	10.0	1082.0	red	0.54	[0,1]	win	Amb	norm	left	j
Learning	11.0	942.0	red	0.56	[0,1]	win	risk	norm	right	j
Learning	12.0	928.0	red	0.56	[0,1]	win	risk	norm	right	j
Learning	13.0	1332.0	red	0.54	[0,1]	win	risk	norm	left	f
Learning	14.0	673.0	red	0.54	[0,1]	win	risk	norm	left	f
Learning	15.0	1129.0	red	0.51	[0,1]	win	Amb	norm	right	f
