Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	3327.0	green	0.5	right	narrow	"[""left""]"	j
Risk	1.0	2739.0	green	0.5	right	narrow	"[""left""]"	j
Risk	2.0	2125.0	green	0.5	right	narrow	"[""left""]"	j
Risk	3.0	1687.0	green	0.5	left	narrow	"[""right""]"	f
Risk	4.0	1690.0	green	0.5	left	narrow	"[""right""]"	f
Risk	5.0	2948.0	green	0.6	right	narrow	"[""left""]"	j
Risk	6.0	1773.0	green	0.5	right	narrow	"[""left""]"	j
Risk	7.0	2236.0	green	0.2	right	narrow	"[""left""]"	j
Risk	8.0	1061.0	green	0.3	right	narrow	"[""right""]"	j
Risk	9.0	953.0	green	0.4	right	narrow	"[""left""]"	j
Risk	10.0	1579.0	green	0.5	left	narrow	"[""right""]"	f
Risk	11.0	1741.0	green	0.4	right	narrow	"[""left""]"	j
Risk	12.0	2497.0	green	0.6	left	narrow	"[""left""]"	f
Risk	13.0	1656.0	green	0.4	right	narrow	"[""left""]"	j
Risk	14.0	2005.0	green	0.7	left	narrow	"[""right""]"	f
Risk	15.0	2804.0	green	0.6	left	narrow	"[""left""]"	f
Risk	16.0	1446.0	green	0.5	right	narrow	"[""left""]"	j
Risk	17.0	1587.0	green	0.5	right	narrow	"[""left""]"	j
Risk	18.0	3243.0	green	0.5	right	narrow	"[""right""]"	j
Risk	19.0	2812.0	green	0.3	left	narrow	"[""right""]"	f
Risk	20.0	2544.0	blue	0.1	right	wide	"[""left""]"	j
Risk	21.0	2114.0	blue	0.3	left	wide	"[""right""]"	f
Risk	22.0	2413.0	blue	1.0	left	wide	"[""left""]"	f
Risk	23.0	2343.0	blue	0.0	left	wide	"[""right""]"	f
Risk	24.0	2042.0	blue	1.0	right	wide	"[""right""]"	j
Risk	25.0	2990.0	blue	0.2	left	wide	"[""right""]"	f
Risk	26.0	1088.0	blue	0.8	right	wide	"[""right""]"	j
Risk	27.0	1538.0	blue	0.9	left	wide	"[""left""]"	f
Risk	28.0	1548.0	blue	0.1	right	wide	"[""left""]"	j
Risk	29.0	2138.0	blue	0.0	left	wide	"[""right""]"	f
Risk	30.0	1797.0	blue	0.7	right	wide	"[""right""]"	j
Risk	31.0	2295.0	blue	0.0	left	wide	"[""right""]"	f
Risk	32.0	2387.0	blue	0.0	right	wide	"[""left""]"	j
Risk	33.0	1741.0	blue	1.0	right	wide	"[""right""]"	j
Risk	34.0	3003.0	blue	0.2	right	wide	"[""left""]"	j
Risk	35.0	990.0	blue	0.9	left	wide	"[""left""]"	f
Risk	36.0	1575.0	blue	0.0	right	wide	"[""left""]"	j
Risk	37.0	1128.0	blue	0.9	left	wide	"[""left""]"	f
Risk	38.0	1191.0	blue	0.1	right	wide	"[""left""]"	j
Risk	39.0	949.0	blue	0.8	left	wide	"[""left""]"	f
Risk	40.0	1761.0	red	0.8	right	skew	"[""right""]"	j
Risk	41.0	1617.0	red	0.7	left	skew	"[""left""]"	f
Risk	42.0	856.0	red	0.7	left	skew	"[""left""]"	f
Risk	43.0	1124.0	red	0.7	right	skew	"[""right""]"	j
Risk	44.0	2276.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	45.0	793.0	red	0.7	left	skew	"[""left""]"	f
Risk	46.0	968.0	red	0.7	right	skew	"[""right""]"	j
Risk	47.0	961.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	48.0	1090.0	red	0.7	left	skew	"[""left""]"	f
Risk	49.0	1354.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	50.0	847.0	red	0.7	left	skew	"[""left""]"	f
Risk	51.0	728.0	red	0.7	left	skew	"[""left""]"	f
Risk	52.0	1036.0	red	0.8999999999999999	right	skew	"[""right""]"	j
Risk	53.0	2955.0	red	0.5	right	skew	"[""left""]"	j
Risk	54.0	1697.0	red	0.8	right	skew	"[""right""]"	j
Risk	55.0	915.0	red	0.7	right	skew	"[""right""]"	j
Risk	56.0	2645.0	red	0.4	right	skew	"[""left""]"	j
Risk	57.0	1316.0	red	0.7	right	skew	"[""right""]"	j
Risk	58.0	2211.0	red	0.5	right	skew	"[""left""]"	j
Risk	59.0	1401.0	red	0.8	right	skew	"[""right""]"	j
