Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	1451.0	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1.0	2023.0	green	0.41	[0.25,0.75]	risk	narrow	left	f
Ambiguity	2.0	2365.0	green	0.26	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3.0	1458.0	green	0.32	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4.0	2282.0	green	0.44	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	5.0	1418.0	green	0.61	[0.25,0.75]	risk	narrow	right	j
Ambiguity	6.0	1535.0	green	0.52	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	1247.0	green	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	8.0	2453.0	green	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	9.0	2562.0	green	0.56	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1298.0	green	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	11.0	983.0	green	0.44	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	12.0	632.0	green	0.47	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13.0	1054.0	green	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	14.0	1194.0	green	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15.0	2436.0	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16.0	1260.0	green	0.4	[0,1]	Ambiguous	narrow	right	f
Ambiguity	17.0	959.0	green	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	1640.0	green	0.51	[0,1]	risk	narrow	left	f
Ambiguity	19.0	1233.0	green	0.47	[0,1]	Ambiguous	narrow	left	j
Ambiguity	20.0	1894.0	green	0.5	[0,1]	risk	narrow	left	f
Ambiguity	21.0	1977.0	green	0.5	[0,1]	risk	narrow	left	f
Ambiguity	22.0	1194.0	green	0.49	[0,1]	Ambiguous	narrow	right	f
Ambiguity	23.0	932.0	green	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24.0	1059.0	green	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	25.0	1276.0	green	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	26.0	1223.0	green	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27.0	1150.0	green	0.49	[0,1]	Ambiguous	narrow	right	f
Ambiguity	28.0	925.0	green	0.54	[0,1]	risk	narrow	left	f
Ambiguity	29.0	975.0	green	0.5	[0,1]	risk	narrow	left	f
Ambiguity	30.0	2434.0	blue	0.5	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	31.0	2016.0	blue	0.58	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	32.0	853.0	blue	0.74	[0.25,0.75]	risk	wide	left	f
Ambiguity	33.0	1262.0	blue	0.65	[0.25,0.75]	risk	wide	left	f
Ambiguity	34.0	1425.0	blue	0.55	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	35.0	1241.0	blue	0.63	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	36.0	1281.0	blue	0.7	[0.25,0.75]	risk	wide	left	f
Ambiguity	37.0	1419.0	blue	0.65	[0.25,0.75]	risk	wide	right	j
Ambiguity	38.0	1478.0	blue	0.57	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	39.0	1901.0	blue	0.6	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	40.0	1348.0	blue	0.65	[0.25,0.75]	risk	wide	left	f
Ambiguity	41.0	1556.0	blue	0.64	[0.25,0.75]	risk	wide	left	f
Ambiguity	42.0	710.0	blue	0.58	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	43.0	1163.0	blue	0.58	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	44.0	1023.0	blue	0.62	[0.25,0.75]	risk	wide	left	f
Ambiguity	45.0	1442.0	blue	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	46.0	713.0	blue	0.61	[0,1]	risk	wide	left	f
Ambiguity	47.0	1575.0	blue	0.57	[0,1]	Ambiguous	wide	left	j
