Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	1324.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	2664.0	blue	0.38	[0,1]	win	Amb	norm	right	f
Learning	3.0	879.0	blue	0.4	[0,1]	win	Amb	norm	right	f
Learning	4.0	1100.0	blue	0.49	[0,1]	win	Amb	norm	left	j
Learning	5.0	1326.0	blue	0.57	[0,1]	win	risk	norm	left	f
Learning	6.0	876.0	blue	0.52	[0,1]	win	risk	norm	left	f
Learning	7.0	930.0	blue	0.43	[0,1]	win	Amb	norm	right	f
Learning	8.0	944.0	blue	0.45	[0,1]	win	Amb	norm	right	f
Learning	9.0	1171.0	blue	0.51	[0,1]	win	Amb	norm	left	j
Learning	10.0	1034.0	blue	0.57	[0,1]	win	risk	norm	right	j
Learning	11.0	1632.0	blue	0.5	[0,1]	win	Amb	norm	right	f
Learning	12.0	876.0	blue	0.54	[0,1]	win	risk	norm	right	j
Learning	13.0	1826.0	blue	0.51	[0,1]	win	Amb	norm	right	f
Learning	14.0	1164.0	blue	0.51	[0,1]	win	Amb	norm	left	j
Learning	15.0	1649.0	blue	0.49	[0,1]	win	Amb	norm	right	f
Learning	1.0	1863.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	980.0	green	0.38	[0,1]	win	Amb	norm	right	f
Learning	3.0	2465.0	green	0.43	[0,1]	win	Amb	norm	right	f
Learning	4.0	1205.0	green	0.51	[0,1]	win	risk	norm	right	j
Learning	5.0	810.0	green	0.48	[0,1]	win	Amb	norm	right	f
Learning	6.0	970.0	green	0.47	[0,1]	win	Amb	norm	left	j
Learning	7.0	1392.0	green	0.48	[0,1]	win	risk	norm	right	j
Learning	8.0	889.0	green	0.47	[0,1]	win	Amb	norm	right	f
Learning	9.0	1025.0	green	0.45	[0,1]	win	Amb	norm	left	j
Learning	10.0	1069.0	green	0.46	[0,1]	win	Amb	norm	right	f
Learning	11.0	1467.0	green	0.46	[0,1]	win	Amb	norm	left	j
Learning	12.0	1493.0	green	0.5	[0,1]	win	risk	norm	left	f
Learning	13.0	1131.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	14.0	884.0	green	0.47	[0,1]	win	Amb	norm	left	j
Learning	15.0	2512.0	green	0.46	[0,1]	win	Amb	norm	left	j
Learning	1.0	1869.0	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	1149.0	red	0.61	[0,1]	win	risk	norm	left	f
Learning	3.0	1500.0	red	0.55	[0,1]	win	Amb	norm	left	j
Learning	4.0	997.0	red	0.55	[0,1]	win	Amb	norm	right	f
Learning	5.0	993.0	red	0.56	[0,1]	win	Amb	norm	left	j
Learning	6.0	1905.0	red	0.63	[0,1]	win	risk	norm	left	f
Learning	7.0	853.0	red	0.6	[0,1]	win	Amb	norm	right	f
Learning	8.0	966.0	red	0.62	[0,1]	win	risk	norm	left	f
