Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	2061.0	green	0.5	left	narrow	"[""right""]"	f
Risk	1.0	1664.0	green	0.2	right	narrow	"[""left""]"	j
Risk	2.0	2205.0	green	0.7	right	narrow	"[""right""]"	j
Risk	3.0	1927.0	green	0.5	right	narrow	"[""right""]"	j
Risk	4.0	2723.0	green	0.6	right	narrow	"[""left""]"	j
Risk	5.0	2589.0	green	0.6	left	narrow	"[""left""]"	f
Risk	6.0	1505.0	green	0.5	left	narrow	"[""left""]"	f
Risk	7.0	2050.0	green	0.3	left	narrow	"[""right""]"	f
Risk	8.0	2240.0	green	0.3	right	narrow	"[""left""]"	j
Risk	9.0	1275.0	green	0.5	left	narrow	"[""right""]"	f
Risk	10.0	1775.0	green	0.6	left	narrow	"[""left""]"	f
Risk	11.0	1379.0	green	0.5	left	narrow	"[""left""]"	f
Risk	12.0	1881.0	green	0.4	right	narrow	"[""left""]"	j
Risk	13.0	1565.0	green	0.5	left	narrow	"[""left""]"	f
Risk	14.0	1062.0	green	0.4	left	narrow	"[""right""]"	f
Risk	15.0	1707.0	green	0.5	left	narrow	"[""left""]"	f
Risk	16.0	1606.0	green	0.5	left	narrow	"[""left""]"	f
Risk	17.0	1263.0	green	0.5	left	narrow	"[""left""]"	f
Risk	18.0	1395.0	green	0.4	left	narrow	"[""right""]"	f
Risk	19.0	975.0	green	0.5	right	narrow	"[""right""]"	j
Risk	20.0	1663.0	blue	0.1	right	wide	"[""left""]"	j
Risk	21.0	948.0	blue	0.0	right	wide	"[""left""]"	j
Risk	22.0	1519.0	blue	0.2	right	wide	"[""left""]"	j
Risk	23.0	1371.0	blue	0.9	left	wide	"[""left""]"	f
Risk	24.0	1338.0	blue	1.0	left	wide	"[""left""]"	f
Risk	25.0	1326.0	blue	0.3	left	wide	"[""right""]"	f
Risk	26.0	1292.0	blue	0.0	right	wide	"[""left""]"	j
Risk	27.0	1390.0	blue	0.7	left	wide	"[""left""]"	f
Risk	28.0	976.0	blue	0.0	right	wide	"[""left""]"	j
Risk	29.0	1205.0	blue	0.0	left	wide	"[""left""]"	f
Risk	30.0	1356.0	blue	0.0	left	wide	"[""right""]"	f
Risk	31.0	1199.0	blue	0.9	left	wide	"[""left""]"	f
Risk	32.0	1054.0	blue	1.0	left	wide	"[""left""]"	f
Risk	33.0	811.0	blue	0.1	right	wide	"[""left""]"	j
Risk	34.0	1071.0	blue	1.0	right	wide	"[""right""]"	j
Risk	35.0	785.0	blue	0.9	right	wide	"[""right""]"	j
Risk	36.0	931.0	blue	0.8	left	wide	"[""left""]"	f
Risk	37.0	781.0	blue	0.2	right	wide	"[""left""]"	j
Risk	38.0	1050.0	blue	0.8	right	wide	"[""right""]"	j
Risk	39.0	1310.0	blue	0.1	right	wide	"[""left""]"	j
Risk	40.0	1852.0	red	0.7	left	skew	"[""left""]"	f
Risk	41.0	1136.0	red	0.7	left	skew	"[""left""]"	f
Risk	42.0	934.0	red	0.7	right	skew	"[""right""]"	j
Risk	43.0	1026.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	44.0	853.0	red	0.7	left	skew	"[""left""]"	f
Risk	45.0	680.0	red	0.7	left	skew	"[""left""]"	f
Risk	46.0	792.0	red	0.7	right	skew	"[""right""]"	j
Risk	47.0	957.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	48.0	871.0	red	0.4	right	skew	"[""left""]"	j
Risk	49.0	617.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	50.0	841.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	51.0	817.0	red	0.8	right	skew	"[""right""]"	j
Risk	52.0	757.0	red	0.8	right	skew	"[""right""]"	j
Risk	53.0	1365.0	red	0.5	right	skew	"[""right""]"	j
Risk	54.0	569.0	red	0.8	right	skew	"[""right""]"	j
Risk	55.0	643.0	red	0.7	right	skew	"[""right""]"	j
Risk	56.0	798.0	red	0.5	right	skew	"[""right""]"	j
Risk	57.0	862.0	red	0.7	left	skew	"[""left""]"	f
Risk	58.0	702.0	red	0.7	right	skew	"[""right""]"	j
Risk	59.0	721.0	red	0.7	left	skew	"[""left""]"	f
