Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	2062.0	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	1.0	3340.0	blue	0.39	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	2.0	2944.0	blue	0.46	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	3.0	1657.0	blue	0.53	[0.25,0.75]	risk	wide	right	j
Ambiguity	4.0	1042.0	blue	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	5.0	1178.0	blue	0.52	[0.25,0.75]	risk	wide	right	j
Ambiguity	6.0	1131.0	blue	0.51	[0.25,0.75]	risk	wide	right	j
Ambiguity	7.0	783.0	blue	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	8.0	951.0	blue	0.46	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	9.0	1489.0	blue	0.48	[0.25,0.75]	risk	wide	left	f
Ambiguity	10.0	869.0	blue	0.47	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	11.0	892.0	blue	0.44	[0.25,0.75]	risk	wide	left	f
Ambiguity	12.0	1366.0	blue	0.42	[0.25,0.75]	risk	wide	right	j
Ambiguity	13.0	821.0	blue	0.43	[0.25,0.75]	risk	wide	right	j
Ambiguity	14.0	595.0	blue	0.43	[0.25,0.75]	risk	wide	right	j
Ambiguity	15.0	1298.0	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	16.0	1532.0	blue	0.41	[0,1]	risk	wide	right	j
Ambiguity	17.0	1104.0	blue	0.27	[0,1]	Ambiguous	wide	right	f
Ambiguity	18.0	1775.0	blue	0.35	[0,1]	Ambiguous	wide	right	f
Ambiguity	19.0	896.0	blue	0.46	[0,1]	risk	wide	left	f
Ambiguity	20.0	1408.0	blue	0.41	[0,1]	risk	wide	right	j
Ambiguity	21.0	965.0	blue	0.32	[0,1]	Ambiguous	wide	right	f
Ambiguity	22.0	1472.0	blue	0.33	[0,1]	risk	wide	left	f
Ambiguity	23.0	730.0	blue	0.31	[0,1]	Ambiguous	wide	left	j
Ambiguity	24.0	1053.0	blue	0.3	[0,1]	Ambiguous	wide	left	j
Ambiguity	25.0	1002.0	blue	0.34	[0,1]	Ambiguous	wide	left	j
Ambiguity	26.0	1005.0	blue	0.37	[0,1]	risk	wide	right	j
Ambiguity	27.0	805.0	blue	0.35	[0,1]	Ambiguous	wide	left	j
Ambiguity	28.0	1660.0	blue	0.37	[0,1]	risk	wide	right	j
Ambiguity	29.0	1092.0	blue	0.37	[0,1]	risk	wide	left	f
Ambiguity	30.0	3126.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	31.0	1121.0	red	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	32.0	1024.0	red	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	33.0	1513.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	34.0	1494.0	red	0.57	[0.25,0.75]	risk	narrow	right	j
Ambiguity	35.0	1135.0	red	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	36.0	1071.0	red	0.53	[0.25,0.75]	risk	narrow	left	f
Ambiguity	37.0	1330.0	red	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	38.0	933.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	39.0	793.0	red	0.52	[0.25,0.75]	risk	narrow	left	f
Ambiguity	40.0	1072.0	red	0.5	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	41.0	826.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	42.0	1093.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	43.0	648.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	44.0	1701.0	red	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	45.0	824.0	red	0.5	[0,1]	Ambiguous	narrow	left	j
Ambiguity	46.0	997.0	red	0.61	[0,1]	risk	narrow	left	f
Ambiguity	47.0	1333.0	red	0.55	[0,1]	risk	narrow	right	j
Ambiguity	48.0	1385.0	red	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	49.0	1303.0	red	0.5	[0,1]	risk	narrow	right	j
Ambiguity	50.0	1705.0	red	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	51.0	921.0	red	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	52.0	786.0	red	0.43	[0,1]	Ambiguous	narrow	left	j
Ambiguity	53.0	627.0	red	0.43	[0,1]	Ambiguous	narrow	left	j
Ambiguity	54.0	1059.0	red	0.45	[0,1]	Ambiguous	narrow	right	f
Ambiguity	55.0	1147.0	red	0.52	[0,1]	risk	narrow	right	j
Ambiguity	56.0	1313.0	red	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	57.0	945.0	red	0.51	[0,1]	risk	narrow	left	f
Ambiguity	58.0	1337.0	red	0.51	[0,1]	risk	narrow	right	j
Ambiguity	59.0	948.0	red	0.5	[0,1]	Ambiguous	narrow	left	j
Ambiguity	60.0	2003.0	green	0.5	[0.25,0.75]	risk	skew	left	f
Ambiguity	61.0	1163.0	green	0.4	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	62.0	850.0	green	0.46	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	63.0	622.0	green	0.56	[0.25,0.75]	risk	skew	left	f
Ambiguity	64.0	1010.0	green	0.52	[0.25,0.75]	risk	skew	left	f
Ambiguity	65.0	1265.0	green	0.45	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	66.0	982.0	green	0.49	[0.25,0.75]	risk	skew	left	f
Ambiguity	67.0	784.0	green	0.46	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	796.0	green	0.44	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	69.0	575.0	green	0.43	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	70.0	514.0	green	0.42	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	71.0	730.0	green	0.42	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	72.0	796.0	green	0.43	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	73.0	1076.0	green	0.47	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	74.0	1035.0	green	0.54	[0.25,0.75]	risk	skew	right	j
Ambiguity	75.0	1030.0	green	0.5	[0,1]	risk	skew	right	j
Ambiguity	76.0	955.0	green	0.39	[0,1]	Ambiguous	skew	right	f
Ambiguity	77.0	1342.0	green	0.42	[0,1]	Ambiguous	skew	left	j
Ambiguity	78.0	602.0	green	0.48	[0,1]	risk	skew	left	f
Ambiguity	79.0	547.0	green	0.44	[0,1]	risk	skew	left	f
Ambiguity	80.0	583.0	green	0.38	[0,1]	risk	skew	left	f
Ambiguity	81.0	308.0	green	0.31	[0,1]	risk	skew	left	f
Ambiguity	82.0	300.0	green	0.17	[0,1]	risk	skew	left	f
Ambiguity	83.0	1205.0	green	0.0	[0,1]	Ambiguous	skew	right	f
Ambiguity	84.0	1101.0	green	0.09	[0,1]	Ambiguous	skew	right	f
Ambiguity	85.0	1751.0	green	0.2	[0,1]	Ambiguous	skew	left	j
Ambiguity	86.0	762.0	green	0.38	[0,1]	risk	skew	left	f
Ambiguity	87.0	1838.0	green	0.27	[0,1]	Ambiguous	skew	right	f
Ambiguity	88.0	1730.0	green	0.29	[0,1]	risk	skew	right	j
Ambiguity	89.0	1170.0	green	0.24	[0,1]	Ambiguous	skew	left	j
