Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	3469.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	2236.0	green	0.41	[0,1]	win	Amb	norm	right	f
Learning	3.0	1819.0	green	0.47	[0,1]	win	Amb	norm	right	f
Learning	4.0	525.0	green	0.54	[0,1]	win	risk	norm	right	j
Learning	5.0	998.0	green	0.48	[0,1]	win	Amb	norm	left	j
Learning	6.0	1165.0	green	0.49	[0,1]	win	risk	norm	right	j
Learning	7.0	1028.0	green	0.48	[0,1]	win	Amb	norm	left	j
Learning	8.0	1688.0	green	0.45	[0,1]	win	Amb	norm	left	j
Learning	9.0	730.0	green	0.45	[0,1]	win	Amb	norm	left	j
Learning	10.0	619.0	green	0.46	[0,1]	win	Amb	norm	left	j
Learning	11.0	564.0	green	0.45	[0,1]	win	Amb	norm	right	f
Learning	12.0	1196.0	green	0.47	[0,1]	win	Amb	norm	left	j
Learning	13.0	508.0	green	0.52	[0,1]	win	risk	norm	left	f
Learning	14.0	654.0	green	0.5	[0,1]	win	risk	norm	left	f
Learning	15.0	1612.0	green	0.46	[0,1]	win	Amb	norm	right	f
Learning	1.0	1240.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	1544.0	green	0.4	[0,1]	lose	Amb	norm	left	j
Learning	3.0	1281.0	green	0.47	[0,1]	lose	Amb	norm	right	f
Learning	4.0	939.0	green	0.55	[0,1]	lose	risk	norm	right	j
Learning	5.0	627.0	green	0.52	[0,1]	lose	risk	norm	left	f
Learning	6.0	662.0	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	7.0	790.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	8.0	800.0	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	9.0	1623.0	green	0.48	[0,1]	lose	Amb	norm	right	f
Learning	10.0	1373.0	green	0.49	[0,1]	lose	risk	norm	left	f
Learning	11.0	1826.0	green	0.47	[0,1]	lose	risk	norm	right	j
Learning	12.0	1312.0	green	0.46	[0,1]	lose	risk	norm	left	f
Learning	13.0	905.0	green	0.43	[0,1]	lose	Amb	norm	left	j
Learning	14.0	1325.0	green	0.44	[0,1]	lose	Amb	norm	right	f
Learning	15.0	906.0	green	0.44	[0,1]	lose	Amb	norm	left	j
Learning	1.0	2399.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	853.0	blue	0.39	[0,1]	win	Amb	norm	left	j
Learning	3.0	827.0	blue	0.42	[0,1]	win	Amb	norm	left	j
Learning	4.0	673.0	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	5.0	832.0	blue	0.59	[0,1]	win	risk	norm	right	j
Learning	6.0	1313.0	blue	0.51	[0,1]	win	Amb	norm	right	f
Learning	7.0	713.0	blue	0.56	[0,1]	win	risk	norm	right	j
Learning	8.0	684.0	blue	0.55	[0,1]	win	risk	norm	left	f
Learning	9.0	736.0	blue	0.53	[0,1]	win	Amb	norm	left	j
Learning	10.0	811.0	blue	0.53	[0,1]	win	Amb	norm	left	j
Learning	11.0	905.0	blue	0.53	[0,1]	win	Amb	norm	right	f
Learning	12.0	1225.0	blue	0.52	[0,1]	win	Amb	norm	right	f
Learning	13.0	655.0	blue	0.57	[0,1]	win	risk	norm	right	j
Learning	14.0	749.0	blue	0.56	[0,1]	win	risk	norm	left	f
Learning	15.0	1149.0	blue	0.54	[0,1]	win	Amb	norm	right	f
Learning	1.0	985.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	709.0	blue	0.41	[0,1]	lose	risk	norm	right	j
Learning	3.0	682.0	blue	0.24	[0,1]	lose	Amb	norm	left	j
Learning	4.0	771.0	blue	0.34	[0,1]	lose	Amb	norm	right	f
Learning	5.0	769.0	blue	0.44	[0,1]	lose	Amb	norm	left	j
Learning	6.0	876.0	blue	0.62	[0,1]	lose	risk	norm	left	f
Learning	7.0	1232.0	blue	0.52	[0,1]	lose	Amb	norm	right	f
Learning	8.0	955.0	blue	0.55	[0,1]	lose	risk	norm	right	j
Learning	9.0	931.0	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1350.0	blue	0.54	[0,1]	lose	Amb	norm	left	j
