Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	2877.0	blue	0.2	left	wide	"[""right""]"	f
Risk	1.0	1581.0	blue	0.0	right	wide	"[""left""]"	j
Risk	2.0	1091.0	blue	0.0	left	wide	"[""right""]"	f
Risk	3.0	506.0	blue	0.0	left	wide	"[""right""]"	f
Risk	4.0	1510.0	blue	1.0	left	wide	"[""left""]"	f
Risk	5.0	864.0	blue	0.1	right	wide	"[""left""]"	j
Risk	6.0	838.0	blue	0.1	left	wide	"[""right""]"	f
Risk	7.0	827.0	blue	0.2	left	wide	"[""right""]"	f
Risk	8.0	802.0	blue	0.9	right	wide	"[""right""]"	j
Risk	9.0	588.0	blue	0.9	right	wide	"[""right""]"	j
Risk	10.0	729.0	blue	0.0	left	wide	"[""right""]"	f
Risk	11.0	909.0	blue	0.3	right	wide	"[""left""]"	j
Risk	12.0	1032.0	blue	0.7	right	wide	"[""right""]"	j
Risk	13.0	754.0	blue	0.8	right	wide	"[""right""]"	j
Risk	14.0	801.0	blue	1.0	left	wide	"[""left""]"	f
Risk	15.0	687.0	blue	0.9	left	wide	"[""left""]"	f
Risk	16.0	712.0	blue	0.8	right	wide	"[""right""]"	j
Risk	17.0	678.0	blue	1.0	left	wide	"[""left""]"	f
Risk	18.0	847.0	blue	0.0	right	wide	"[""left""]"	j
Risk	19.0	706.0	blue	0.1	right	wide	"[""left""]"	j
Risk	20.0	1511.0	red	0.6	left	narrow	"[""right""]"	f
Risk	21.0	782.0	red	0.5	left	narrow	"[""right""]"	f
Risk	22.0	818.0	red	0.5	right	narrow	"[""left""]"	j
Risk	23.0	1226.0	red	0.6	left	narrow	"[""right""]"	f
Risk	24.0	694.0	red	0.5	right	narrow	"[""left""]"	j
Risk	25.0	1445.0	red	0.6	right	narrow	"[""left""]"	j
Risk	26.0	726.0	red	0.5	left	narrow	"[""right""]"	f
Risk	27.0	633.0	red	0.4	right	narrow	"[""left""]"	j
Risk	28.0	1264.0	red	0.7	right	narrow	"[""right""]"	j
Risk	29.0	768.0	red	0.5	left	narrow	"[""right""]"	f
Risk	30.0	626.0	red	0.3	left	narrow	"[""right""]"	f
Risk	31.0	773.0	red	0.5	left	narrow	"[""right""]"	f
Risk	32.0	616.0	red	0.5	right	narrow	"[""left""]"	j
Risk	33.0	1183.0	red	0.5	left	narrow	"[""right""]"	f
Risk	34.0	737.0	red	0.4	left	narrow	"[""right""]"	f
Risk	35.0	549.0	red	0.4	left	narrow	"[""right""]"	f
Risk	36.0	856.0	red	0.5	right	narrow	"[""left""]"	j
Risk	37.0	658.0	red	0.2	left	narrow	"[""right""]"	f
Risk	38.0	596.0	red	0.3	right	narrow	"[""left""]"	j
Risk	39.0	663.0	red	0.5	right	narrow	"[""left""]"	j
Risk	40.0	817.0	green	0.7	right	skew	"[""right""]"	j
Risk	41.0	610.0	green	0.8	right	skew	"[""right""]"	j
Risk	42.0	501.0	green	0.8	right	skew	"[""right""]"	j
Risk	43.0	558.0	green	0.7	left	skew	"[""left""]"	f
Risk	44.0	1337.0	green	0.6000000000000001	right	skew	"[""left""]"	j
Risk	45.0	841.0	green	0.7	right	skew	"[""right""]"	j
Risk	46.0	574.0	green	0.7	left	skew	"[""left""]"	f
Risk	47.0	512.0	green	0.7	left	skew	"[""left""]"	f
Risk	48.0	566.0	green	0.7	left	skew	"[""left""]"	f
Risk	49.0	577.0	green	0.7	right	skew	"[""right""]"	j
Risk	50.0	660.0	green	0.4	right	skew	"[""left""]"	j
Risk	51.0	922.0	green	0.6000000000000001	left	skew	"[""right""]"	f
Risk	52.0	997.0	green	0.7	left	skew	"[""left""]"	f
Risk	53.0	527.0	green	0.6000000000000001	right	skew	"[""left""]"	j
Risk	54.0	819.0	green	0.8	right	skew	"[""right""]"	j
Risk	55.0	735.0	green	0.5	right	skew	"[""left""]"	j
Risk	56.0	654.0	green	0.5	right	skew	"[""left""]"	j
Risk	57.0	821.0	green	0.8999999999999999	right	skew	"[""right""]"	j
Risk	58.0	766.0	green	0.7	left	skew	"[""left""]"	f
Risk	59.0	447.0	green	0.7	left	skew	"[""left""]"	f
