Lot_color	dist	percent	value	order
R	skew	0	0	2
R	skew	10	0	2
R	skew	20	0	2
R	skew	30	1	2
R	skew	40	5	2
R	skew	50	0	2
R	skew	60	2	2
R	skew	70	2	2
R	skew	80	3	2
R	skew	90	2	2
R	skew	100	0	2
G	wide	0	6	3
G	wide	10	3	3
G	wide	20	1	3
G	wide	30	0	3
G	wide	40	0	3
G	wide	50	0	3
G	wide	60	0	3
G	wide	70	0	3
G	wide	80	0	3
G	wide	90	4	3
G	wide	100	0	3
B	narrow	0	0	1
B	narrow	10	0	1
B	narrow	20	1	1
B	narrow	30	1	1
B	narrow	40	4	1
B	narrow	50	7	1
B	narrow	60	3	1
B	narrow	70	2	1
B	narrow	80	0	1
B	narrow	90	0	1
B	narrow	100	0	1
