Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	2428.0	blue	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	1.0	1267.0	blue	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	2.0	1023.0	blue	0.4	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	3.0	1731.0	blue	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	4.0	1125.0	blue	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5.0	1180.0	blue	0.47	[0.25,0.75]	risk	narrow	left	f
Ambiguity	6.0	948.0	blue	0.46	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	1618.0	blue	0.44	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	928.0	blue	0.42	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	9.0	1536.0	blue	0.44	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1105.0	blue	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11.0	881.0	blue	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12.0	900.0	blue	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	13.0	775.0	blue	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14.0	661.0	blue	0.4	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	15.0	822.0	blue	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16.0	2573.0	blue	0.41	[0,1]	risk	narrow	right	j
Ambiguity	17.0	1330.0	blue	0.24	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	3175.0	blue	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	19.0	1610.0	blue	0.45	[0,1]	risk	narrow	left	f
Ambiguity	20.0	2049.0	blue	0.38	[0,1]	Ambiguous	narrow	right	f
Ambiguity	21.0	2019.0	blue	0.42	[0,1]	risk	narrow	right	j
Ambiguity	22.0	1495.0	blue	0.39	[0,1]	risk	narrow	left	f
Ambiguity	23.0	2107.0	blue	0.36	[0,1]	risk	narrow	right	j
Ambiguity	24.0	1300.0	blue	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	25.0	1928.0	blue	0.34	[0,1]	Ambiguous	narrow	right	f
Ambiguity	26.0	1498.0	blue	0.34	[0,1]	Ambiguous	narrow	right	f
Ambiguity	27.0	2882.0	blue	0.4	[0,1]	risk	narrow	right	j
Ambiguity	28.0		blue	0.37	[0,1]	Ambiguous	narrow	right	
Ambiguity	29.0	1138.0	blue	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	30.0	1814.0	red	0.5	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	31.0	1160.0	red	0.57	[0.25,0.75]	risk	skew	right	j
Ambiguity	32.0	1313.0	red	0.53	[0.25,0.75]	risk	skew	right	j
Ambiguity	33.0	1243.0	red	0.43	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	34.0	1033.0	red	0.45	[0.25,0.75]	risk	skew	left	f
Ambiguity	35.0	865.0	red	0.42	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	36.0	793.0	red	0.43	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	37.0	765.0	red	0.44	[0.25,0.75]	risk	skew	right	j
Ambiguity	38.0	995.0	red	0.44	[0.25,0.75]	risk	skew	left	f
Ambiguity	39.0	1139.0	red	0.42	[0.25,0.75]	risk	skew	left	f
Ambiguity	40.0	761.0	red	0.4	[0.25,0.75]	risk	skew	left	f
Ambiguity	41.0	1110.0	red	0.36	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	42.0	1055.0	red	0.38	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	43.0	2360.0	red	0.41	[0.25,0.75]	risk	skew	left	f
Ambiguity	44.0	1087.0	red	0.39	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	45.0	634.0	red	0.5	[0,1]	risk	skew	left	f
Ambiguity	46.0	631.0	red	0.4	[0,1]	risk	skew	left	f
Ambiguity	47.0	700.0	red	0.23	[0,1]	Ambiguous	skew	left	j
Ambiguity	48.0	1156.0	red	0.33	[0,1]	Ambiguous	skew	right	f
Ambiguity	49.0	924.0	red	0.45	[0,1]	risk	skew	left	f
Ambiguity	50.0	738.0	red	0.38	[0,1]	Ambiguous	skew	left	j
Ambiguity	51.0	666.0	red	0.43	[0,1]	Ambiguous	skew	left	j
Ambiguity	52.0	466.0	red	0.47	[0,1]	risk	skew	left	f
Ambiguity	53.0	487.0	red	0.44	[0,1]	risk	skew	left	f
Ambiguity	54.0	480.0	red	0.4	[0,1]	risk	skew	left	f
Ambiguity	55.0	1108.0	red	0.35	[0,1]	Ambiguous	skew	right	f
Ambiguity	56.0	3090.0	red	0.38	[0,1]	Ambiguous	skew	left	j
Ambiguity	57.0	723.0	red	0.42	[0,1]	risk	skew	left	f
Ambiguity	58.0	1238.0	red	0.41	[0,1]	risk	skew	right	j
Ambiguity	59.0	1447.0	red	0.39	[0,1]	Ambiguous	skew	right	f
Ambiguity	60.0	1709.0	green	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	61.0	577.0	green	0.38	[0.25,0.75]	risk	wide	right	j
Ambiguity	62.0	677.0	green	0.24	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	63.0	926.0	green	0.29	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	64.0	740.0	green	0.4	[0.25,0.75]	risk	wide	left	f
Ambiguity	65.0	1090.0	green	0.34	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	66.0	1022.0	green	0.34	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	67.0	760.0	green	0.4	[0.25,0.75]	risk	wide	right	j
Ambiguity	68.0	910.0	green	0.39	[0.25,0.75]	risk	wide	right	j
Ambiguity	69.0	821.0	green	0.36	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	70.0	848.0	green	0.4	[0.25,0.75]	risk	wide	right	j
Ambiguity	71.0	829.0	green	0.37	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	72.0	866.0	green	0.38	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	73.0	772.0	green	0.37	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	74.0	791.0	green	0.4	[0.25,0.75]	risk	wide	left	f
Ambiguity	75.0	627.0	green	0.5	[0,1]	risk	wide	right	j
Ambiguity	76.0	1288.0	green	0.39	[0,1]	risk	wide	left	f
Ambiguity	77.0	838.0	green	0.22	[0,1]	Ambiguous	wide	right	f
Ambiguity	78.0	589.0	green	0.29	[0,1]	Ambiguous	wide	left	j
Ambiguity	79.0	700.0	green	0.4	[0,1]	risk	wide	right	j
Ambiguity	80.0	749.0	green	0.35	[0,1]	Ambiguous	wide	right	f
Ambiguity	81.0	1504.0	green	0.4	[0,1]	risk	wide	left	f
Ambiguity	82.0	782.0	green	0.37	[0,1]	Ambiguous	wide	right	f
Ambiguity	83.0	888.0	green	0.39	[0,1]	risk	wide	right	j
Ambiguity	84.0	785.0	green	0.37	[0,1]	Ambiguous	wide	right	f
Ambiguity	85.0	1987.0	green	0.37	[0,1]	risk	wide	left	f
Ambiguity	86.0	1593.0	green	0.37	[0,1]	risk	wide	left	f
Ambiguity	87.0	726.0	green	0.38	[0,1]	Ambiguous	wide	left	j
Ambiguity	88.0	876.0	green	0.36	[0,1]	Ambiguous	wide	right	f
Ambiguity	89.0	1178.0	green	0.34	[0,1]	Ambiguous	wide	left	j
