Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2002.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	3460.0	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3.0	650.0	blue	0.43	[0,1]	lose	risk	norm	left	f
Learning	4.0	829.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	5.0	768.0	blue	0.36	[0,1]	lose	Amb	norm	right	f
Learning	6.0	2226.0	blue	0.38	[0,1]	lose	Amb	norm	right	f
Learning	7.0	786.0	blue	0.42	[0,1]	lose	risk	norm	right	j
Learning	8.0	589.0	blue	0.42	[0,1]	lose	risk	norm	left	f
Learning	9.0	1033.0	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	10.0	1144.0	blue	0.39	[0,1]	lose	risk	norm	left	f
Learning	11.0	1150.0	blue	0.39	[0,1]	lose	risk	norm	left	f
Learning	12.0	981.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	13.0	743.0	blue	0.39	[0,1]	lose	risk	norm	left	f
Learning	14.0	723.0	blue	0.37	[0,1]	lose	Amb	norm	left	j
Learning	15.0	720.0	blue	0.37	[0,1]	lose	Amb	norm	left	j
Learning	1.0	919.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	754.0	red	0.41	[0,1]	win	risk	norm	left	f
Learning	3.0	568.0	red	0.24	[0,1]	win	Amb	norm	left	j
Learning	4.0	612.0	red	0.33	[0,1]	win	Amb	norm	left	j
Learning	5.0	790.0	red	0.42	[0,1]	win	risk	norm	right	j
Learning	6.0	746.0	red	0.35	[0,1]	win	Amb	norm	right	f
Learning	7.0	617.0	red	0.4	[0,1]	win	risk	norm	left	f
Learning	8.0	1079.0	red	0.37	[0,1]	win	risk	norm	right	j
Learning	9.0	1897.0	red	0.36	[0,1]	win	Amb	norm	right	f
Learning	10.0	2098.0	red	0.39	[0,1]	win	risk	norm	left	f
Learning	11.0	1232.0	red	0.37	[0,1]	win	Amb	norm	right	f
Learning	12.0	1465.0	red	0.34	[0,1]	win	Amb	norm	left	j
Learning	13.0	850.0	red	0.35	[0,1]	win	Amb	norm	left	j
