Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1487.0	blue	0.5	right	narrow	"[""right""]"	j
Risk	1.0	2598.0	blue	0.4	left	narrow	"[""right""]"	f
Risk	2.0	1040.0	blue	0.3	left	narrow	"[""right""]"	f
Risk	3.0	1700.0	blue	0.5	right	narrow	"[""left""]"	j
Risk	4.0	1205.0	blue	0.5	right	narrow	"[""right""]"	j
Risk	5.0	1372.0	blue	0.6	right	narrow	"[""right""]"	j
Risk	6.0	1018.0	blue	0.5	right	narrow	"[""right""]"	j
Risk	7.0	537.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	8.0	837.0	blue	0.6	left	narrow	"[""left""]"	f
Risk	9.0	708.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	10.0	645.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	11.0	1599.0	blue	0.4	left	narrow	"[""left""]"	f
Risk	12.0	1524.0	blue	0.2	left	narrow	"[""right""]"	f
Risk	13.0	1051.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	14.0	995.0	blue	0.7	right	narrow	"[""right""]"	j
Risk	15.0	804.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	16.0	1148.0	blue	0.4	left	narrow	"[""left""]"	f
Risk	17.0	781.0	blue	0.6	left	narrow	"[""left""]"	f
Risk	18.0	698.0	blue	0.5	left	narrow	"[""left""]"	f
Risk	19.0	886.0	blue	0.3	right	narrow	"[""left""]"	j
Risk	20.0	1448.0	red	0.7	left	skew	"[""left""]"	f
Risk	21.0	986.0	red	0.7	right	skew	"[""right""]"	j
Risk	22.0	1417.0	red	0.4	left	skew	"[""left""]"	f
Risk	23.0	1098.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	24.0	930.0	red	0.7	left	skew	"[""left""]"	f
Risk	25.0	611.0	red	0.8	left	skew	"[""left""]"	f
Risk	26.0	589.0	red	0.7	right	skew	"[""right""]"	j
Risk	27.0	704.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	28.0	583.0	red	0.7	left	skew	"[""left""]"	f
Risk	29.0	665.0	red	0.7	left	skew	"[""left""]"	f
Risk	30.0	484.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	31.0	590.0	red	0.7	right	skew	"[""right""]"	j
Risk	32.0	734.0	red	0.5	right	skew	"[""right""]"	j
Risk	33.0	677.0	red	0.7	left	skew	"[""left""]"	f
Risk	34.0	519.0	red	0.7	right	skew	"[""right""]"	j
Risk	35.0	534.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	36.0	544.0	red	0.5	left	skew	"[""left""]"	f
Risk	37.0	716.0	red	0.8	right	skew	"[""right""]"	j
Risk	38.0	615.0	red	0.8	right	skew	"[""right""]"	j
Risk	39.0	583.0	red	0.7	right	skew	"[""right""]"	j
Risk	40.0	802.0	green	0.7	right	wide	"[""right""]"	j
Risk	41.0	1050.0	green	0.2	left	wide	"[""right""]"	f
Risk	42.0	1170.0	green	0.0	right	wide	"[""left""]"	j
Risk	43.0	961.0	green	0.0	left	wide	"[""right""]"	f
Risk	44.0	915.0	green	0.3	left	wide	"[""right""]"	f
Risk	45.0	1277.0	green	1.0	left	wide	"[""left""]"	f
Risk	46.0	1268.0	green	0.0	right	wide	"[""left""]"	j
Risk	47.0	880.0	green	0.9	right	wide	"[""right""]"	j
Risk	48.0	710.0	green	0.0	right	wide	"[""left""]"	j
Risk	49.0	737.0	green	0.1	right	wide	"[""left""]"	j
Risk	50.0	654.0	green	0.2	left	wide	"[""right""]"	f
Risk	51.0	997.0	green	0.9	left	wide	"[""left""]"	f
Risk	52.0	628.0	green	1.0	right	wide	"[""right""]"	j
Risk	53.0	840.0	green	0.9	left	wide	"[""left""]"	f
Risk	54.0	664.0	green	1.0	left	wide	"[""left""]"	f
Risk	55.0	1054.0	green	0.1	left	wide	"[""right""]"	f
Risk	56.0	1369.0	green	0.0	left	wide	"[""right""]"	f
Risk	57.0	831.0	green	0.1	left	wide	"[""right""]"	f
Risk	58.0	2059.0	green	0.8	right	wide	"[""right""]"	j
Risk	59.0	1140.0	green	0.8	left	wide	"[""left""]"	f
