Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	2763.0	green	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	1.0	2566.0	green	0.41	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2.0	3639.0	green	0.27	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	3.0	1534.0	green	0.35	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	4.0	2610.0	green	0.44	[0.25,0.75]	risk	narrow	left	f
Ambiguity	5.0	1260.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	1175.0	green	0.41	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	820.0	green	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	1154.0	green	0.42	[0.25,0.75]	risk	narrow	right	j
Ambiguity	9.0	819.0	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1407.0	green	0.39	[0.25,0.75]	risk	narrow	left	f
Ambiguity	11.0	1098.0	green	0.38	[0.25,0.75]	risk	narrow	left	f
Ambiguity	12.0	1366.0	green	0.37	[0.25,0.75]	risk	narrow	right	j
Ambiguity	13.0	972.0	green	0.33	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14.0	762.0	green	0.32	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15.0	1060.0	green	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16.0	1583.0	green	0.41	[0,1]	risk	narrow	left	f
Ambiguity	17.0	1613.0	green	0.25	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18.0	816.0	green	0.3	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19.0	691.0	green	0.42	[0,1]	risk	narrow	left	f
Ambiguity	20.0	852.0	green	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21.0	951.0	green	0.37	[0,1]	Ambiguous	narrow	right	f
Ambiguity	22.0	648.0	green	0.42	[0,1]	risk	narrow	left	f
Ambiguity	23.0	770.0	green	0.39	[0,1]	Ambiguous	narrow	left	j
Ambiguity	24.0	586.0	green	0.41	[0,1]	risk	narrow	left	f
Ambiguity	25.0	701.0	green	0.39	[0,1]	Ambiguous	narrow	left	j
Ambiguity	26.0	244.0	green	0.36	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27.0	859.0	green	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	28.0	1075.0	green	0.4	[0,1]	risk	narrow	left	f
Ambiguity	29.0	1564.0	green	0.4	[0,1]	risk	narrow	right	j
Ambiguity	30.0	2016.0	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31.0	1604.0	blue	0.41	[0.25,0.75]	risk	wide	left	f
Ambiguity	32.0	2366.0	blue	0.26	[0.25,0.75]	risk	wide	right	j
Ambiguity	33.0	968.0	blue	0.01	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	34.0	969.0	blue	0.14	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	35.0	843.0	blue	0.32	[0.25,0.75]	risk	wide	right	j
Ambiguity	36.0	1035.0	blue	0.24	[0.25,0.75]	risk	wide	right	j
Ambiguity	37.0	1149.0	blue	0.1	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	38.0	575.0	blue	0.15	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	39.0	949.0	blue	0.22	[0.25,0.75]	risk	wide	right	j
Ambiguity	40.0	661.0	blue	0.15	[0.25,0.75]	risk	wide	right	j
Ambiguity	41.0	898.0	blue	0.06	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	42.0	1081.0	blue	0.07	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	43.0	865.0	blue	0.14	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	44.0	913.0	blue	0.22	[0.25,0.75]	risk	wide	left	f
Ambiguity	45.0	1123.0	blue	0.5	[0,1]	risk	wide	left	f
Ambiguity	46.0	850.0	blue	0.39	[0,1]	risk	wide	right	j
Ambiguity	47.0	974.0	blue	0.22	[0,1]	risk	wide	left	f
Ambiguity	48.0	729.0	blue	0.0	[0,1]	Ambiguous	wide	left	j
Ambiguity	49.0	806.0	blue	0.09	[0,1]	Ambiguous	wide	right	f
Ambiguity	50.0	723.0	blue	0.26	[0,1]	risk	wide	left	f
Ambiguity	51.0	722.0	blue	0.18	[0,1]	Ambiguous	wide	left	j
Ambiguity	52.0	963.0	blue	0.2	[0,1]	risk	wide	right	j
Ambiguity	53.0	569.0	blue	0.18	[0,1]	Ambiguous	wide	right	f
Ambiguity	54.0	727.0	blue	0.18	[0,1]	Ambiguous	wide	right	f
Ambiguity	55.0	598.0	blue	0.21	[0,1]	risk	wide	right	j
Ambiguity	56.0	793.0	blue	0.18	[0,1]	Ambiguous	wide	left	j
Ambiguity	57.0	628.0	blue	0.2	[0,1]	risk	wide	right	j
Ambiguity	58.0	763.0	blue	0.19	[0,1]	Ambiguous	wide	left	j
Ambiguity	59.0	892.0	blue	0.2	[0,1]	risk	wide	right	j
Ambiguity	60.0	2375.0	red	0.5	[0.25,0.75]	risk	skew	left	f
Ambiguity	61.0	714.0	red	0.41	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	62.0	717.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	63.0	1507.0	red	0.52	[0.25,0.75]	risk	skew	right	j
Ambiguity	64.0	824.0	red	0.48	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	65.0	741.0	red	0.5	[0.25,0.75]	risk	skew	right	j
Ambiguity	66.0	850.0	red	0.48	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	67.0	553.0	red	0.45	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	666.0	red	0.44	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	69.0	792.0	red	0.47	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	70.0	634.0	red	0.46	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	71.0	634.0	red	0.49	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	72.0	868.0	red	0.52	[0.25,0.75]	risk	skew	left	f
Ambiguity	73.0	837.0	red	0.49	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	74.0	699.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	75.0	630.0	red	0.5	[0,1]	risk	skew	left	f
Ambiguity	76.0	637.0	red	0.4	[0,1]	Ambiguous	skew	left	j
Ambiguity	77.0	894.0	red	0.43	[0,1]	Ambiguous	skew	right	f
Ambiguity	78.0	760.0	red	0.53	[0,1]	risk	skew	left	f
Ambiguity	79.0	843.0	red	0.47	[0,1]	Ambiguous	skew	left	j
Ambiguity	80.0	857.0	red	0.51	[0,1]	risk	skew	right	j
Ambiguity	81.0	685.0	red	0.48	[0,1]	risk	skew	left	f
Ambiguity	82.0	588.0	red	0.45	[0,1]	Ambiguous	skew	left	j
Ambiguity	83.0	587.0	red	0.45	[0,1]	Ambiguous	skew	left	j
Ambiguity	84.0	603.0	red	0.46	[0,1]	Ambiguous	skew	left	j
Ambiguity	85.0	614.0	red	0.48	[0,1]	Ambiguous	skew	right	f
Ambiguity	86.0	673.0	red	0.5	[0,1]	risk	skew	left	f
Ambiguity	87.0	572.0	red	0.48	[0,1]	Ambiguous	skew	left	j
Ambiguity	88.0	894.0	red	0.49	[0,1]	Ambiguous	skew	right	f
Ambiguity	89.0	540.0	red	0.47	[0,1]	Ambiguous	skew	left	j
