Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	907.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	3109.0	red	0.38	[0,1]	lose	Amb	norm	right	f
Learning	3.0	1019.0	red	0.44	[0,1]	lose	Amb	norm	right	f
Learning	4.0	1123.0	red	0.49	[0,1]	lose	Amb	norm	right	f
Learning	5.0	931.0	red	0.61	[0,1]	lose	Amb	norm	right	f
Learning	6.0	1079.0	red	0.78	[0,1]	lose	risk	norm	right	j
Learning	7.0	786.0	red	0.69	[0,1]	lose	risk	norm	right	j
Learning	8.0	825.0	red	0.56	[0,1]	lose	risk	norm	right	j
Learning	9.0	756.0	red	0.38	[0,1]	lose	Amb	norm	left	j
Learning	10.0	715.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	11.0	916.0	red	0.59	[0,1]	lose	risk	norm	left	f
Learning	12.0	2534.0	red	0.53	[0,1]	lose	Amb	norm	right	f
Learning	13.0	1011.0	red	0.57	[0,1]	lose	Amb	norm	right	f
Learning	14.0	1365.0	red	0.59	[0,1]	lose	Amb	norm	right	f
Learning	15.0	673.0	red	0.67	[0,1]	lose	risk	norm	left	f
Learning	1.0	2954.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	676.0	blue	0.4	[0,1]	lose	Amb	norm	left	j
Learning	3.0	1104.0	blue	0.42	[0,1]	lose	risk	norm	right	j
Learning	4.0	980.0	blue	0.39	[0,1]	lose	Amb	norm	right	f
Learning	5.0	1173.0	blue	0.41	[0,1]	lose	risk	norm	left	f
Learning	6.0	803.0	blue	0.39	[0,1]	lose	risk	norm	right	j
Learning	7.0	657.0	blue	0.36	[0,1]	lose	risk	norm	right	j
Learning	8.0	1028.0	blue	0.35	[0,1]	lose	risk	norm	right	j
Learning	9.0	630.0	blue	0.31	[0,1]	lose	risk	norm	left	f
Learning	10.0	480.0	blue	0.28	[0,1]	lose	risk	norm	left	f
Learning	11.0	768.0	blue	0.23	[0,1]	lose	Amb	norm	right	f
Learning	12.0	841.0	blue	0.25	[0,1]	lose	Amb	norm	right	f
Learning	13.0	728.0	blue	0.3	[0,1]	lose	risk	norm	left	f
Learning	14.0	778.0	blue	0.27	[0,1]	lose	Amb	norm	left	j
Learning	15.0	775.0	blue	0.25	[0,1]	lose	Amb	norm	right	f
Learning	1.0	1345.0	blue	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	915.0	blue	0.4	[0,1]	win	Amb	norm	left	j
Learning	3.0	873.0	blue	0.42	[0,1]	win	Amb	norm	right	f
Learning	4.0	3720.0	blue	0.51	[0,1]	win	risk	norm	right	j
Learning	5.0	698.0	blue	0.46	[0,1]	win	risk	norm	right	j
Learning	6.0	332.0	blue	0.38	[0,1]	win	risk	norm	right	j
Learning	7.0	697.0	blue	0.31	[0,1]	win	Amb	norm	left	j
Learning	8.0	560.0	blue	0.35	[0,1]	win	Amb	norm	left	j
Learning	9.0	754.0	blue	0.42	[0,1]	win	risk	norm	right	j
Learning	10.0	1038.0	blue	0.38	[0,1]	win	Amb	norm	left	j
Learning	11.0	446.0	blue	0.42	[0,1]	win	Amb	norm	left	j
Learning	12.0	419.0	blue	0.46	[0,1]	win	Amb	norm	left	j
Learning	13.0	440.0	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	14.0	810.0	blue	0.52	[0,1]	win	Amb	norm	right	f
Learning	15.0	414.0	blue	0.6	[0,1]	win	Amb	norm	right	f
Learning	1.0	774.0	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	623.0	green	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3.0	618.0	green	0.45	[0,1]	lose	Amb	norm	right	f
Learning	4.0	556.0	green	0.52	[0,1]	lose	risk	norm	right	j
Learning	5.0	663.0	green	0.46	[0,1]	lose	Amb	norm	right	f
Learning	6.0	703.0	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	7.0	771.0	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	8.0	598.0	green	0.51	[0,1]	lose	Amb	norm	left	j
Learning	9.0	427.0	green	0.55	[0,1]	lose	Amb	norm	left	j
Learning	10.0	359.0	green	0.66	[0,1]	lose	Amb	norm	left	j
Learning	11.0	509.0	green	0.78	[0,1]	lose	risk	norm	left	f
Learning	12.0	374.0	green	0.71	[0,1]	lose	risk	norm	left	f
Learning	13.0	465.0	green	0.58	[0,1]	lose	risk	norm	left	f
Learning	14.0	482.0	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	15.0	652.0	green	0.15	[0,1]	lose	Amb	norm	left	j
Learning	1.0	635.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	616.0	red	0.4	[0,1]	win	Amb	norm	left	j
Learning	3.0	440.0	red	0.42	[0,1]	win	Amb	norm	left	j
Learning	4.0	548.0	red	0.48	[0,1]	win	Amb	norm	right	f
Learning	5.0	561.0	red	0.58	[0,1]	win	Amb	norm	right	f
Learning	6.0	700.0	red	0.72	[0,1]	win	risk	norm	left	f
Learning	7.0	595.0	red	0.65	[0,1]	win	risk	norm	left	f
Learning	8.0	759.0	red	0.52	[0,1]	win	Amb	norm	right	f
Learning	9.0	875.0	red	0.55	[0,1]	win	Amb	norm	left	j
Learning	10.0	733.0	red	0.63	[0,1]	win	risk	norm	left	f
Learning	11.0	676.0	red	0.56	[0,1]	win	Amb	norm	right	f
Learning	12.0	595.0	red	0.56	[0,1]	win	Amb	norm	right	f
Learning	13.0	636.0	red	0.61	[0,1]	win	risk	norm	left	f
Learning	14.0	567.0	red	0.59	[0,1]	win	risk	norm	left	f
Learning	15.0	730.0	red	0.54	[0,1]	win	Amb	norm	left	j
Learning	1.0	652.0	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	584.0	green	0.59	[0,1]	win	risk	norm	right	j
Learning	3.0	225.0	green	0.54	[0,1]	win	risk	norm	right	j
Learning	4.0	223.0	green	0.45	[0,1]	win	Amb	norm	left	j
Learning	5.0	262.0	green	0.47	[0,1]	win	risk	norm	right	j
Learning	6.0	227.0	green	0.44	[0,1]	win	Amb	norm	left	j
Learning	7.0	202.0	green	0.42	[0,1]	win	Amb	norm	left	j
Learning	8.0	228.0	green	0.44	[0,1]	win	Amb	norm	left	j
Learning	9.0	339.0	green	0.45	[0,1]	win	Amb	norm	right	f
Learning	10.0	456.0	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	11.0	357.0	green	0.55	[0,1]	win	Amb	norm	left	j
Learning	12.0	327.0	green	0.63	[0,1]	win	Amb	norm	right	f
Learning	13.0	419.0	green	0.73	[0,1]	win	Amb	norm	right	f
Learning	14.0	584.0	green	0.9	[0,1]	win	Amb	norm	right	f
Learning	15.0	952.0	green	1.0	[0,1]	win	risk	norm	left	f
