Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	2860.0	green	0.5	left	narrow	"[""right""]"	f
Risk	1.0	2179.0	green	0.3	left	narrow	"[""right""]"	f
Risk	2.0	2568.0	green	0.2	right	narrow	"[""left""]"	j
Risk	3.0	1270.0	green	0.5	left	narrow	"[""right""]"	f
Risk	4.0	950.0	green	0.5	left	narrow	"[""right""]"	f
Risk	5.0	3935.0	green	0.7	right	narrow	"[""right""]"	j
Risk	6.0	1068.0	green	0.5	left	narrow	"[""right""]"	f
Risk	7.0	838.0	green	0.5	right	narrow	"[""left""]"	j
Risk	8.0	1309.0	green	0.5	right	narrow	"[""left""]"	j
Risk	9.0	970.0	green	0.4	right	narrow	"[""left""]"	j
Risk	10.0	1304.0	green	0.6	left	narrow	"[""right""]"	f
Risk	11.0	1129.0	green	0.5	right	narrow	"[""left""]"	j
Risk	12.0	887.0	green	0.5	left	narrow	"[""right""]"	f
Risk	13.0	853.0	green	0.4	right	narrow	"[""left""]"	j
Risk	14.0	770.0	green	0.3	right	narrow	"[""left""]"	j
Risk	15.0	1094.0	green	0.5	right	narrow	"[""left""]"	j
Risk	16.0	623.0	green	0.5	left	narrow	"[""right""]"	f
Risk	17.0	632.0	green	0.4	left	narrow	"[""right""]"	f
Risk	18.0	551.0	green	0.6	right	narrow	"[""left""]"	j
Risk	19.0	519.0	green	0.6	right	narrow	"[""left""]"	j
Risk	20.0	1302.0	blue	0.0	right	wide	"[""left""]"	j
Risk	21.0	1345.0	blue	0.9	left	wide	"[""left""]"	f
Risk	22.0	827.0	blue	0.1	right	wide	"[""left""]"	j
Risk	23.0	912.0	blue	0.0	right	wide	"[""left""]"	j
Risk	24.0	945.0	blue	0.9	left	wide	"[""left""]"	f
Risk	25.0	1046.0	blue	0.2	left	wide	"[""right""]"	f
Risk	26.0	1034.0	blue	0.8	left	wide	"[""left""]"	f
Risk	27.0	1170.0	blue	1.0	left	wide	"[""left""]"	f
Risk	28.0	671.0	blue	0.0	right	wide	"[""left""]"	j
Risk	29.0	650.0	blue	0.3	right	wide	"[""left""]"	j
Risk	30.0	817.0	blue	0.1	left	wide	"[""right""]"	f
Risk	31.0	572.0	blue	0.1	left	wide	"[""right""]"	f
Risk	32.0	533.0	blue	1.0	left	wide	"[""right""]"	f
Risk	33.0	707.0	blue	0.9	left	wide	"[""left""]"	f
Risk	34.0	633.0	blue	1.0	left	wide	"[""left""]"	f
Risk	35.0	801.0	blue	0.2	left	wide	"[""right""]"	f
Risk	36.0	892.0	blue	0.0	left	wide	"[""right""]"	f
Risk	37.0	1509.0	blue	0.7	left	wide	"[""left""]"	f
Risk	38.0	1008.0	blue	0.0	left	wide	"[""right""]"	f
Risk	39.0	642.0	blue	0.8	left	wide	"[""left""]"	f
Risk	40.0	765.0	red	0.7	left	skew	"[""left""]"	f
Risk	41.0	888.0	red	0.7	left	skew	"[""left""]"	f
Risk	42.0	392.0	red	0.7	left	skew	"[""left""]"	f
Risk	43.0	578.0	red	0.7	right	skew	"[""right""]"	j
Risk	44.0	727.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	45.0	538.0	red	0.8	left	skew	"[""left""]"	f
Risk	46.0	914.0	red	0.5	right	skew	"[""left""]"	j
Risk	47.0	622.0	red	0.8	left	skew	"[""left""]"	f
Risk	48.0	501.0	red	0.7	left	skew	"[""left""]"	f
Risk	49.0	1523.0	red	0.7	right	skew	"[""right""]"	j
Risk	50.0	549.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	51.0	516.0	red	0.8	left	skew	"[""left""]"	f
Risk	52.0	579.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	53.0	811.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	54.0	799.0	red	0.7	right	skew	"[""right""]"	j
Risk	55.0	518.0	red	0.7	right	skew	"[""right""]"	j
Risk	56.0	846.0	red	0.5	right	skew	"[""left""]"	j
Risk	57.0	610.0	red	0.7	left	skew	"[""left""]"	f
Risk	58.0	587.0	red	0.7	right	skew	"[""right""]"	j
Risk	59.0	761.0	red	0.4	left	skew	"[""right""]"	f
