Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0		green	0.5	[0.25,0.75]	Ambiguous	narrow	right	
Ambiguity	1.0	2019.0	green	0.58	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2.0	2582.0	green	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	3.0	2400.0	green	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4.0	1712.0	green	0.47	[0.25,0.75]	risk	narrow	right	j
Ambiguity	5.0	2887.0	green	0.45	[0.25,0.75]	risk	narrow	left	f
Ambiguity	6.0	1682.0	green	0.42	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	2836.0	green	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	3700.0	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	9.0	2978.0	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1914.0	green	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11.0	2194.0	green	0.37	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	12.0	2544.0	green	0.35	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	13.0	1713.0	green	0.34	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14.0	1735.0	green	0.35	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15.0	3157.0	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16.0	2033.0	green	0.4	[0,1]	risk	narrow	right	j
Ambiguity	17.0	990.0	green	0.25	[0,1]	Ambiguous	narrow	right	f
Ambiguity	18.0	1334.0	green	0.3	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19.0	2000.0	green	0.41	[0,1]	risk	narrow	left	f
Ambiguity	20.0	2967.0	green	0.35	[0,1]	risk	narrow	right	j
Ambiguity	21.0	1290.0	green	0.27	[0,1]	Ambiguous	narrow	right	f
Ambiguity	22.0	1708.0	green	0.31	[0,1]	risk	narrow	left	f
Ambiguity	23.0	2087.0	green	0.3	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24.0	1441.0	green	0.3	[0,1]	Ambiguous	narrow	right	f
Ambiguity	25.0	1418.0	green	0.29	[0,1]	Ambiguous	narrow	left	j
Ambiguity	26.0	1088.0	green	0.31	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27.0	2444.0	green	0.32	[0,1]	Ambiguous	narrow	right	f
Ambiguity	28.0	2195.0	green	0.35	[0,1]	Ambiguous	narrow	left	j
Ambiguity	29.0	1584.0	green	0.45	[0,1]	risk	narrow	right	j
Ambiguity	30.0	2179.0	blue	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	31.0	2261.0	blue	0.41	[0.25,0.75]	risk	wide	right	j
Ambiguity	32.0	1399.0	blue	0.25	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	33.0	2608.0	blue	0.3	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	34.0	1563.0	blue	0.43	[0.25,0.75]	risk	wide	left	f
Ambiguity	35.0	1125.0	blue	0.36	[0.25,0.75]	risk	wide	left	f
Ambiguity	36.0	1465.0	blue	0.28	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	37.0	4012.0	blue	0.34	[0.25,0.75]	risk	wide	right	j
Ambiguity	38.0	2617.0	blue	0.31	[0.25,0.75]	risk	wide	left	f
Ambiguity	39.0	1118.0	blue	0.28	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	40.0	1748.0	blue	0.27	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	41.0	1988.0	blue	0.27	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	42.0	2050.0	blue	0.3	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	43.0	2948.0	blue	0.34	[0.25,0.75]	risk	wide	right	j
Ambiguity	44.0	2534.0	blue	0.3	[0.25,0.75]	risk	wide	left	f
Ambiguity	45.0	1537.0	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	46.0	1731.0	blue	0.38	[0,1]	Ambiguous	wide	right	f
Ambiguity	47.0	1399.0	blue	0.43	[0,1]	risk	wide	right	j
Ambiguity	48.0	1596.0	blue	0.39	[0,1]	risk	wide	left	f
Ambiguity	49.0	2004.0	blue	0.36	[0,1]	risk	wide	right	j
Ambiguity	50.0	1434.0	blue	0.29	[0,1]	Ambiguous	wide	right	f
Ambiguity	51.0	1475.0	blue	0.32	[0,1]	risk	wide	right	j
Ambiguity	52.0	2351.0	blue	0.29	[0,1]	Ambiguous	wide	right	f
Ambiguity	53.0	1673.0	blue	0.27	[0,1]	Ambiguous	wide	left	j
Ambiguity	54.0	1507.0	blue	0.26	[0,1]	Ambiguous	wide	right	f
Ambiguity	55.0	1499.0	blue	0.3	[0,1]	Ambiguous	wide	right	f
Ambiguity	56.0	1544.0	blue	0.32	[0,1]	Ambiguous	wide	left	j
Ambiguity	57.0	1757.0	blue	0.35	[0,1]	risk	wide	right	j
Ambiguity	58.0	1581.0	blue	0.33	[0,1]	risk	wide	left	f
Ambiguity	59.0	1415.0	blue	0.31	[0,1]	risk	wide	left	f
Ambiguity	60.0	1837.0	red	0.5	[0.25,0.75]	risk	skew	right	j
Ambiguity	61.0	1906.0	red	0.39	[0.25,0.75]	risk	skew	right	j
Ambiguity	62.0	1248.0	red	0.23	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	63.0	2267.0	red	0.32	[0.25,0.75]	risk	skew	right	j
Ambiguity	64.0	1145.0	red	0.28	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	65.0	2005.0	red	0.31	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	66.0	2160.0	red	0.36	[0.25,0.75]	risk	skew	left	f
Ambiguity	67.0	2317.0	red	0.34	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	2275.0	red	0.36	[0.25,0.75]	risk	skew	left	f
Ambiguity	69.0	1606.0	red	0.37	[0.25,0.75]	risk	skew	left	f
Ambiguity	70.0	1219.0	red	0.36	[0.25,0.75]	risk	skew	left	f
Ambiguity	71.0	1619.0	red	0.35	[0.25,0.75]	risk	skew	right	j
Ambiguity	72.0	1305.0	red	0.32	[0.25,0.75]	risk	skew	right	j
Ambiguity	73.0	1157.0	red	0.29	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	74.0	1555.0	red	0.28	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	75.0	1523.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	76.0	1643.0	red	0.4	[0,1]	risk	skew	left	f
Ambiguity	77.0	1070.0	red	0.24	[0,1]	Ambiguous	skew	left	j
Ambiguity	78.0	1282.0	red	0.34	[0,1]	risk	skew	right	j
Ambiguity	79.0	1551.0	red	0.28	[0,1]	Ambiguous	skew	right	f
Ambiguity	80.0	1464.0	red	0.32	[0,1]	risk	skew	right	j
Ambiguity	81.0	1205.0	red	0.3	[0,1]	risk	skew	right	j
Ambiguity	82.0	2198.0	red	0.3	[0,1]	risk	skew	left	f
Ambiguity	83.0	1058.0	red	0.27	[0,1]	Ambiguous	skew	left	j
Ambiguity	84.0	1832.0	red	0.28	[0,1]	Ambiguous	skew	right	f
Ambiguity	85.0	1514.0	red	0.28	[0,1]	Ambiguous	skew	left	j
Ambiguity	86.0	1542.0	red	0.29	[0,1]	Ambiguous	skew	left	j
Ambiguity	87.0	862.0	red	0.35	[0,1]	risk	skew	left	f
Ambiguity	88.0	1380.0	red	0.33	[0,1]	risk	skew	left	f
Ambiguity	89.0	1430.0	red	0.3	[0,1]	risk	skew	left	f
