Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0		green	0.5	[0,1]	win	Amb	norm	right	
Learning	2.0	2695.0	green	0.57	[0,1]	win	risk	norm	right	j
Learning	3.0	1885.0	green	0.52	[0,1]	win	risk	norm	right	j
Learning	4.0	1127.0	green	0.45	[0,1]	win	risk	norm	right	j
Learning	5.0	1214.0	green	0.32	[0,1]	win	risk	norm	right	j
Learning	6.0	1869.0	green	0.14	[0,1]	win	Amb	norm	right	f
Learning	7.0	1325.0	green	0.22	[0,1]	win	Amb	norm	left	j
Learning	8.0	1268.0	green	0.32	[0,1]	win	Amb	norm	left	j
Learning	9.0	1050.0	green	0.52	[0,1]	win	risk	norm	left	f
Learning	10.0	2497.0	green	0.41	[0,1]	win	risk	norm	right	j
Learning	11.0	1020.0	green	0.26	[0,1]	win	Amb	norm	right	f
Learning	12.0	1891.0	green	0.34	[0,1]	win	risk	norm	right	j
Learning	13.0	1408.0	green	0.3	[0,1]	win	risk	norm	left	f
Learning	14.0	974.0	green	0.24	[0,1]	win	Amb	norm	right	f
Learning	15.0	1383.0	green	0.29	[0,1]	win	Amb	norm	left	j
Learning	1.0	2382.0	red	0.5	[0,1]	win	risk	norm	left	f
Learning	2.0	1559.0	red	0.39	[0,1]	win	risk	norm	left	f
Learning	3.0	1186.0	red	0.22	[0,1]	win	Amb	norm	right	f
Learning	4.0	1412.0	red	0.3	[0,1]	win	Amb	norm	right	f
Learning	5.0	2186.0	red	0.39	[0,1]	win	risk	norm	left	f
Learning	6.0	1237.0	red	0.33	[0,1]	win	risk	norm	left	f
Learning	7.0	831.0	red	0.25	[0,1]	win	Amb	norm	left	j
Learning	8.0	1709.0	red	0.27	[0,1]	win	Amb	norm	right	f
Learning	9.0	1836.0	red	0.3	[0,1]	win	Amb	norm	right	f
Learning	10.0	1269.0	red	0.37	[0,1]	win	risk	norm	right	j
Learning	11.0	1614.0	red	0.33	[0,1]	win	risk	norm	left	f
Learning	12.0	971.0	red	0.26	[0,1]	win	Amb	norm	left	j
Learning	13.0	1200.0	red	0.3	[0,1]	win	Amb	norm	right	f
Learning	14.0	1357.0	red	0.32	[0,1]	win	Amb	norm	right	f
Learning	15.0	1521.0	red	0.37	[0,1]	win	risk	norm	left	f
Learning	1.0	2076.0	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	1054.0	green	0.4	[0,1]	lose	risk	norm	right	j
Learning	3.0	1076.0	green	0.26	[0,1]	lose	Amb	norm	left	j
