Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	3288.0	green	0.5	left	narrow	"[""right""]"	f
Risk	1.0	3484.0	green	0.5	left	narrow	"[""right""]"	f
Risk	2.0	1952.0	green	0.5	right	narrow	"[""left""]"	j
Risk	3.0	3481.0	green	0.6	right	narrow	"[""left""]"	j
Risk	4.0		green	0.3	none	narrow	"[""right""]"	
Risk	5.0	723.0	green	0.4	right	narrow	"[""right""]"	j
Risk	6.0	2626.0	green	0.5	right	narrow	"[""left""]"	j
Risk	7.0	1325.0	green	0.2	left	narrow	"[""left""]"	f
Risk	8.0	1726.0	green	0.7	right	narrow	"[""right""]"	j
Risk	9.0	1031.0	green	0.5	left	narrow	"[""left""]"	f
Risk	10.0	3475.0	green	0.4	right	narrow	"[""right""]"	j
Risk	11.0	2167.0	green	0.5	right	narrow	"[""left""]"	j
Risk	12.0	1242.0	green	0.6	left	narrow	"[""right""]"	f
Risk	13.0	3438.0	green	0.5	right	narrow	"[""left""]"	j
Risk	14.0	1229.0	green	0.5	right	narrow	"[""right""]"	j
Risk	15.0	2092.0	green	0.3	left	narrow	"[""left""]"	f
Risk	16.0	1122.0	green	0.4	left	narrow	"[""left""]"	f
Risk	17.0	1010.0	green	0.5	right	narrow	"[""right""]"	j
Risk	18.0	2147.0	green	0.6	left	narrow	"[""left""]"	f
Risk	19.0	1923.0	green	0.5	left	narrow	"[""right""]"	f
Risk	20.0	2194.0	blue	1.0	right	wide	"[""right""]"	j
Risk	21.0	2015.0	blue	0.3	right	wide	"[""left""]"	j
Risk	22.0	1458.0	blue	0.8	left	wide	"[""right""]"	f
Risk	23.0	1573.0	blue	0.0	right	wide	"[""left""]"	j
Risk	24.0	1452.0	blue	1.0	left	wide	"[""left""]"	f
Risk	25.0	1077.0	blue	0.8	left	wide	"[""right""]"	f
Risk	26.0	1477.0	blue	0.0	right	wide	"[""left""]"	j
Risk	27.0	1578.0	blue	0.1	right	wide	"[""left""]"	j
Risk	28.0	1248.0	blue	0.1	right	wide	"[""left""]"	j
Risk	29.0	990.0	blue	0.0	right	wide	"[""left""]"	j
Risk	30.0	1519.0	blue	0.2	right	wide	"[""right""]"	j
Risk	31.0	859.0	blue	0.0	right	wide	"[""left""]"	j
Risk	32.0	946.0	blue	1.0	right	wide	"[""right""]"	j
Risk	33.0	1934.0	blue	0.9	right	wide	"[""right""]"	j
Risk	34.0	1275.0	blue	0.0	left	wide	"[""right""]"	f
Risk	35.0	1271.0	blue	0.7	left	wide	"[""left""]"	f
Risk	36.0	1793.0	blue	0.2	left	wide	"[""right""]"	f
Risk	37.0	1278.0	blue	0.9	right	wide	"[""right""]"	j
Risk	38.0	1221.0	blue	0.1	right	wide	"[""left""]"	j
Risk	39.0	1113.0	blue	0.9	left	wide	"[""right""]"	f
Risk	40.0	2365.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	41.0	1362.0	red	0.8	left	skew	"[""left""]"	f
Risk	42.0	1213.0	red	0.7	right	skew	"[""right""]"	j
Risk	43.0	1123.0	red	0.7	left	skew	"[""left""]"	f
Risk	44.0	1117.0	red	0.7	right	skew	"[""right""]"	j
Risk	45.0	1004.0	red	0.7	right	skew	"[""right""]"	j
Risk	46.0	1342.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	47.0	898.0	red	0.8	right	skew	"[""right""]"	j
Risk	48.0	1137.0	red	0.7	right	skew	"[""right""]"	j
Risk	49.0	1081.0	red	0.7	left	skew	"[""left""]"	f
Risk	50.0	1237.0	red	0.4	left	skew	"[""right""]"	f
Risk	51.0	2011.0	red	0.6000000000000001	right	skew	"[""right""]"	j
Risk	52.0	1501.0	red	0.5	left	skew	"[""right""]"	f
Risk	53.0	1073.0	red	0.7	left	skew	"[""left""]"	f
Risk	54.0	1213.0	red	0.7	right	skew	"[""right""]"	j
Risk	55.0	1124.0	red	0.8	right	skew	"[""right""]"	j
Risk	56.0	846.0	red	0.7	right	skew	"[""right""]"	j
Risk	57.0	1291.0	red	0.7	right	skew	"[""right""]"	j
Risk	58.0	1651.0	red	0.5	right	skew	"[""left""]"	j
Risk	59.0	766.0	red	0.8999999999999999	left	skew	"[""left""]"	f
