Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0		red	0.5	[0.25,0.75]	Ambiguous	narrow	right	
Ambiguity	1.0	2333.0	red	0.6	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2.0	661.0	red	0.54	[0.25,0.75]	risk	narrow	left	f
Ambiguity	3.0	1167.0	red	0.47	[0.25,0.75]	risk	narrow	left	f
Ambiguity	4.0	2504.0	red	0.34	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	5.0	1444.0	red	0.37	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6.0	2003.0	red	0.46	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	1350.0	red	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	1295.0	red	0.46	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	9.0	58.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	10.0	124.0	red	0.54	[0.25,0.75]	risk	narrow	left	f
Ambiguity	11.0	58.0	red	0.53	[0.25,0.75]	risk	narrow	right	j
Ambiguity	12.0	22.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13.0	18.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	14.0	122.0	red	0.5	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	15.0	299.0	red	0.5	[0,1]	Ambiguous	narrow	right	f
Ambiguity	16.0	1.0	red	0.62	[0,1]	risk	narrow	right	j
Ambiguity	17.0	188.0	red	0.56	[0,1]	Ambiguous	narrow	right	f
Ambiguity	18.0	434.0	red	0.56	[0,1]	risk	narrow	right	j
Ambiguity	19.0	473.0	red	0.55	[0,1]	risk	narrow	left	f
Ambiguity	20.0	505.0	red	0.51	[0,1]	risk	narrow	left	f
Ambiguity	21.0	130.0	red	0.47	[0,1]	risk	narrow	right	j
Ambiguity	22.0	30.0	red	0.44	[0,1]	Ambiguous	narrow	right	f
Ambiguity	23.0	40.0	red	0.47	[0,1]	risk	narrow	left	f
Ambiguity	24.0	95.0	red	0.46	[0,1]	risk	narrow	left	f
Ambiguity	25.0	16.0	red	0.44	[0,1]	risk	narrow	right	j
Ambiguity	26.0	65.0	red	0.4	[0,1]	risk	narrow	left	f
