Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	1297.0	red	0.5	[0,1]	win	Amb	norm	left	j
Learning	2.0	820.0	red	0.62	[0,1]	win	Amb	norm	left	j
Learning	3.0	284.0	red	0.74	[0,1]	win	Amb	norm	left	j
Learning	4.0	422.0	red	0.94	[0,1]	win	risk	norm	left	f
Learning	5.0	333.0	red	0.84	[0,1]	win	risk	norm	left	f
Learning	6.0	482.0	red	0.66	[0,1]	win	risk	norm	right	j
Learning	7.0	383.0	red	0.39	[0,1]	win	risk	norm	right	j
Learning	8.0	448.0	red	0.01	[0,1]	win	risk	norm	left	f
Learning	9.0	669.0	red	0.0	[0,1]	win	Amb	norm	right	f
Learning	10.0	673.0	red	0.28	[0,1]	win	Amb	norm	right	f
Learning	11.0	683.0	red	0.69	[0,1]	win	Amb	norm	left	j
Learning	12.0	616.0	red	1.0	[0,1]	win	risk	norm	left	f
Learning	13.0	489.0	red	0.67	[0,1]	win	risk	norm	left	f
Learning	14.0	604.0	red	0.2	[0,1]	win	Amb	norm	left	j
Learning	15.0	792.0	red	0.44	[0,1]	win	Amb	norm	right	f
Learning	1.0	539.0	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	59.0	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3.0	144.0	blue	0.41	[0,1]	lose	Amb	norm	right	f
Learning	4.0	190.0	blue	0.48	[0,1]	lose	Amb	norm	right	f
Learning	5.0	73.0	blue	0.61	[0,1]	lose	risk	norm	left	f
Learning	6.0	96.0	blue	0.55	[0,1]	lose	risk	norm	left	f
Learning	7.0	1.0	blue	0.45	[0,1]	lose	Amb	norm	right	f
Learning	8.0	1.0	blue	0.48	[0,1]	lose	Amb	norm	right	f
Learning	9.0	64.0	blue	0.53	[0,1]	lose	risk	norm	left	f
Learning	10.0	150.0	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	11.0	71.0	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	12.0	57.0	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	13.0	55.0	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	14.0	68.0	blue	0.48	[0,1]	lose	risk	norm	left	f
Learning	15.0	90.0	blue	0.46	[0,1]	lose	Amb	norm	right	f
Learning	1.0	284.0	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	1.0	green	0.41	[0,1]	lose	Amb	norm	left	j
Learning	3.0	45.0	green	0.47	[0,1]	lose	risk	norm	left	f
Learning	4.0	6.0	green	0.43	[0,1]	lose	Amb	norm	right	f
Learning	5.0	56.0	green	0.42	[0,1]	lose	risk	norm	left	f
Learning	6.0	102.0	green	0.41	[0,1]	lose	Amb	norm	right	f
Learning	7.0	117.0	green	0.38	[0,1]	lose	risk	norm	left	f
Learning	8.0	173.0	green	0.39	[0,1]	lose	risk	norm	left	f
Learning	9.0	1.0	green	0.4	[0,1]	lose	risk	norm	left	f
Learning	10.0	102.0	green	0.38	[0,1]	lose	Amb	norm	right	f
Learning	11.0	220.0	green	0.36	[0,1]	lose	Amb	norm	right	f
Learning	12.0	205.0	green	0.37	[0,1]	lose	risk	norm	left	f
Learning	13.0	1.0	green	0.38	[0,1]	lose	risk	norm	left	f
Learning	14.0	12.0	green	0.37	[0,1]	lose	Amb	norm	right	f
Learning	15.0	1.0	green	0.39	[0,1]	lose	risk	norm	left	f
Learning	1.0	216.0	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2.0	35.0	red	0.59	[0,1]	lose	risk	norm	right	j
Learning	3.0	51.0	red	0.53	[0,1]	lose	Amb	norm	right	f
Learning	4.0	1.0	red	0.58	[0,1]	lose	Amb	norm	right	f
Learning	5.0	88.0	red	0.62	[0,1]	lose	risk	norm	right	j
Learning	6.0	47.0	red	0.58	[0,1]	lose	risk	norm	left	f
Learning	7.0	259.0	red	0.54	[0,1]	lose	Amb	norm	right	f
Learning	8.0	65.0	red	0.55	[0,1]	lose	Amb	norm	right	f
Learning	9.0	226.0	red	0.57	[0,1]	lose	Amb	norm	right	f
Learning	10.0	64.0	red	0.6	[0,1]	lose	Amb	norm	left	j
Learning	11.0	101.0	red	0.62	[0,1]	lose	risk	norm	right	j
Learning	12.0	439.0	red	0.6	[0,1]	lose	risk	norm	left	f
Learning	13.0	541.0	red	0.54	[0,1]	lose	risk	norm	left	f
Learning	14.0	878.0	red	0.47	[0,1]	lose	Amb	norm	left	j
Learning	15.0	1121.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	1.0	301.0	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	47.0	green	0.58	[0,1]	win	Amb	norm	left	j
Learning	3.0	1.0	green	0.73	[0,1]	win	Amb	norm	right	f
Learning	4.0	77.0	green	0.94	[0,1]	win	risk	norm	left	f
Learning	5.0	444.0	green	0.84	[0,1]	win	risk	norm	left	f
Learning	6.0	424.0	green	0.65	[0,1]	win	risk	norm	left	f
Learning	7.0	558.0	green	0.41	[0,1]	win	risk	norm	right	j
Learning	8.0	728.0	green	0.04	[0,1]	win	risk	norm	left	f
Learning	9.0	588.0	green	0.0	[0,1]	win	Amb	norm	right	f
Learning	10.0	615.0	green	0.25	[0,1]	win	Amb	norm	left	j
Learning	11.0	599.0	green	0.66	[0,1]	win	risk	norm	left	f
Learning	12.0	1028.0	green	0.45	[0,1]	win	Amb	norm	right	f
Learning	13.0	1385.0	green	0.53	[0,1]	win	risk	norm	left	f
Learning	14.0	770.0	green	0.46	[0,1]	win	Amb	norm	right	f
