Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1691.0	red	0.5	right	narrow	"[""left""]"	j
Risk	1.0	1412.0	red	0.5	right	narrow	"[""left""]"	j
Risk	2.0		red	0.4	none	narrow	"[""right""]"	
Risk	3.0	2839.0	red	0.3	right	narrow	"[""left""]"	j
Risk	4.0	1141.0	red	0.7	left	narrow	"[""left""]"	f
Risk	5.0	1686.0	red	0.5	right	narrow	"[""right""]"	j
Risk	6.0	1616.0	red	0.5	left	narrow	"[""right""]"	f
Risk	7.0	1512.0	red	0.2	left	narrow	"[""right""]"	f
Risk	8.0	1392.0	red	0.5	right	narrow	"[""left""]"	j
Risk	9.0	684.0	red	0.5	right	narrow	"[""left""]"	j
Risk	10.0	2973.0	red	0.5	right	narrow	"[""right""]"	j
Risk	11.0	802.0	red	0.6	right	narrow	"[""right""]"	j
Risk	12.0	765.0	red	0.5	right	narrow	"[""left""]"	j
Risk	13.0	1578.0	red	0.4	right	narrow	"[""left""]"	j
Risk	14.0	781.0	red	0.3	right	narrow	"[""left""]"	j
Risk	15.0	1053.0	red	0.6	left	narrow	"[""left""]"	f
Risk	16.0	1073.0	red	0.4	left	narrow	"[""right""]"	f
Risk	17.0	1086.0	red	0.5	right	narrow	"[""left""]"	j
Risk	18.0	1235.0	red	0.6	right	narrow	"[""right""]"	j
Risk	19.0	1013.0	red	0.5	right	narrow	"[""left""]"	j
Risk	20.0	915.0	blue	0.7	left	skew	"[""left""]"	f
Risk	21.0	1529.0	blue	0.7	right	skew	"[""right""]"	j
Risk	22.0	641.0	blue	0.7	right	skew	"[""right""]"	j
Risk	23.0	1421.0	blue	0.5	left	skew	"[""right""]"	f
Risk	24.0	1264.0	blue	0.7	left	skew	"[""left""]"	f
Risk	25.0	472.0	blue	0.7	left	skew	"[""left""]"	f
Risk	26.0	467.0	blue	0.7	right	skew	"[""right""]"	j
Risk	27.0	423.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	28.0	409.0	blue	0.8	left	skew	"[""left""]"	f
Risk	29.0	536.0	blue	0.8	right	skew	"[""right""]"	j
Risk	30.0	354.0	blue	0.8	left	skew	"[""left""]"	f
Risk	31.0	331.0	blue	0.7	right	skew	"[""right""]"	j
Risk	32.0	414.0	blue	0.7	right	skew	"[""right""]"	j
Risk	33.0	328.0	blue	0.4	left	skew	"[""left""]"	f
Risk	34.0	399.0	blue	0.5	right	skew	"[""right""]"	j
Risk	35.0	537.0	blue	0.7	right	skew	"[""right""]"	j
Risk	36.0	374.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	37.0	383.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	38.0	256.0	blue	0.7	left	skew	"[""right""]"	f
Risk	39.0	45.0	blue	0.8999999999999999	right	skew	"[""right""]"	j
Risk	40.0	575.0	green	0.8	right	wide	"[""right""]"	j
Risk	41.0	344.0	green	0.1	right	wide	"[""right""]"	j
Risk	42.0	858.0	green	0.0	left	wide	"[""right""]"	f
Risk	43.0	1278.0	green	1.0	left	wide	"[""left""]"	f
Risk	44.0	951.0	green	0.0	right	wide	"[""left""]"	j
Risk	45.0	772.0	green	0.7	right	wide	"[""right""]"	j
Risk	46.0	1367.0	green	0.2	right	wide	"[""left""]"	j
Risk	47.0	1022.0	green	0.1	left	wide	"[""right""]"	f
Risk	48.0	776.0	green	0.1	right	wide	"[""left""]"	j
Risk	49.0	896.0	green	0.8	right	wide	"[""right""]"	j
Risk	50.0	1565.0	green	0.2	right	wide	"[""left""]"	j
Risk	51.0	741.0	green	0.9	right	wide	"[""right""]"	j
Risk	52.0	829.0	green	0.0	right	wide	"[""left""]"	j
Risk	53.0	470.0	green	0.9	left	wide	"[""left""]"	f
Risk	54.0	534.0	green	1.0	left	wide	"[""left""]"	f
Risk	55.0	744.0	green	0.0	left	wide	"[""right""]"	f
Risk	56.0	563.0	green	1.0	right	wide	"[""right""]"	j
Risk	57.0	705.0	green	0.9	right	wide	"[""right""]"	j
Risk	58.0	842.0	green	0.3	right	wide	"[""left""]"	j
Risk	59.0	955.0	green	0.0	right	wide	"[""left""]"	j
