Lot_color	dist	percent	value	order
R	narrow	0	0	1
R	narrow	10	0	1
R	narrow	20	0	1
R	narrow	30	2	1
R	narrow	40	5	1
R	narrow	50	5	1
R	narrow	60	3	1
R	narrow	70	2	1
R	narrow	80	1	1
R	narrow	90	0	1
R	narrow	100	0	1
G	wide	0	4	3
G	wide	10	5	3
G	wide	20	4	3
G	wide	30	2	3
G	wide	40	0	3
G	wide	50	0	3
G	wide	60	0	3
G	wide	70	0	3
G	wide	80	0	3
G	wide	90	2	3
G	wide	100	4	3
B	skew	0	0	2
B	skew	10	0	2
B	skew	20	0	2
B	skew	30	0	2
B	skew	40	0	2
B	skew	50	0	2
B	skew	60	3	2
B	skew	70	4	2
B	skew	80	4	2
B	skew	90	3	2
B	skew	100	1	2
