Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	940.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	1.0	1368.0	red	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	3097.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	3.0	1268.0	red	0.52	[0.25,0.75]	risk	narrow	left	f
Ambiguity	4.0	1477.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5.0	1309.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	6.0	896.0	red	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7.0	809.0	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8.0	906.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	9.0	824.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	10.0	1087.0	red	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11.0	831.0	red	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12.0	1183.0	red	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	13.0	874.0	red	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14.0	877.0	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	15.0	831.0	red	0.5	[0,1]	risk	narrow	left	f
Ambiguity	16.0	1118.0	red	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	17.0	2089.0	red	0.4	[0,1]	Ambiguous	narrow	right	f
Ambiguity	18.0	1634.0	red	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19.0	693.0	red	0.61	[0,1]	risk	narrow	left	f
Ambiguity	20.0	647.0	red	0.54	[0,1]	risk	narrow	left	f
Ambiguity	21.0	1112.0	red	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	22.0	716.0	red	0.47	[0,1]	Ambiguous	narrow	left	j
