Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	1483.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	1083.0	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	3.0	1034.0	red	0.44	[0,1]	win	Amb	norm	right	f
Learning	4.0	832.0	red	0.53	[0,1]	win	risk	norm	left	f
Learning	5.0	729.0	red	0.48	[0,1]	win	Amb	norm	left	j
Learning	6.0	665.0	red	0.5	[0,1]	win	risk	norm	left	f
Learning	7.0	613.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	8.0	843.0	red	0.49	[0,1]	win	Amb	norm	right	f
Learning	9.0	523.0	red	0.52	[0,1]	win	risk	norm	right	j
Learning	10.0	656.0	red	0.53	[0,1]	win	risk	norm	right	j
Learning	11.0	624.0	red	0.52	[0,1]	win	risk	norm	right	j
Learning	12.0	739.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	13.0	794.0	red	0.47	[0,1]	win	Amb	norm	left	j
Learning	14.0	762.0	red	0.47	[0,1]	win	Amb	norm	left	j
Learning	15.0	968.0	red	0.49	[0,1]	win	Amb	norm	left	j
Learning	1.0	747.0	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2.0	628.0	red	0.39	[0,1]	lose	Amb	norm	right	f
Learning	3.0	647.0	red	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4.0	480.0	red	0.53	[0,1]	lose	risk	norm	right	j
Learning	5.0	851.0	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	6.0	521.0	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	7.0	1225.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	8.0	931.0	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	9.0	1044.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	10.0	576.0	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	11.0	1280.0	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	12.0	900.0	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	13.0	629.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	14.0	1139.0	red	0.46	[0,1]	lose	Amb	norm	right	f
Learning	15.0	720.0	red	0.46	[0,1]	lose	Amb	norm	left	j
Learning	1.0	1107.0	green	0.5	[0,1]	lose	risk	norm	left	f
