Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	1295.0	red	0.6	left	narrow	"[""left""]"	f
Risk	1.0	1034.0	red	0.3	right	narrow	"[""left""]"	j
Risk	2.0	1375.0	red	0.4	left	narrow	"[""right""]"	f
Risk	3.0	990.0	red	0.3	left	narrow	"[""right""]"	f
Risk	4.0	1156.0	red	0.4	right	narrow	"[""left""]"	j
Risk	5.0	687.0	red	0.4	right	narrow	"[""left""]"	j
Risk	6.0	714.0	red	0.5	left	narrow	"[""left""]"	f
Risk	7.0	932.0	red	0.5	right	narrow	"[""right""]"	j
Risk	8.0	704.0	red	0.5	right	narrow	"[""right""]"	j
Risk	9.0	638.0	red	0.5	left	narrow	"[""left""]"	f
Risk	10.0	534.0	red	0.5	left	narrow	"[""left""]"	f
Risk	11.0	969.0	red	0.2	left	narrow	"[""right""]"	f
Risk	12.0	876.0	red	0.5	right	narrow	"[""right""]"	j
Risk	13.0	517.0	red	0.5	right	narrow	"[""right""]"	j
Risk	14.0	531.0	red	0.5	right	narrow	"[""right""]"	j
Risk	15.0	552.0	red	0.5	left	narrow	"[""left""]"	f
Risk	16.0	719.0	red	0.7	left	narrow	"[""left""]"	f
Risk	17.0	708.0	red	0.6	left	narrow	"[""left""]"	f
Risk	18.0	475.0	red	0.6	left	narrow	"[""left""]"	f
Risk	19.0	655.0	red	0.5	right	narrow	"[""right""]"	j
Risk	20.0	1047.0	blue	0.7	right	skew	"[""right""]"	j
Risk	21.0	446.0	blue	0.7	right	skew	"[""right""]"	j
Risk	22.0	445.0	blue	0.7	right	skew	"[""right""]"	j
Risk	23.0	632.0	blue	0.8	left	skew	"[""left""]"	f
Risk	24.0	640.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	25.0	542.0	blue	0.8999999999999999	left	skew	"[""left""]"	f
Risk	26.0	734.0	blue	0.7	right	skew	"[""right""]"	j
Risk	27.0	581.0	blue	0.8	right	skew	"[""right""]"	j
Risk	28.0	615.0	blue	0.7	right	skew	"[""right""]"	j
Risk	29.0	714.0	blue	0.5	left	skew	"[""left""]"	f
Risk	30.0	655.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	31.0	557.0	blue	0.8	left	skew	"[""left""]"	f
Risk	32.0	512.0	blue	0.6000000000000001	left	skew	"[""left""]"	f
Risk	33.0	486.0	blue	0.5	left	skew	"[""left""]"	f
Risk	34.0	770.0	blue	0.7	right	skew	"[""right""]"	j
Risk	35.0	845.0	blue	0.7	right	skew	"[""left""]"	j
Risk	36.0	662.0	blue	0.7	right	skew	"[""right""]"	j
Risk	37.0	1007.0	blue	0.4	right	skew	"[""left""]"	j
Risk	38.0	618.0	blue	0.7	left	skew	"[""left""]"	f
Risk	39.0	527.0	blue	0.7	left	skew	"[""left""]"	f
Risk	40.0	961.0	green	0.0	right	wide	"[""left""]"	j
Risk	41.0	994.0	green	0.2	right	wide	"[""left""]"	j
Risk	42.0	593.0	green	0.1	right	wide	"[""left""]"	j
Risk	43.0	721.0	green	0.9	left	wide	"[""left""]"	f
Risk	44.0	1080.0	green	0.0	left	wide	"[""right""]"	f
Risk	45.0	772.0	green	0.1	right	wide	"[""left""]"	j
Risk	46.0	645.0	green	0.1	right	wide	"[""left""]"	j
Risk	47.0	870.0	green	1.0	right	wide	"[""right""]"	j
Risk	48.0	965.0	green	0.0	left	wide	"[""right""]"	f
Risk	49.0	729.0	green	0.7	left	wide	"[""left""]"	f
Risk	50.0	705.0	green	1.0	right	wide	"[""right""]"	j
Risk	51.0	716.0	green	0.2	left	wide	"[""right""]"	f
Risk	52.0	767.0	green	0.9	right	wide	"[""right""]"	j
Risk	53.0	611.0	green	0.9	right	wide	"[""right""]"	j
Risk	54.0	587.0	green	0.8	right	wide	"[""right""]"	j
Risk	55.0	972.0	green	0.0	right	wide	"[""left""]"	j
Risk	56.0	752.0	green	0.3	left	wide	"[""right""]"	f
Risk	57.0	817.0	green	0.0	right	wide	"[""left""]"	j
Risk	58.0	516.0	green	1.0	left	wide	"[""left""]"	f
Risk	59.0	642.0	green	0.8	right	wide	"[""right""]"	j
