Lot_color	dist	percent	value	order
R	skew	0	3	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	0	3
R	skew	40	1	3
R	skew	50	2	3
R	skew	60	3	3
R	skew	70	10	3
R	skew	80	4	3
R	skew	90	3	3
R	skew	100	1	3
G	narrow	0	3	1
G	narrow	10	2	1
G	narrow	20	2	1
G	narrow	30	2	1
G	narrow	40	5	1
G	narrow	50	10	1
G	narrow	60	5	1
G	narrow	70	3	1
G	narrow	80	3	1
G	narrow	90	1	1
G	narrow	100	1	1
B	wide	0	10	2
B	wide	10	0	2
B	wide	20	1	2
B	wide	30	1	2
B	wide	40	2	2
B	wide	50	4	2
B	wide	60	3	2
B	wide	70	9	2
B	wide	80	3	2
B	wide	90	2	2
B	wide	100	2	2
