Blocktype	tnum	rt	color	per	Amb	choice	dist	side	response
Ambiguity	0.0	2999.0	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1.0	2904.0	green	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	2.0	1702.0	green	0.44	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3.0	1813.0	green	0.51	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	4.0	1144.0	green	0.61	[0.25,0.75]	risk	narrow	left	f
Ambiguity	5.0	1055.0	green	0.54	[0.25,0.75]	risk	narrow	right	j
Ambiguity	6.0	1180.0	green	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	7.0	835.0	green	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	8.0	853.0	green	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9.0	611.0	green	0.48	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10.0	1301.0	green	0.42	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11.0	1060.0	green	0.41	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12.0	1566.0	green	0.44	[0.25,0.75]	risk	narrow	right	j
Ambiguity	13.0	887.0	green	0.41	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14.0	1057.0	green	0.43	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	15.0	527.0	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16.0	2624.0	green	0.38	[0,1]	Ambiguous	narrow	right	f
Ambiguity	17.0	1078.0	green	0.45	[0,1]	risk	narrow	right	j
Ambiguity	18.0	1005.0	green	0.4	[0,1]	risk	narrow	right	j
Ambiguity	19.0	1360.0	green	0.34	[0,1]	Ambiguous	narrow	right	f
Ambiguity	20.0	1538.0	green	0.36	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21.0	1008.0	green	0.41	[0,1]	risk	narrow	left	f
Ambiguity	22.0	1173.0	green	0.41	[0,1]	risk	narrow	left	f
Ambiguity	23.0	1221.0	green	0.38	[0,1]	Ambiguous	narrow	right	f
Ambiguity	24.0	1040.0	green	0.38	[0,1]	Ambiguous	narrow	left	j
Ambiguity	25.0	1073.0	green	0.37	[0,1]	Ambiguous	narrow	left	j
Ambiguity	26.0	1271.0	green	0.4	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27.0	1385.0	green	0.43	[0,1]	risk	narrow	right	j
Ambiguity	28.0	846.0	green	0.4	[0,1]	Ambiguous	narrow	right	f
Ambiguity	29.0	880.0	green	0.42	[0,1]	Ambiguous	narrow	left	j
Ambiguity	30.0	2353.0	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31.0	2722.0	blue	0.4	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	32.0	1055.0	blue	0.47	[0.25,0.75]	risk	wide	left	f
Ambiguity	33.0	2117.0	blue	0.44	[0.25,0.75]	risk	wide	right	j
Ambiguity	34.0	1411.0	blue	0.39	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	35.0	1316.0	blue	0.42	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	36.0	1757.0	blue	0.42	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	37.0	2032.0	blue	0.48	[0.25,0.75]	risk	wide	right	j
Ambiguity	38.0	1332.0	blue	0.47	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	39.0	1253.0	blue	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	40.0	921.0	blue	0.49	[0.25,0.75]	risk	wide	left	f
Ambiguity	41.0	948.0	blue	0.49	[0.25,0.75]	risk	wide	left	f
Ambiguity	42.0	1008.0	blue	0.47	[0.25,0.75]	risk	wide	right	j
Ambiguity	43.0	945.0	blue	0.44	[0.25,0.75]	risk	wide	left	f
Ambiguity	44.0	1737.0	blue	0.39	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	45.0	1099.0	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	46.0		blue	0.4	[0,1]	Ambiguous	wide	right	
Ambiguity	47.0	1072.0	blue	0.43	[0,1]	risk	wide	right	j
Ambiguity	48.0	958.0	blue	0.4	[0,1]	risk	wide	right	j
Ambiguity	49.0	775.0	blue	0.34	[0,1]	Ambiguous	wide	right	f
Ambiguity	50.0	775.0	blue	0.35	[0,1]	Ambiguous	wide	right	f
Ambiguity	51.0	874.0	blue	0.37	[0,1]	Ambiguous	wide	right	f
Ambiguity	52.0	786.0	blue	0.43	[0,1]	risk	wide	left	f
Ambiguity	53.0	894.0	blue	0.4	[0,1]	risk	wide	left	f
Ambiguity	54.0	1413.0	blue	0.36	[0,1]	Ambiguous	wide	right	f
Ambiguity	55.0	716.0	blue	0.36	[0,1]	Ambiguous	wide	left	j
Ambiguity	56.0	1154.0	blue	0.38	[0,1]	Ambiguous	wide	right	f
Ambiguity	57.0	779.0	blue	0.41	[0,1]	risk	wide	right	j
Ambiguity	58.0	972.0	blue	0.39	[0,1]	risk	wide	left	f
Ambiguity	59.0	699.0	blue	0.34	[0,1]	Ambiguous	wide	left	j
Ambiguity	60.0		red	0.5	[0.25,0.75]	Ambiguous	skew	left	
Ambiguity	61.0	717.0	red	0.6	[0.25,0.75]	risk	skew	left	f
Ambiguity	62.0	664.0	red	0.54	[0.25,0.75]	risk	skew	left	f
Ambiguity	63.0	839.0	red	0.48	[0.25,0.75]	risk	skew	right	j
Ambiguity	64.0	1002.0	red	0.35	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	65.0	744.0	red	0.43	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	66.0	910.0	red	0.51	[0.25,0.75]	risk	skew	left	f
Ambiguity	67.0	834.0	red	0.48	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	68.0	648.0	red	0.52	[0.25,0.75]	risk	skew	right	j
Ambiguity	69.0	911.0	red	0.51	[0.25,0.75]	risk	skew	right	j
Ambiguity	70.0	1113.0	red	0.49	[0.25,0.75]	risk	skew	left	f
Ambiguity	71.0	961.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	72.0	797.0	red	0.5	[0.25,0.75]	risk	skew	right	j
Ambiguity	73.0	1312.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	74.0	930.0	red	0.47	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	75.0	1210.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	76.0	1097.0	red	0.4	[0,1]	Ambiguous	skew	left	j
Ambiguity	77.0	966.0	red	0.43	[0,1]	Ambiguous	skew	right	f
Ambiguity	78.0	806.0	red	0.52	[0,1]	risk	skew	right	j
Ambiguity	79.0	925.0	red	0.46	[0,1]	Ambiguous	skew	left	j
Ambiguity	80.0	1302.0	red	0.48	[0,1]	Ambiguous	skew	right	f
Ambiguity	81.0	1031.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	82.0	861.0	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	83.0	1387.0	red	0.49	[0,1]	Ambiguous	skew	right	f
Ambiguity	84.0	1592.0	red	0.47	[0,1]	risk	skew	left	f
Ambiguity	85.0	698.0	red	0.45	[0,1]	Ambiguous	skew	left	j
Ambiguity	86.0	1903.0	red	0.44	[0,1]	risk	skew	right	j
Ambiguity	87.0	3627.0	red	0.44	[0,1]	risk	skew	right	j
Ambiguity	88.0	940.0	red	0.42	[0,1]	Ambiguous	skew	left	j
Ambiguity	89.0	789.0	red	0.39	[0,1]	Ambiguous	skew	left	j
