Blocktype	tnum	rt	color	per	Amb	RL_feedback	choice	dist	side	response
Learning	1.0	2921.0	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2.0	2525.0	red	0.62	[0,1]	win	risk	norm	right	j
Learning	3.0	773.0	red	0.57	[0,1]	win	risk	norm	right	j
Learning	4.0	1341.0	red	0.48	[0,1]	win	Amb	norm	left	j
Learning	5.0	901.0	red	0.52	[0,1]	win	risk	norm	right	j
Learning	6.0	1238.0	red	0.5	[0,1]	win	risk	norm	left	f
Learning	7.0	1290.0	red	0.46	[0,1]	win	Amb	norm	left	j
Learning	8.0	958.0	red	0.45	[0,1]	win	Amb	norm	right	f
Learning	9.0	981.0	red	0.47	[0,1]	win	Amb	norm	right	f
Learning	10.0	818.0	red	0.5	[0,1]	win	risk	norm	right	j
Learning	11.0	788.0	red	0.46	[0,1]	win	Amb	norm	right	f
Learning	12.0	979.0	red	0.49	[0,1]	win	Amb	norm	right	f
Learning	13.0	855.0	red	0.51	[0,1]	win	risk	norm	left	f
Learning	14.0	1402.0	red	0.51	[0,1]	win	risk	norm	right	j
Learning	15.0	1437.0	red	0.5	[0,1]	win	risk	norm	left	f
Learning	1.0	1430.0	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	2.0	1231.0	blue	0.4	[0,1]	win	Amb	norm	right	f
Learning	3.0	1024.0	blue	0.46	[0,1]	win	Amb	norm	left	j
Learning	4.0	689.0	blue	0.56	[0,1]	win	risk	norm	right	j
Learning	5.0	983.0	blue	0.53	[0,1]	win	risk	norm	left	f
Learning	6.0	762.0	blue	0.46	[0,1]	win	Amb	norm	right	f
Learning	7.0	723.0	blue	0.49	[0,1]	win	Amb	norm	right	f
Learning	8.0	571.0	blue	0.55	[0,1]	win	risk	norm	right	j
Learning	9.0	1219.0	blue	0.54	[0,1]	win	risk	norm	right	j
Learning	10.0	1228.0	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	11.0	813.0	blue	0.44	[0,1]	win	Amb	norm	left	j
Learning	12.0	1238.0	blue	0.44	[0,1]	win	Amb	norm	right	f
Learning	13.0	1624.0	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	14.0	941.0	blue	0.47	[0,1]	win	Amb	norm	right	f
Learning	15.0	956.0	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	1.0		blue	0.5	[0,1]	lose	Amb	norm	left	
Learning	2.0	620.0	blue	0.62	[0,1]	lose	risk	norm	left	f
Learning	3.0	759.0	blue	0.55	[0,1]	lose	risk	norm	right	j
Learning	4.0	1273.0	blue	0.46	[0,1]	lose	risk	norm	left	f
Learning	5.0	880.0	blue	0.34	[0,1]	lose	Amb	norm	right	f
Learning	6.0	1145.0	blue	0.42	[0,1]	lose	risk	norm	left	f
Learning	7.0	927.0	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	8.0	1519.0	blue	0.4	[0,1]	lose	Amb	norm	right	f
Learning	9.0	978.0	blue	0.44	[0,1]	lose	Amb	norm	right	f
Learning	10.0	911.0	blue	0.45	[0,1]	lose	Amb	norm	left	j
Learning	11.0	1290.0	blue	0.49	[0,1]	lose	Amb	norm	right	f
Learning	12.0	991.0	blue	0.58	[0,1]	lose	risk	norm	left	f
Learning	13.0	1021.0	blue	0.53	[0,1]	lose	risk	norm	left	f
Learning	14.0	1122.0	blue	0.47	[0,1]	lose	risk	norm	right	j
Learning	15.0	997.0	blue	0.37	[0,1]	lose	Amb	norm	right	f
Learning	1.0	1220.0	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2.0	705.0	red	0.4	[0,1]	lose	risk	norm	right	j
Learning	3.0	527.0	red	0.25	[0,1]	lose	risk	norm	right	j
Learning	4.0	570.0	red	0.02	[0,1]	lose	risk	norm	right	j
Learning	5.0	788.0	red	0.0	[0,1]	lose	risk	norm	right	j
Learning	6.0	489.0	red	0.0	[0,1]	lose	risk	norm	right	j
Learning	7.0	534.0	red	0.0	[0,1]	lose	risk	norm	right	j
Learning	8.0	458.0	red	0.0	[0,1]	lose	risk	norm	right	j
Learning	9.0	366.0	red	0.0	[0,1]	lose	risk	norm	right	j
Learning	10.0	381.0	red	0.0	[0,1]	lose	Amb	norm	left	j
Learning	11.0	848.0	red	1.0	[0,1]	lose	risk	norm	right	j
Learning	12.0	392.0	red	0.34	[0,1]	lose	risk	norm	right	j
Learning	13.0	650.0	red	0.0	[0,1]	lose	risk	norm	left	f
Learning	14.0	458.0	red	0.0	[0,1]	lose	risk	norm	left	f
Learning	15.0	457.0	red	0.0	[0,1]	lose	risk	norm	left	f
Learning	1.0	2559.0	green	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2.0	1067.0	green	0.57	[0,1]	lose	Amb	norm	left	j
Learning	3.0	426.0	green	0.72	[0,1]	lose	Amb	norm	left	j
Learning	4.0	526.0	green	0.92	[0,1]	lose	Amb	norm	left	j
Learning	5.0	382.0	green	1.0	[0,1]	lose	Amb	norm	left	j
Learning	6.0	893.0	green	1.0	[0,1]	lose	risk	norm	right	j
Learning	7.0	687.0	green	0.76	[0,1]	lose	risk	norm	left	f
Learning	8.0	790.0	green	0.38	[0,1]	lose	risk	norm	left	f
Learning	9.0	556.0	green	0.0	[0,1]	lose	risk	norm	right	j
Learning	10.0	521.0	green	0.0	[0,1]	lose	Amb	norm	right	f
Learning	11.0	514.0	green	0.43	[0,1]	lose	risk	norm	right	j
Learning	12.0	866.0	green	0.23	[0,1]	lose	risk	norm	right	j
Learning	13.0	772.0	green	0.0	[0,1]	lose	Amb	norm	right	f
Learning	14.0	630.0	green	0.18	[0,1]	lose	risk	norm	right	j
Learning	15.0	708.0	green	0.08	[0,1]	lose	risk	norm	left	f
Learning	1.0	1457.0	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2.0	1148.0	green	0.4	[0,1]	win	risk	norm	left	f
Learning	3.0	961.0	green	0.24	[0,1]	win	Amb	norm	right	f
Learning	4.0	1249.0	green	0.32	[0,1]	win	Amb	norm	left	j
Learning	5.0	674.0	green	0.44	[0,1]	win	risk	norm	right	j
Learning	6.0	837.0	green	0.39	[0,1]	win	risk	norm	right	j
Learning	7.0	932.0	green	0.32	[0,1]	win	risk	norm	right	j
Learning	8.0	1272.0	green	0.17	[0,1]	win	Amb	norm	left	j
Learning	9.0	669.0	green	0.21	[0,1]	win	Amb	norm	left	j
Learning	10.0	1028.0	green	0.27	[0,1]	win	Amb	norm	right	f
Learning	11.0	570.0	green	0.43	[0,1]	win	risk	norm	right	j
Learning	12.0	1031.0	green	0.34	[0,1]	win	risk	norm	right	j
Learning	13.0	1140.0	green	0.24	[0,1]	win	Amb	norm	right	f
Learning	14.0	1182.0	green	0.28	[0,1]	win	Amb	norm	left	j
Learning	15.0		green	0.34	[0,1]	win	Amb	norm	left	
