Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	2097.0	green	0.6	right	narrow	"[""right""]"	j
Risk	1.0	1743.0	green	0.5	left	narrow	"[""left""]"	f
Risk	2.0	1354.0	green	0.4	right	narrow	"[""left""]"	j
Risk	3.0	2418.0	green	0.5	left	narrow	"[""left""]"	f
Risk	4.0	1257.0	green	0.5	right	narrow	"[""right""]"	j
Risk	5.0	1689.0	green	0.5	right	narrow	"[""right""]"	j
Risk	6.0	1007.0	green	0.3	left	narrow	"[""right""]"	f
Risk	7.0	1575.0	green	0.5	left	narrow	"[""left""]"	f
Risk	8.0	1016.0	green	0.5	left	narrow	"[""left""]"	f
Risk	9.0	1347.0	green	0.4	left	narrow	"[""right""]"	f
Risk	10.0	1084.0	green	0.6	left	narrow	"[""left""]"	f
Risk	11.0	924.0	green	0.5	right	narrow	"[""right""]"	j
Risk	12.0	902.0	green	0.5	left	narrow	"[""left""]"	f
Risk	13.0	1114.0	green	0.5	right	narrow	"[""right""]"	j
Risk	14.0	1132.0	green	0.5	left	narrow	"[""left""]"	f
Risk	15.0	1271.0	green	0.4	right	narrow	"[""left""]"	j
Risk	16.0	1403.0	green	0.3	left	narrow	"[""right""]"	f
Risk	17.0	1423.0	green	0.2	left	narrow	"[""right""]"	f
Risk	18.0	980.0	green	0.7	right	narrow	"[""right""]"	j
Risk	19.0	1076.0	green	0.6	left	narrow	"[""left""]"	f
Risk	20.0	1323.0	blue	0.0	right	wide	"[""left""]"	j
Risk	21.0	1945.0	blue	0.0	left	wide	"[""right""]"	f
Risk	22.0	754.0	blue	0.0	right	wide	"[""left""]"	j
Risk	23.0	1980.0	blue	0.7	right	wide	"[""right""]"	j
Risk	24.0	941.0	blue	1.0	right	wide	"[""right""]"	j
Risk	25.0	1403.0	blue	0.9	left	wide	"[""left""]"	f
Risk	26.0	1458.0	blue	0.9	right	wide	"[""right""]"	j
Risk	27.0	1189.0	blue	0.0	left	wide	"[""right""]"	f
Risk	28.0	1558.0	blue	0.1	right	wide	"[""left""]"	j
Risk	29.0	997.0	blue	0.2	left	wide	"[""right""]"	f
Risk	30.0	1595.0	blue	0.8	left	wide	"[""left""]"	f
Risk	31.0	1139.0	blue	0.1	right	wide	"[""left""]"	j
Risk	32.0	988.0	blue	0.1	right	wide	"[""left""]"	j
Risk	33.0	1200.0	blue	0.3	left	wide	"[""right""]"	f
Risk	34.0	1890.0	blue	0.0	right	wide	"[""left""]"	j
Risk	35.0	1256.0	blue	0.9	right	wide	"[""right""]"	j
Risk	36.0	1769.0	blue	1.0	left	wide	"[""left""]"	f
Risk	37.0	990.0	blue	0.2	left	wide	"[""right""]"	f
Risk	38.0	957.0	blue	0.8	left	wide	"[""left""]"	f
Risk	39.0	662.0	blue	1.0	left	wide	"[""left""]"	f
Risk	40.0	1103.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	41.0	861.0	red	0.5	left	skew	"[""left""]"	f
Risk	42.0	815.0	red	0.7	right	skew	"[""right""]"	j
Risk	43.0	935.0	red	0.7	left	skew	"[""left""]"	f
Risk	44.0	782.0	red	0.8	right	skew	"[""right""]"	j
Risk	45.0	902.0	red	0.7	right	skew	"[""right""]"	j
Risk	46.0	689.0	red	0.8	left	skew	"[""left""]"	f
Risk	47.0	705.0	red	0.8	right	skew	"[""right""]"	j
Risk	48.0	806.0	red	0.7	right	skew	"[""right""]"	j
Risk	49.0	803.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	50.0	951.0	red	0.4	right	skew	"[""left""]"	j
Risk	51.0	1273.0	red	0.5	right	skew	"[""right""]"	j
Risk	52.0	922.0	red	0.7	right	skew	"[""right""]"	j
Risk	53.0	691.0	red	0.8999999999999999	left	skew	"[""left""]"	f
Risk	54.0	629.0	red	0.6000000000000001	left	skew	"[""left""]"	f
Risk	55.0	615.0	red	0.7	right	skew	"[""right""]"	j
Risk	56.0	1013.0	red	0.7	left	skew	"[""left""]"	f
Risk	57.0	589.0	red	0.7	right	skew	"[""right""]"	j
Risk	58.0	584.0	red	0.7	right	skew	"[""right""]"	j
Risk	59.0	653.0	red	0.7	left	skew	"[""left""]"	f
