Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645a4c5a46c6e8bd4348748d,5d793a152df8ed001645ed7f,APPROVED,2023-05-09T13:36:35.339000Z,2023-05-09T13:56:59.382000Z,2023-05-09T15:54:33.288000,2023-05-09T13:57:59.354155Z,1225,error,416,English,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645a4e493566b646c93de231,5731e4005b8b06000f7e36b3,APPROVED,2023-05-09T13:44:46.880000Z,2023-05-09T16:01:13.878000Z,2023-05-09T16:01:17.068000Z,,8187,Manual Completion,1428,English,49,Male,Other,United States,United States,United States,English,No,DATA_EXPIRED
645a4e8066d382afb4cedc9e,5bd6656a669ee1000145304a,APPROVED,2023-05-09T13:45:41.440000Z,2023-05-09T14:08:09.803000Z,2023-05-09T15:37:46.295000,2023-05-09T14:08:10.529821Z,1349,NOCODE,345,English,28,Male,White,United States,United States,United States,English,No,Part-Time
645a4eff28847d3c77e3d4ac,63d4d6434407b2b392e65863,APPROVED,2023-05-09T13:49:43.820000Z,2023-05-09T16:04:51.156000Z,2023-05-09T16:04:52.414000Z,,8108,Manual Completion,29,English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
645a4f6c404924ae3aef6c92,56a3d5f951212a000d64c2b9,APPROVED,2023-05-09T13:49:37.334000Z,2023-05-09T14:11:01.741000Z,2023-05-09T15:54:35.309000,2023-05-09T14:11:03.035095Z,1285,NOCODE,650,English,49,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645a4f7ecad5f7c310739e49,5aeab16d0335e200019eae75,APPROVED,2023-05-09T13:57:13.070000Z,2023-05-09T14:21:09.316000Z,2023-05-09T15:45:04.064000,2023-05-09T14:21:09.954438Z,1437,NOCODE,386,English,32,Male,White,United States,United States,United States,English,No,Full-Time
645a4f9b19a157440b77cf69,60f5dc6cba19bf6145b8c921,APPROVED,2023-05-09T13:50:25.141000Z,2023-05-09T14:06:42.412000Z,2023-05-09T14:42:45.208000,2023-05-09T14:06:43.306348Z,978,NOCODE,1039,English,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645a4fcca0b33d87d31341f9,5c49d511cdb1b7000103af85,APPROVED,2023-05-09T13:54:25.478000Z,2023-05-09T14:21:45.798000Z,2023-05-09T16:07:01.056000Z,2023-05-09T14:21:46.520000Z,1641,NOCODE,113,English,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645a506d91ab7ec74d51fb05,5be2beac398f560001a58df7,APPROVED,2023-05-09T13:53:59.539000Z,2023-05-09T14:23:09.253000Z,2023-05-09T15:44:58.948000,2023-05-09T14:23:11.871529Z,1750,NOCODE,2529,English,58,Male,White,United States,United States,United States,English,No,Full-Time
645a511c10db9cd9b18c03ed,60fcfde8842d3a8a5a139726,APPROVED,2023-05-09T13:56:49.270000Z,2023-05-09T14:18:33.373000Z,2023-05-09T15:45:01.602000,2023-05-09T14:18:34.043247Z,1305,NOCODE,1076,"Spanish, English",24,Female,Other,United States,United States,United States,Spanish,Yes,Full-Time
645a512136ca4a8c691013d4,5ff38b5a46872e981d2f7bb2,APPROVED,2023-05-09T13:58:29.794000Z,2023-05-09T14:30:01.698000Z,2023-05-09T15:11:52.326000,2023-05-09T14:30:03.261633Z,1892,NOCODE,1820,English,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
645aa08d9ed57ddc85336673,595727bd7c76640001aa8f6e,APPROVED,2023-05-09T19:36:02.033000Z,2023-05-09T20:02:43.375000Z,2023-05-10T16:36:16.363000,2023-05-09T20:02:44.308495Z,1602,NOCODE,40,English,23,Female,Mixed,United States,United States,United States,English,No,Part-Time
645aa19f3e5815cee373f720,5a95fee189de8200013eddd4,APPROVED,2023-05-09T19:40:35.577000Z,2023-05-09T20:14:24.488000Z,2023-05-10T16:53:30.302000,2023-05-09T20:14:25.400789Z,2029,NOCODE,1084,English,41,Female,White,United States,United States,United States,English,No,Part-Time
645aa366b19ded41c881bbd5,5ec97fd040ce7448f367784b,APPROVED,2023-05-09T19:47:57.607000Z,2023-05-09T20:03:08.775000Z,2023-05-10T16:38:26.164000,2023-05-09T20:03:09.398124Z,912,no,798,"English, Romanian",51,Male,White,Romania,United States,United States,Romanian,DATA_EXPIRED,DATA_EXPIRED
645aa4c96face6201a396a06,633fd06a2224400c957c8ef7,APPROVED,2023-05-09T19:53:53.841000Z,2023-05-09T20:32:27.527000Z,2023-05-10T16:36:41.141000,2023-05-09T20:32:28.614142Z,2314,NOCODE,358,English,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645aa64e9c72ef1239240d97,63b74544b789eed26e5670dc,APPROVED,2023-05-09T20:00:23.554000Z,2023-05-09T20:18:53.951000Z,2023-05-10T17:02:38.648000,2023-05-09T20:18:54.640482Z,1111,NOCODE,111,English,21,Female,White,United States,United States,United States,English,Yes,Part-Time
645aa66c5085c8bdd4ae6245,6115d535dbd6948950e5441a,RETURNED,2023-05-09T20:00:53.310000Z,2023-05-09T20:22:46.419000Z,,2023-05-09T20:22:48.170000Z,,NOCODE,1018,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
645aa69214b31bcab1a62ee5,5d28ec37d7d4940015e62beb,APPROVED,2023-05-09T20:01:26.800000Z,2023-05-09T20:21:50.706000Z,2023-05-10T17:01:01.292000,2023-05-09T20:21:51.403649Z,1224,NOCODE,2071,English,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
645aa6a30abf7a589fbaee72,60bac4eb11e08e852fd030ab,APPROVED,2023-05-09T20:01:43.996000Z,2023-05-09T20:28:20.943000Z,2023-05-10T17:02:43.677000,2023-05-09T20:28:32.682962Z,1597,NOCODE,1124,English,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645aa6abc6c1fc2c8053a64f,5d7c49ec90d1320001d7cbc7,APPROVED,2023-05-09T20:02:25.432000Z,2023-05-10T16:34:41.416000Z,2023-05-10T16:34:41.852000Z,,73936,Manual Completion,883,English,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645aa6c1c6c1fc2c8053a657,5e25ab331c55ad7f7e8829e1,APPROVED,2023-05-09T20:02:20.066000Z,2023-05-09T20:33:35.413000Z,2023-05-10T17:01:06.275000,2023-05-09T20:34:00.395528Z,1876,NOCODE,377,English,34,Male,Mixed,United States,United States,United States,English,No,Full-Time
645aa6e5ec9040e7b8d8941f,61007fcba727114e471e0b78,APPROVED,2023-05-09T20:02:50.718000Z,2023-05-09T20:31:09.363000Z,2023-05-10T17:02:39.682000,2023-05-09T20:31:10.060783Z,1699,NOCODE,49,"English, Spanish",20,Male,White,United States,United States,United States,Spanish,Yes,DATA_EXPIRED
645aa6efef207ae6e7ae61f0,63d413bee28d5ec9cbe8ac58,APPROVED,2023-05-09T20:03:00.180000Z,2023-05-09T20:37:20.977000Z,2023-05-10T17:01:11.288000,2023-05-09T20:37:22.077387Z,2061,NOCODE,314,English,20,Male,Other,United States,United States,United States,English,No,Other
645aa6f462418c9bed9a38ba,62963dcc7beb938157b706ed,APPROVED,2023-05-09T20:03:04.067000Z,2023-05-09T20:33:14.256000Z,2023-05-10T16:53:35.043000,2023-05-09T20:33:25.746887Z,1811,NOCODE,706,"English, Spanish",27,Male,White,United States,United States,United States,English,No,Full-Time
645aa792a8422560ec6761c0,5fc448edefc38a760096bb00,APPROVED,2023-05-09T20:05:43.405000Z,2023-05-09T20:28:20.746000Z,2023-05-10T16:53:40.066000,2023-05-09T20:28:38.857666Z,1358,NOCODE,424,English,36,Female,White,United States,United States,United States,English,No,Full-Time
645bdbab1b5e786ae1437c78,5e064785e297d502d4f2b15f,APPROVED,2023-05-10T18:00:17.717000Z,2023-05-10T18:24:04.840000Z,2023-05-10T18:24:06.199000,2023-05-10T18:24:06.083386Z,1428,CJ5RNK30,2290,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645bdbb61b5e786ae1437c7a,5cd21eb94174960001cf8aaf,APPROVED,2023-05-10T18:00:28.616000Z,2023-05-10T18:20:29.045000Z,2023-05-10T18:20:30.758000,2023-05-10T18:20:30.667036Z,1201,CJ5RNK30,356,English,52,Male,White,United States,United States,United States,English,No,Full-Time
645bde084b108428036c1927,60d38bc77bf91667dce30e64,APPROVED,2023-05-10T18:10:22.006000Z,2023-05-10T18:29:27.958000Z,2023-05-11T14:46:02.128000,2023-05-10T18:29:28.656496Z,1146,NOCODE,1325,English,46,Male,White,United States,United States,United States,English,No,Full-Time
645bde408e7c014eb14a256a,609122350e5b8e743ab41f79,APPROVED,2023-05-10T18:11:17.171000Z,2023-05-10T18:33:58.565000Z,2023-05-11T14:37:18.613000,2023-05-10T18:33:59.167958Z,1362,NOCODE,2283,English,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645bdec60a5b2e78dac38269,59278c090220760001fda664,APPROVED,2023-05-10T18:13:39.682000Z,2023-05-10T18:36:37.736000Z,2023-05-11T14:36:09.929000,2023-05-10T18:36:38.658869Z,1379,NOCODE,391,English,25,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645bdece9b944ed1775c2db7,5f47fd5a30f69f26b1dc80fd,APPROVED,2023-05-10T18:13:43.375000Z,2023-05-10T18:45:41.791000Z,2023-05-10T18:45:43.155000,2023-05-10T18:45:43.013152Z,1919,CJ5RNK30,945,English,59,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645bdf0b384b56a9c78f1087,5858b2ca83a02d0001e38fd2,APPROVED,2023-05-10T18:14:38.014000Z,2023-05-10T18:42:12.370000Z,2023-05-10T18:42:13.309000,2023-05-10T18:42:13.173752Z,1655,C3E2LD8X,2649,English,44,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
645bdf235196b3d4b5508bba,614e0c53139a2a838010794c,APPROVED,2023-05-10T18:15:04.373000Z,2023-05-10T18:39:47.941000Z,2023-05-11T14:36:44.441000,2023-05-10T18:39:48.672312Z,1484,NOCODE,275,English,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be072eb3a53c896b812e8,61033fc15ac7c1264636395a,APPROVED,2023-05-10T18:20:37.822000Z,2023-05-10T18:37:40.954000Z,2023-05-10T18:37:43.359000,2023-05-10T18:37:43.251536Z,1024,C1ISGV6W,372,English,30,Female,Mixed,United States,United States,United States,English,No,Full-Time
645be116d8168f4bef6283c4,5c21923289f03500017369fd,APPROVED,2023-05-10T18:23:21.688000Z,2023-05-10T18:52:34.828000Z,2023-05-10T18:52:35.738000,2023-05-10T18:52:35.628178Z,1754,CJ5RNK30,852,English,58,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645be15fd54b9818de80ef4b,610038371297afd6f2db9323,APPROVED,2023-05-10T18:24:47.482000Z,2023-05-10T18:44:39.863000Z,2023-05-10T18:44:40.970000,2023-05-10T18:44:40.798058Z,1193,CJ5RNK30,828,English,23,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645be1bf25cde71dabeaa1b4,629642bfde2bf56c1ec2a420,APPROVED,2023-05-10T18:26:12.695000Z,2023-05-10T18:59:32.956000Z,2023-05-10T18:59:36.454000,2023-05-10T18:59:36.327189Z,2001,C3E2LD8X,1508,English,37,Female,White,United States,United States,United States,English,No,Other
645be1c48d111ebe5f92177c,61057d03e42ef519f98f4e6d,APPROVED,2023-05-10T18:26:56.373000Z,2023-05-10T18:48:54.454000Z,2023-05-11T14:48:53.495000,2023-05-10T18:48:55.068095Z,1319,NOCODE,69,English,22,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
645be1ec9fe3102bc78ebe4c,63619eb02e5bd8f4f7bd138a,APPROVED,2023-05-10T18:28:15.587000Z,2023-05-10T19:00:00.833000Z,2023-05-10T19:00:03.368000,2023-05-10T19:00:03.257514Z,1906,CJ5RNK30,352,English,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,Other
645be2097f7c077b0f9c309d,5fc880e2e2e6de210e008e1b,APPROVED,2023-05-10T18:27:30.081000Z,2023-05-10T18:55:54.087000Z,2023-05-10T18:55:56.739000,2023-05-10T18:55:56.618390Z,1705,CJ5RNK30,235,"English, Spanish",21,Female,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
645be27677abafdaf2a2d342,63f77ab51428a164ec2edbab,APPROVED,2023-05-10T18:29:16.667000Z,2023-05-10T18:45:38.442000Z,2023-05-10T18:45:41.038000,2023-05-10T18:45:40.928770Z,982,C3E2LD8X,248,"English, French",19,Male,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
645be308374f9c780dab8f95,5b824fb6cc06660001a302d4,APPROVED,2023-05-10T18:31:47.392000Z,2023-05-10T19:01:16.077000Z,2023-05-10T19:01:18.756000,2023-05-10T19:01:18.628542Z,1769,CJ5RNK30,2271,English,52,Female,White,United States,United States,United States,English,No,Full-Time
